schulnummer,scraped_schueler,scraped_lehrer,scraped_sprachen,scraped_bezirk,scraped_abitur,scraped_traegerschaft,scraped_gruendungsjahr,scraped_besonderheiten,data_source
11K17,,,,,,Öffentlich,,,
03P37,,,"Englisch, Deutsch",,,Privat,2007.0,"Bilinguale Bildung (Deutsch/Englisch), Vielfalt, Projektbasiertes Lernen, kreatives und kritisches Denken.",gemini_website
10K15,,,,,,Öffentlich,,"Individuelles Lernen in Lernbüros, rhythmisierter Ganztag, Berufsorientierung, Erasmus+ Schule",gemini_website
01S06,570.0,,,,,Öffentlich,,"Grundschule & Förderzentrum. Sport- & Kultur Ganztagsangebot mit ALBA BERLIN. Schwerpunkte: Museum, Musik, Theater.",gemini_website
04P40,,,,,,Privat,,"IB-Programm, Fokus auf ganzheitliche Entwicklung, Wohlbefinden und globales Denken",gemini_website
01P16,,,"Mandarin, Spanisch",,,Privat,,"K-12 (IBDP, IGCSE, MSA), Apple-Technologie, 75 Clubs (After School Program), umfassende Schülerbetreuung",gemini_website
09P09,,,Englisch,,,Privat,1991.0,"Wege zum Abitur (ISS/Gymnasium), Fachabitur (Wirtschaft/Sozialpädagogik)",gemini_website
01P06,929.0,,,,,Privat,1925.0,"Christlich-humanistisch, Ganztag, Digital-Leadership-Education, Begabungsförderung, handyfrei",gemini_website
04S05,,,,,,Öffentlich,,"Sonderpädagogisches Förderzentrum ""Hören und Kommunikation"", bilingual Laut- und Gebärdensprache",gemini_website
04P05,,,,,,Privat,,"Grund- und Sekundarschule (ISS) mit offener Ganztagsbetreuung (Hort); evangelisches Profil, Berufsorientierung",gemini_website
08P03,,,,,,Privat,,"Integrierte Sekundarschule mit gymnasialer Oberstufe, christliches Profil, offen für alle Konfessionen.",gemini_website
10P12,,,,,,Privat,,,
05P03,,,,,,Privat,,"Soziales Lernen, familiäre Schulatmosphäre, Gymnasiale Oberstufe 'Schule ohne Grenzen'",gemini_website
06P12,,,,,,Privat,,"Digitale Bildung (Fobizz-Siegel), vielfältige AGs und Sportkurse, Evangelische Religionslehre",gemini_website
04P15,,,,,,Privat,,"Reformpädagogischer Prägung, Erkenntnisse von Juul, Montessori, Piaget und Wild",gemini_website
03P13,,,"Englisch, Spanisch, Französisch",,,Privat,,"Alternative Schule in freier Trägerschaft, Fokus auf Freiwilligkeit und Selbstbestimmung",gemini_website
04P23,,60.0,"Deutsch, Hebräisch, Englisch",,,Privat,,"Säkulare und jüdische Erziehung, kleine Klassen, Englisch ab Klasse 1, jüdisches Fundament, internat. Gemeinschaft",gemini_website
01P03,550.0,,Hebräisch,,,Privat,1993.0,"Jüdisches Profil, Hebräisch, Religionslehre, koscheres Mittagessen, integrierte Sekundarschule",gemini_website
12P04,,,Englisch,,,Privat,,Musikbetonung; Integrierte Sekundarschule (ISS) und Gymnasium; christliches Menschenbild,gemini_website
07P01,,,"Englisch, Französisch, Spanisch",,,Privat,,"Bilingualer Unterricht (Englisch), katholische Prägung, Musikprojekte, Wahlpflichtfächer, Kooperationen",gemini_website
08P04,,,,,,Privat,,Integrierte Sekundarschule & Gymnasium; christlicher Geist; Mint-Projekt; Schülerfirma,gemini_website
06P06,950.0,,,,,Privat,1811.0,"Montessoriklasse, UNESCO-Projektschule, Umweltschule in Europa, biozertifizierte Küche",gemini_website
12P14,,,,,,Privat,,"Montessori-Pädagogik, Kita-Plätze",gemini_website
09P21,,,,,,Privat,,,gemini_website
03P45,,,,,,Privat,,,gemini_website
06S01,,,,,,Öffentlich,,"Inklusive Grundschule, Sonderpädagogisches Förderzentrum, Außenklassen für emotionale/soziale Entwicklung.",gemini_website
12P07,,,"Deutsch, Russisch, Englisch",,,Privat,2009.0,Erste deutsch-russisch-englische Grundschule in Berlin,gemini_website
06P11,,,"Englisch, Französisch, Spanisch",,,Privat,,"Wirtschaftswissenschaften in Englisch als Leistungskurs (Alleinstellungsmerkmal in Berlin), Ganztagsschule, individuelle Förderung.",gemini_website
04P42,,,"Englisch, Deutsch",,,Privat,,"IB World School (PYP/IBDP), zweisprachiger Unterricht (D/E), Ganztagsschule, Fokus Internationalität",gemini_website
11S05,,,,,,Öffentlich,,,
01P49,,,,,,Privat,,"Individuelle & sprachliche Förderung, Beziehungsarbeit, Berufsorientierung, interkulturelles Lernen, Digitalisierung",gemini_website
05S01,,,,,,Öffentlich,,,
