Schulnummer,Schulname,Bezirk,Adresse,Schueler_2024_25,Lehrer_2024_25,Schueler_2023_24,Lehrer_2023_24,Sprachen,Homepage,Nachfrage_Plaetze_2025_26,Nachfrage_Wuensche_2025_26,Nachfrage_Prozent_2025_26,Abitur_Durchschnitt_2024,Abitur_Durchschnitt_2023,Belastungsstufe,Migration_2024_25,Migration_2023_24,Ortsteil
11K10,Grüner Campus Malchow,Lichtenberg,"Malchower Chaussee 2, 13051 Berlin",1764,169,1731,166,"Englisch, Französisch, Russisch, Spanisch",https://gruener-campus-malchow.de/,73,109,149,2.43,2.36,4,19.7,25.1,Malchow
06K01,John-F.-Kennedy-Schule,Steglitz-Zehlendorf,"Teltower Damm 87-93, 14167 Berlin",1463,170,1520,168,"Englisch, Französisch, Latein, Spanisch",https://jfks.de/,,,,1.96,2.00,2,47.6,48.7,Zehlendorf
09K02,Anna-Seghers-Schule,Treptow-Köpenick,"Radickestraße 43, 12489 Berlin",1366,108,1357,115,"Englisch, Französisch, Latein, Russisch",https://www.anna-seghers-os.de/,20,15,75,2.39,2.36,3,6.0,5.2,Adlershof
04K02,Friedensburg-Schule,Charlottenburg-Wilmersdorf,"Goethestraße 8-9, 10623 Berlin",1249,126,1252,125,"Englisch, Französisch, Latein, Russisch, Spanisch",https://www.fosberlin.eu/,130,449,345,2.24,2.42,4,59.0,59.6,Charlottenburg
05K03,Bertolt-Brecht-Oberschule,Spandau,"Wilhelmstraße 10, 13595 Berlin",1240,117,1236,120,"Englisch, Französisch, Spanisch",https://www.brecht-oberschule.de/,208,248,119,2.86,2.81,4,52.1,52.1,Wilhelmstadt
12K02,Bettina-von-Arnim-Schule,Reinickendorf,"Senftenberger Ring 49, 13435 Berlin",1235,140,1279,140,"Englisch, Französisch, Chinesisch, Latein, Spanisch",https://www.bettina-schule.de/,214,356,166,2.60,2.63,4,27.0,24.6,Märkisches Viertel
08K06,Fritz-Karsen-Schule,Neukölln,"Onkel-Bräsig-Straße 76-78, 12359 Berlin",1219,132,1251,133,"Englisch, Französisch, Spanisch",https://www.fritz-karsen.de/,69,125,181,2.57,2.36,4,45.4,38.0,Britz
10K01,Rudolf-Virchow-Schule,Marzahn-Hellersdorf,"Glambecker Ring 90, 12679 Berlin",1198,110,1232,108,"Englisch, Französisch, Russisch",https://rvo-berlin.de/,182,313,172,2.80,2.78,4,37.7,33.8,Marzahn
10K12,Gretel-Bergmann-Gemeinschaftsschule,Marzahn-Hellersdorf,"Liebensteiner Straße 24, 12687 Berlin",1197,101,1174,102,"Englisch, Französisch, Russisch, Spanisch",https://gretel-bergmann-gems.de/,98,36,37,,,4,45.4,43.2,Marzahn
07K03,Gustav-Heinemann-Schule,Tempelhof-Schöneberg,"Tirschenreuther Ring 48, 12279 Berlin",1193,106,1176,109,"Englisch, Französisch, Latein, Japanisch",https://gho.berlin/,156,261,167,2.30,2.25,2,17.0,15.0,Marienfelde
07K12,Friedenauer Gemeinschaftsschule,Tempelhof-Schöneberg,"Rubensstraße 63, 12157 Berlin",1187,123,1141,127,"Englisch, Französisch, Spanisch",https://friedenauer-gemeinschaftsschule.de,19,133,700,2.62,,5,64.2,64.7,Schöneberg
10K10,Wolfgang-Amadeus-Mozart-Schule,Marzahn-Hellersdorf,"Cottbusser Straße 23, 12627 Berlin",1185,100,1132,105,"1. Fremdsprache Englisch, 2. Fremdsprache Spanisch",https://www.mozart-schule.berlin/,50,26,52,,,5,57.3,58.7,Hellersdorf
02K02,Carl-von-Ossietzky-Gemeinschaftsschule,Friedrichshain-Kreuzberg,"Blücherstraße 46-47, 10961 Berlin",1170,127,1185,130,"Englisch, Französisch, Türkisch",https://www.cvo-berlin.de/,137,177,129,2.56,2.28,4,87.0,85.7,Kreuzberg
09K09,Grünauer Gemeinschaftsschule,Treptow-Köpenick,"Walchenseestraße 40, 12527 Berlin",1168,96,1123,91,"Englisch, Französisch, Spanisch",https://gruenauer-schule.de/,32,44,138,2.50,2.42,3,13.1,12.9,Grünau
