Schulnummer,Schulname,Bezirk,Adresse,Schueler_2024_25,Lehrer_2024_25,Schueler_2023_24,Lehrer_2023_24,Sprachen,Homepage,Nachfrage_Plaetze_2025_26,Nachfrage_Wuensche_2025_26,Nachfrage_Prozent_2025_26,Abitur_Durchschnitt_2024,Abitur_Durchschnitt_2023,MSA_Notendurchschnitt_Bezirk_2024,MSA_Bestehensquote_Bezirk_2024,MSA_Plus_Quote_Bezirk_2024,MSA_Teilnehmer_Bezirk_2024,MSA_Notendurchschnitt_Bezirk_2023,MSA_Bestehensquote_Bezirk_2023,MSA_Plus_Quote_Bezirk_2023,MSA_Teilnehmer_Bezirk_2023,Hat_Abitur,Leistungsdaten_Quelle,Notendurchschnitt_2024,Notendurchschnitt_2023,Belastungsstufe,Migration_2024_25,Migration_2023_24,Ortsteil
11K10,Grüner Campus Malchow,Lichtenberg,"Malchower Chaussee 2, 13051 Berlin",1764,169,1731.0,166.0,"Englisch, Französisch, Russisch, Spanisch",https://gruener-campus-malchow.de/,73.0,109.0,149.0,2.43,2.36,2.4,69.0,45.0,1200,2.4,68.0,44.0,1180,True,Schule_Abitur,2.43,2.36,4.0,19.7,25.1,Malchow
06K01,John-F.-Kennedy-Schule,Steglitz-Zehlendorf,"Teltower Damm 87-93, 14167 Berlin",1463,170,1520.0,168.0,"Englisch, Französisch, Latein, Spanisch",https://jfks.de/,,,,1.96,2.0,2.3,76.0,54.0,926,2.3,77.0,55.0,910,True,Schule_Abitur,1.96,2.0,2.0,47.6,48.7,Zehlendorf
09K02,Anna-Seghers-Schule,Treptow-Köpenick,"Radickestraße 43, 12489 Berlin",1366,108,1357.0,115.0,"Englisch, Französisch, Latein, Russisch",https://www.anna-seghers-os.de/,20.0,15.0,75.0,2.39,2.36,2.4,72.0,49.0,980,2.4,71.0,48.0,970,True,Schule_Abitur,2.39,2.36,3.0,6.0,5.2,Adlershof
04K02,Friedensburg-Schule,Charlottenburg-Wilmersdorf,"Goethestraße 8-9, 10623 Berlin",1249,126,1252.0,125.0,"Englisch, Französisch, Latein, Russisch, Spanisch",https://www.fosberlin.eu/,130.0,449.0,345.0,2.24,2.42,2.4,71.0,48.0,850,2.4,72.0,49.0,840,True,Schule_Abitur,2.24,2.42,4.0,59.0,59.6,Charlottenburg
05K03,Bertolt-Brecht-Oberschule,Spandau,"Wilhelmstraße 10, 13595 Berlin",1240,117,1236.0,120.0,"Englisch, Französisch, Spanisch",https://www.brecht-oberschule.de/,208.0,248.0,119.0,2.86,2.81,2.5,68.0,44.0,1050,2.5,67.0,43.0,1030,True,Schule_Abitur,2.86,2.81,4.0,52.1,52.1,Wilhelmstadt
12K02,Bettina-von-Arnim-Schule,Reinickendorf,"Senftenberger Ring 49, 13435 Berlin",1235,140,1279.0,140.0,"Englisch, Französisch, Chinesisch, Latein, Spanisch",https://www.bettina-schule.de/,214.0,356.0,166.0,2.6,2.63,2.4,68.0,44.0,1100,2.4,67.0,43.0,1090,True,Schule_Abitur,2.6,2.63,4.0,27.0,24.6,Märkisches Viertel
08K06,Fritz-Karsen-Schule,Neukölln,"Onkel-Bräsig-Straße 76-78, 12359 Berlin",1219,132,1251.0,133.0,"Englisch, Französisch, Spanisch",https://www.fritz-karsen.de/,69.0,125.0,181.0,2.57,2.36,2.7,56.0,32.0,1300,2.7,55.0,31.0,1280,True,Schule_Abitur,2.57,2.36,4.0,45.4,38.0,Britz
10K01,Rudolf-Virchow-Schule,Marzahn-Hellersdorf,"Glambecker Ring 90, 12679 Berlin",1198,110,1232.0,108.0,"Englisch, Französisch, Russisch",https://rvo-berlin.de/,182.0,313.0,172.0,2.8,2.78,2.5,65.0,41.0,1400,2.5,64.0,40.0,1380,True,Schule_Abitur,2.8,2.78,4.0,37.7,33.8,Marzahn
10K12,Gretel-Bergmann-Gemeinschaftsschule,Marzahn-Hellersdorf,"Liebensteiner Straße 24, 12687 Berlin",1197,101,1174.0,102.0,"Englisch, Französisch, Russisch, Spanisch",https://gretel-bergmann-gems.de/,98.0,36.0,37.0,,,2.5,65.0,41.0,1400,2.5,64.0,40.0,1380,False,Bezirk_MSA,2.5,2.5,4.0,45.4,43.2,Marzahn
07K03,Gustav-Heinemann-Schule,Tempelhof-Schöneberg,"Tirschenreuther Ring 48, 12279 Berlin",1193,106,1176.0,109.0,"Englisch, Französisch, Latein, Japanisch",https://gho.berlin/,156.0,261.0,167.0,2.3,2.25,2.4,70.0,47.0,1020,2.4,72.0,49.0,1000,True,Schule_Abitur,2.3,2.25,2.0,17.0,15.0,Marienfelde
07K12,Friedenauer Gemeinschaftsschule,Tempelhof-Schöneberg,"Rubensstraße 63, 12157 Berlin",1187,123,1141.0,127.0,"Englisch, Französisch, Spanisch",https://friedenauer-gemeinschaftsschule.de,19.0,133.0,700.0,2.62,,2.4,70.0,47.0,1020,2.4,72.0,49.0,1000,True,Schule_Abitur,2.62,2.4,5.0,64.2,64.7,Schöneberg
10K10,Wolfgang-Amadeus-Mozart-Schule,Marzahn-Hellersdorf,"Cottbusser Straße 23, 12627 Berlin",1185,100,1132.0,105.0,"1. Fremdsprache Englisch, 2. Fremdsprache Spanisch",https://www.mozart-schule.berlin/,50.0,26.0,52.0,,,2.5,65.0,41.0,1400,2.5,64.0,40.0,1380,False,Bezirk_MSA,2.5,2.5,5.0,57.3,58.7,Hellersdorf
02K02,Carl-von-Ossietzky-Gemeinschaftsschule,Friedrichshain-Kreuzberg,"Blücherstraße 46-47, 10961 Berlin",1170,127,1185.0,130.0,"Englisch, Französisch, Türkisch",https://www.cvo-berlin.de/,137.0,177.0,129.0,2.56,2.28,2.5,67.0,43.0,980,2.5,66.0,42.0,960,True,Schule_Abitur,2.56,2.28,4.0,87.0,85.7,Kreuzberg
09K09,Grünauer Gemeinschaftsschule,Treptow-Köpenick,"Walchenseestraße 40, 12527 Berlin",1168,96,1123.0,91.0,"Englisch, Französisch, Spanisch",https://gruenauer-schule.de/,32.0,44.0,138.0,2.5,2.42,2.4,72.0,49.0,980,2.4,71.0,48.0,970,True,Schule_Abitur,2.5,2.42,3.0,13.1,12.9,Grünau
09K07,Sophie-Brahe-Gemeinschaftsschule,Treptow-Köpenick,"Am Plänterwald 17-23, 12435 Berlin",1163,102,1132.0,97.0,"Englisch, Französisch, Spanisch",https://sophie-brahe-schule.de/,182.0,126.0,69.0,2.68,2.73,2.4,72.0,49.0,980,2.4,71.0,48.0,970,True,Schule_Abitur,2.68,2.73,4.0,46.9,26.1,Plänterwald
04K05,Paula-Fürst-Schule,Charlottenburg-Wilmersdorf,"Sybelstraße 20-21, 10629 Berlin",1139,107,1131.0,111.0,"Englisch, Französisch, Spanisch",https://paula-fuerst-gemeinschaftsschule.de/,54.0,133.0,246.0,2.36,2.27,2.4,71.0,48.0,850,2.4,72.0,49.0,840,True,Schule_Abitur,2.36,2.27,4.0,46.3,47.2,Charlottenburg
07K01,Sophie-Scholl-Schule,Tempelhof-Schöneberg,"Elßholzstraße 34-37, 10781 Berlin",1085,124,1059.0,125.0,"Englisch, Französisch, Spanisch, Latein",https://sophie-scholl-schule.eu/,156.0,292.0,187.0,2.17,2.25,2.4,70.0,47.0,1020,2.4,72.0,49.0,1000,True,Schule_Abitur,2.17,2.25,3.0,17.3,20.0,Schöneberg
08K05,Clay-Schule,Neukölln,"Neudecker Weg 22, 12355 Berlin",1063,108,1120.0,111.0,"Englisch, Französisch",https://clay-schule.de/,208.0,441.0,212.0,2.67,2.72,2.7,56.0,32.0,1300,2.7,55.0,31.0,1280,True,Schule_Abitur,2.67,2.72,3.0,35.1,40.3,Rudow
08K01,Walter-Gropius-Schule,Neukölln,"Fritz-Erler-Allee 86, 12351 Berlin",1050,118,1085.0,108.0,"Englisch, Französisch, Latein",https://walter-gropius-schule-berlin.de/,40.0,63.0,158.0,2.86,3.01,2.7,56.0,32.0,1300,2.7,55.0,31.0,1280,True,Schule_Abitur,2.86,3.01,6.0,94.7,88.0,Gropiusstadt
05K02,Carlo-Schmid-Oberschule,Spandau,"Lutoner Straße 15-19, 13581 Berlin",1045,111,1032.0,117.0,"Englisch, Französisch, Spanisch",https://www.carlo-schmid-oberschule.de/,156.0,294.0,188.0,2.6,2.69,2.5,68.0,44.0,1050,2.5,67.0,43.0,1030,True,Schule_Abitur,2.6,2.69,5.0,58.1,56.2,Wilhelmstadt
04K04,Nelson-Mandela-Schule,Charlottenburg-Wilmersdorf,"Pfalzburger Straße 30, 10719 Berlin",1044,127,1108.0,130.0,"Englisch, Französisch",https://www.nelson-mandela-schule.net/,,,,1.93,1.81,2.4,71.0,48.0,850,2.4,72.0,49.0,840,True,Schule_Abitur,1.93,1.81,2.0,69.4,69.9,Wilmersdorf
05K01,Martin-Buber-Oberschule,Spandau,"Im Spektefeld 33, 13589 Berlin",1043,105,1063.0,107.0,"Englisch, Französisch, Latein, Spanisch",https://martin-buber-oberschule.de/,156.0,362.0,232.0,2.34,2.2,2.5,68.0,44.0,1050,2.5,67.0,43.0,1030,True,Schule_Abitur,2.34,2.2,3.0,22.4,15.2,Falkenhagener Feld
12K03,Max-Beckmann-Schule,Reinickendorf,"Auguste-Viktoria-Allee 37, 13403 Berlin",1029,112,982.0,108.0,"Englisch, Französisch, Latein, Spanisch",https://mbo-berlin.de/,182.0,437.0,240.0,2.7,2.66,2.4,68.0,44.0,1100,2.4,67.0,43.0,1090,True,Schule_Abitur,2.7,2.66,4.0,46.4,44.1,Reinickendorf
09K01,Merian-Schule,Treptow-Köpenick,"Hoernlestraße 80, 12555 Berlin",1027,96,1040.0,101.0,"Englisch, Französisch, Russisch",http://merian.schule/,156.0,247.0,158.0,2.43,2.38,2.4,72.0,49.0,980,2.4,71.0,48.0,970,True,Schule_Abitur,2.43,2.38,3.0,7.7,3.6,Köpenick
06K02,Wilma-Rudolph-Schule,Steglitz-Zehlendorf,"Am Hegewinkel 2A, 14169 Berlin",1012,107,1004.0,103.0,"Englisch, Französisch, Spanisch",https://www.wilma-rudolph.de/,182.0,244.0,134.0,2.52,2.51,2.3,76.0,54.0,926,2.3,77.0,55.0,910,True,Schule_Abitur,2.52,2.51,2.0,8.5,6.3,Dahlem
05K04,Heinrich-Böll-Oberschule,Spandau,"Am Forstacker 9-11, 13587 Berlin",1009,102,1024.0,95.0,"Englisch, Französisch, Latein",https://boell-schule.de/,182.0,226.0,124.0,2.61,2.75,2.5,68.0,44.0,1050,2.5,67.0,43.0,1030,True,Schule_Abitur,2.61,2.75,4.0,58.1,56.9,Hakenfelde
03K11,Wilhelm-von-Humboldt-Schule,Pankow,"Erich-Weinert-Straße 70, 10439 Berlin",1007,97,994.0,95.0,"Englisch, Französisch, Spanisch",https://wvh-gemeinschaftsschule.de/,54.0,109.0,202.0,1.98,2.07,2.3,75.0,52.0,1100,2.3,74.0,51.0,1080,True,Schule_Abitur,1.98,2.07,2.0,14.2,13.3,Prenzlauer Berg
07K02,Carl-Zeiss-Schule,Tempelhof-Schöneberg,"Barnetstraße 12-14, 12305 Berlin",1005,104,1003.0,106.0,"Englisch, Französisch, Latein, Spanisch",https://www.carl-zeiss-oberschule.de,156.0,345.0,221.0,2.63,2.65,2.4,70.0,47.0,1020,2.4,72.0,49.0,1000,True,Schule_Abitur,2.63,2.65,3.0,29.7,32.7,Lichtenrade
11K04,Gutenberg-Schule,Lichtenberg,"Sandinostraße 10, 13055 Berlin",1003,87,1003.0,94.0,"Englisch, Französisch, Latein, Russisch, Spanisch",https://www.gutenberg-oberschule-berlin.de/,130.0,262.0,202.0,2.58,2.52,2.4,69.0,45.0,1200,2.4,68.0,44.0,1180,True,Schule_Abitur,2.58,2.52,3.0,10.5,12.5,Alt-Hohenschönhausen
06K04,Bröndby-Schule,Steglitz-Zehlendorf,"Dessauerstraße 63, 12249 Berlin",998,92,989.0,92.0,"Englisch, Französisch, Spanisch, Latein",https://www.broendby.de/,196.0,118.0,60.0,2.87,2.86,2.3,76.0,54.0,926,2.3,77.0,55.0,910,True,Schule_Abitur,2.87,2.86,3.0,52.1,51.2,Lankwitz
02K06,Emanuel-Lasker-Schule,Friedrichshain-Kreuzberg,"Modersohnstraße 53, 10245 Berlin",996,90,976.0,89.0,"1. Fremdsprache Englisch, 2. Fremdsprache Französisch",https://els-schule.de/,39.0,69.0,177.0,2.58,2.58,2.5,67.0,43.0,980,2.5,66.0,42.0,960,True,Schule_Abitur,2.58,2.58,3.0,33.2,25.2,Friedrichshain
03K02,Kurt-Tucholsky-Schule,Pankow,"Neumannstraße 9-11, 13189 Berlin",991,87,960.0,83.0,"Englisch, Französisch, Latein, Russisch",https://www.kto-berlin.de/,156.0,226.0,145.0,2.3,2.39,2.3,75.0,52.0,1100,2.3,74.0,51.0,1080,True,Schule_Abitur,2.3,2.39,3.0,10.3,8.0,Pankow
01K10,Theodor-Heuss-Gemeinschaftsschule,Mitte,"Quitzowstraße 141, 10559 Berlin",990,112,993.0,109.0,"Englisch, Französisch, Latein, Türkisch",https://thgberlin.de/,83.0,91.0,110.0,2.77,2.87,2.6,63.0,38.0,1150,2.6,62.0,37.0,1120,True,Schule_Abitur,2.77,2.87,6.0,87.1,84.1,Moabit
03K01,Kurt-Schwitters-Schule,Pankow,"Greifswalder Straße 25, 10405 Berlin",987,103,982.0,101.0,"Englisch, Französisch, Spanisch, Portugiesisch",https://www.kurt-schwitters.schule/,156.0,213.0,137.0,2.27,2.03,2.3,75.0,52.0,1100,2.3,74.0,51.0,1080,True,Schule_Abitur,2.27,2.03,3.0,30.8,30.3,Prenzlauer Berg
11K12,Paul-und-Charlotte-Kniese-Schule,Lichtenberg,"Erich-Kurz-Straße 6-10, 10319 Berlin",986,95,957.0,89.0,"Englisch, Französisch",https://www.kniese-schule-berlin.de/,104.0,100.0,96.0,2.89,2.68,2.4,69.0,45.0,1200,2.4,68.0,44.0,1180,True,Schule_Abitur,2.89,2.68,4.0,40.8,37.6,Friedrichsfelde
