lor_code,bezirk_name,total_crimes_2023,robbery_2023,street_robbery_2023,assault_2023,aggravated_assault_2023,threats_coercion_2023,bike_theft_2023,drug_offenses_2023,neighborhood_crimes_2023,total_crimes_2024,robbery_2024,street_robbery_2024,assault_2024,aggravated_assault_2024,threats_coercion_2024,bike_theft_2024,drug_offenses_2024,neighborhood_crimes_2024,total_crimes_avg,robbery_avg,street_robbery_avg,assault_avg,aggravated_assault_avg,threats_coercion_avg,bike_theft_avg,drug_offenses_avg,neighborhood_crimes_avg,total_crimes_yoy_pct,robbery_yoy_pct,street_robbery_yoy_pct,assault_yoy_pct,aggravated_assault_yoy_pct,threats_coercion_yoy_pct,bike_theft_yoy_pct,drug_offenses_yoy_pct,neighborhood_crimes_yoy_pct,violent_crime_avg,safety_rank,safety_category
10000,Mitte,21046,223,131,2050,580,893,1119,832,4836,21188.06246758021,233.4224720119657,137.48508060251703,2237.280112002498,666.2738521506594,931.6754546324414,1100.887861527847,681.130298589393,5223.174042011008,21117.0,228.2,134.2,2143.6,623.1,912.3,1109.9,756.6,5029.6,0.7,4.7,5.0,9.1,14.9,4.3,-1.6,-18.1,8.0,3129.1,11,elevated
100000,Marzahn-Hellersdorf,9205,109,61,1167,225,522,339,146,2833,8424.445449189583,90.08453560223055,61.65481524107033,1141.641662213819,258.6076972611561,537.766999602669,253.12726923972764,120.9119432227657,2562.1001000178117,8814.7,99.5,61.3,1154.3,241.8,529.9,296.1,133.5,2697.6,-8.5,-17.4,1.1,-2.2,14.9,3.0,-25.3,-17.2,-9.6,1556.9,6,moderate
110000,Lichtenberg,10179,117,84,1143,259,499,581,214,2741,9679.653457568751,81.12068385057121,57.393685412064215,1111.3213052414221,270.61603624459326,480.31140082274965,522.9558709892555,170.89851578005712,2803.9540722262655,9929.3,99.1,70.7,1127.2,264.8,489.7,552.0,192.4,2772.5,-4.9,-30.7,-31.7,-2.8,4.5,-3.7,-10.0,-20.1,2.3,1561.8,7,moderate
120000,Reinickendorf,10193,116,64,1087,275,573,448,206,2730,9711.226524598946,98.21720884550135,55.06116253459924,1114.9885413256347,271.9574987350814,591.9074972469418,357.89755647489505,210.57174320664305,2724.7834756986813,9952.1,107.1,59.5,1101.0,273.5,582.5,402.9,208.3,2727.4,-4.7,-15.3,-14.0,2.6,-1.1,3.3,-20.1,2.2,-0.2,1541.1,5,moderate
20000,Friedrichshain-Kreuzberg,19017,314,206,1874,626,719,1391,1517,4333,19397.588719185973,343.15429334750934,216.7290273773743,2008.832730172361,722.4300912579143,693.8055027363744,1321.8426056554008,1311.9603072372502,4671.601000497522,19207.3,328.6,211.4,1941.4,674.2,706.4,1356.4,1414.5,4502.3,2.0,9.3,5.2,7.2,15.4,-3.5,-5.0,-13.5,7.8,3155.6,12,elevated
30000,Pankow,9250,125,92,907,234,456,841,215,2372,8967.799258555715,89.32211818329652,55.85578366607197,911.1327411520432,227.90102449405737,465.7005422960262,724.0040819500974,168.2743862344953,2458.361516543446,9108.9,107.2,73.9,909.1,231.0,460.9,782.5,191.6,2415.2,-3.1,-28.5,-39.3,0.5,-2.6,2.1,-13.9,-21.7,3.6,1321.2,3,safe
40000,Charlottenburg-Wilmersdorf,15708,136,81,1222,296,724,838,419,3566,15425.220283256724,138.45126952527247,88.60881249617437,1450.0948755541694,376.87892946563636,697.7943984073731,836.8286206464362,288.5615933263573,4097.574625234274,15566.6,137.2,84.8,1336.0,336.4,710.9,837.4,353.8,3831.8,-1.8,1.8,9.4,18.7,27.3,-3.6,-0.1,-31.1,14.9,1894.4,9,elevated
50000,Spandau,10005,97,56,1115,255,550,304,252,2533,10027.966751072578,105.02117927115302,65.34651154649521,1247.0292620122837,290.9475633141572,602.5103951519112,281.61234737894364,192.92779599441442,3038.2238195813934,10016.5,101.0,60.7,1181.0,273.0,576.3,292.8,222.5,2785.6,0.2,8.3,16.7,11.8,14.1,9.5,-7.4,-23.4,19.9,1615.7,8,moderate
60000,Steglitz-Zehlendorf,7639,69,42,652,136,348,537,128,1746,7476.984725201806,49.28393343769931,29.634783505021808,632.9603216018245,131.10170528852038,355.9395192722728,513.1327187336929,96.95728081534308,1790.3274643577306,7558.0,59.1,35.8,642.5,133.6,352.0,525.1,112.5,1768.2,-2.1,-28.6,-29.4,-2.9,-3.6,2.3,-4.4,-24.3,2.5,871.0,1,safe
70000,Tempelhof-Schöneberg,11766,92,56,1096,267,539,761,404,2854,11393.55041757056,94.9790371710859,56.20061371070172,1122.8882619398203,273.6969887711174,563.4111524497847,700.5406499038969,339.7327098811919,3056.470376656513,11579.8,93.5,56.1,1109.4,270.3,551.2,730.8,371.9,2955.2,-3.2,3.2,0.4,2.5,2.5,4.5,-7.9,-15.9,7.1,1529.3,4,safe
80000,Neukölln,13794,155,90,1393,423,569,654,569,3121,13600.511488802093,138.4777147843899,76.66271737516553,1386.2922213098113,451.18887814870146,675.4197511037311,657.2388695127827,436.9471875691252,3493.1533830075423,13697.3,146.7,83.3,1389.6,437.1,622.2,655.6,503.0,3307.1,-1.4,-10.7,-14.8,-0.5,6.7,18.7,0.5,-23.2,11.9,2056.7,10,elevated
90000,Treptow-Köpenick,8901,71,40,951,231,471,727,232,2292,8748.95011918485,70.72881281007614,42.16525379062231,963.3400321680081,232.5889805869811,510.74363865737666,766.115457986065,161.860167776905,2520.0539987282414,8825.0,70.9,41.1,957.2,231.8,490.9,746.6,196.9,2406.0,-1.7,-0.4,5.4,1.3,0.7,8.4,5.4,-30.2,9.9,1301.0,2,safe
