schulnummer,schulname,schulart,strasse,plz,ortsteil,bezirk,telefon,email,website,leitung
09Y12,12. Schule (Gymnasium),Gymnasium,Kiefholzstr. 274,12437,Baumschulenweg,,+49 30 5329141,schulleitung@gymnasium09y12.de,https://gymnasium09y12.de,"Haase, Bianka"
11Y12,12. Schule (Gymnasium),Gymnasium,Allee der Kosmonauten 20-22,10315,Lichtenberg,,+49 03 2639114000,%0911Y12@11Y12.schule.berlin.de,https://gym.adkosmos.eu,"Kurzeja, Sebastian"
10Y12,12. Schule (Gymnasium),Gymnasium,Erich-Kästner-Str. 52,12619,Hellersdorf,,+49 30 30323310,10Y12@10Y12.schule.berlin.de,https://adw.berlin,"Fischer, Gerlind"
08Y03,Albert-Einstein-Gymnasium,Gymnasium,Parchimer Allee 109,12359,Britz,,+49 30 6009020,sekretariat@aeo.de,https://www.aeo.de,"Gerhardt-Acquarone, Wolfgang"
08Y02,Albert-Schweitzer-Gymnasium,Gymnasium,Karl-Marx-Str. 14,12043,Neukölln,,+49 30 225009830,%09sekretariat@08Y02.schule.berlin.de,https://www.die-schweitzer.de,"Pille, Thomas"
08Y01,Albrecht-Dürer-Gymnasium,Gymnasium,Emser Str. 133-137,12051,Neukölln,,+49 30 221994310,08Y01@08Y01.schule.berlin.de,https://albrecht-duerer-gymnasium.de,"Keller, Lonie"
09Y05,Alexander-von-Humboldt-Gymnasium,Gymnasium,Oberspreestr. 173,12555,Köpenick,,+49 30 6519788,%09sekretariat@avh.berlin,https://www.avh.berlin,"Oestreich, Katrin"
02Y01,Andreas-Gymnasium,Gymnasium,Koppenstr. 76,10243,Friedrichshain,,+49 30 29369020,%09sekretariat@andreas.schule.berlin.de,https://www.andreas-schule.org,"Dr. Strohmeyer, Birgit"
09Y04,Anne-Frank-Gymnasium,Gymnasium,Uranusstr. 15-17,12524,Altglienicke,,+49 30 51653360,sekretariat@afg.schule.berlin.de,http://www.anne-frank-schule-berlin.de,"Hentsch, Andrea"
09Y03,Archenhold-Gymnasium,Gymnasium,Rudower Str. 7,12439,Niederschöneweide,,+49 30 6360195,sekretariat@archenhold.de,https://archenhold.de,"Uhlig, Michael"
06Y03,Arndt-Gymnasium Dahlem,Gymnasium,Königin-Luise-Str. 80-84,14195,Dahlem,,+49 30 8315052,sekretariat@arndt-gymnasium.de,https://arndt-gymnasium.de,"Lehmann-Schmidkunz, Claudia"
07Y06,Askanisches Gymnasium,Gymnasium,Kaiserin-Augusta-Str. 19/20,12103,Tempelhof,,+49 30 902772679,sekretariat@askanisches-gymnasium.de,http://www.askanisches-gymnasium.de,"Draude, Claudia"
11Y09,Barnim-Gymnasium,Gymnasium,Ahrensfelder Chaussee 41,13057,Falkenberg,,+49 30 9366690,kontakt@barnim-gym.de,https://www.barnim-gymnasium.net,"Koven, Sebastian"
06Y06,Beethoven-Gymnasium,Gymnasium,Barbarastr. 9,12249,Lankwitz,,+49 30 76890530,Leitung@beethoven-gymnasium.eu,http://www.beethoven-gymnasium.eu,"Dr. Neukirchen, Gunilla"
01P22,Berlin Cosmopolitan School,Gymnasium,Rückerstr. 9,10119,Mitte,,+49 30 688332324,mail@cosmopolitanschool.de,https://www.cosmopolitanschool.de,"Wende, Yvonne; Brennan, James; Röschel, Katrin"
09P09,BEST-Sabel-Oberschule,Gymnasium,Lindenstr. 1,12555,Köpenick,,+49 30 280360970,oberschule@best-sabel.de,https://best-sabel.de,"Neugebauer, Henrik"
01P18,Bilinguale Schule Phorms Berlin Mitte,Gymnasium,Ackerstr. 76,13355,Gesundbrunnen,,+49 30 318737100,berlin-mitte@phorms.de,https://berlin-mitte.phorms.de,"Stölting, Jana"
06P18,Bilinguale Schule Phorms Berlin Süd,Gymnasium,Harry-S.-Truman-Allee 3,14167,Lichterfelde,,+49 30 91684990,berlin-sued@phorms.de,http://www.berlin-sued.phorms.de,"Hardt, Valèrie; Mell, Selena"
01P06,Canisius-Kolleg,Gymnasium,Tiergartenstr. 30-31,10785,Tiergarten,,+49 30 26481105,schulleitung@canisius.de,https://canisius.de,"Dr. Bernhardt, Jan"
05Y04,Carl-Friedrich-von-Siemens-Gymnasium,Gymnasium,Jungfernheideweg 79,13629,Siemensstadt,,+49 30 34505680,mail@cfvsiemens.de,http://www.cfvsiemens.de,"Kremer, Claudia"
03Y08,Carl-von-Ossietzky-Gymnasium,Gymnasium,Görschstr. 42-44,13187,Pankow,,+49 30 49400390,sekretariat@cvo.berlin,https://cvo.berlin,"Dr. Musold, Harald"
02Y05,Dathe-Gymnasium,Gymnasium,Helsingforser Str. 11-13,10243,Friedrichshain,,+49 30 2936063,sek@dathe-gymnasium.eu,https://www.dathe-gymnasium.de,"Mücke, Matthias Jonas"
