schulnummer,schulname,schulart,strasse,plz,ortsteil,bezirk,telefon,email,website,leitung
10K15,15. Schule (Integrierte Sekundarschule),Integrierte Sekundarschule,Garzauer Str. 30,12683,Biesdorf,,+49 30 303233135,sekretariat@10k15.schule.berlin.de,https://www.iss-biesdorf.de,"Grebe-Kalányos, Nadja"
11K16,16. Schule (Integrierte Sekundarschule),Integrierte Sekundarschule,Falkenberger Chaussee 74,13053,Neu-Hohenschönhausen,,+49 30 26393590,11K16@11K16.schule.berlin.de,https://www.11k16.schule,"Brusendorf, Kirsten"
11K17,17. Schule (Integrierte Sekundarschule) Neugründung zum 01.08.2026,Integrierte Sekundarschule,Römerweg 29,10318,Karlshorst,,+49 30,,,
01S06,Albert-Gutzmann-Schule,Integrierte Sekundarschule,Pankstr. 70,13357,Gesundbrunnen,,+49 30 46905960,info@gutzmannschule.de,https://www.gutzmannschule.de,"Meinecke, Udo"
12K11,Albrecht-Haushofer-Schule,Integrierte Sekundarschule,Kurzebracker Weg 40-46,13503,Heiligensee,,+49 30 4319072,%0912K11@12K11.schule.berlin.de,https://www.albrecht-haushofer-schule.de,"Kromer-Neefe, Kerstin"
02K09,Albrecht-von-Graefe-Schule (Integrierte Sekundarschule),Integrierte Sekundarschule,Graefestr. 85,10967,Kreuzberg,,+49 30 50586011,sekretariat@graefe.schule.berlin.de,https://www.albrecht-von-graefe-schule.de,"Metzger, Fabian"
11K01,Alexander-Puschkin-Schule,Integrierte Sekundarschule,Massower Str. 37,10315,Friedrichsfelde,,+49 30 5251429,mail@puschkinschule.eu,http://www.puschkinschule.eu,"Splitt, Frank-Joachim"
08K11,Alfred-Nobel-Schule,Integrierte Sekundarschule,Britzer Damm 164,12347,Britz,,+49 30 6064032,sekretariat@nobel.schule.berlin.de,https://alfred-nobel-schule.de,"Ficano, Fabio"
12K06,Benjamin-Franklin-Schule (Integrierte Sekundarschule),Integrierte Sekundarschule,Sommerfelder Str. 5-7,13509,Wittenau,,+49 30 43983810,%09%09info@benjamin-franklin-schule.eu,https://benjamin-franklin-schule.de,"Schönefeld, Uwe"
03P37,Berlin Bilingual School (Integrierte Sekundarschule),Integrierte Sekundarschule,Granitzstr. 38A,13189,Pankow,,+49 30 44383248,info@berlin-bilingual.de,https://www.berlin-bilingual-school.de,"Dr. Coutrim, Erica"
04P40,Berlin British School (Integrierte Sekundarschule),Integrierte Sekundarschule,Am Postfenn 31,14055,Grunewald,,+49 30 35109180,katharina.chave@berlinbritishschool.de,http://www.berlinbritishschool.de,"Walsh, Andrew"
01P16,Berlin Metropolitan School (Integrierte Sekundarschule),Integrierte Sekundarschule,Linienstr. 122,10115,Mitte,,+49 30 88727390,info@metropolitanschool.com,https://www.metropolitanschool.com,"Aslan, Saliha.; Hearn, Samantha"
05K03,Bertolt-Brecht-Oberschule (Integrierte Sekundarschule),Integrierte Sekundarschule,Wilhelmstr. 10,13595,Wilhelmstadt,,+49 30 3308990,%09sekretariat@brecht-oberschule.de,,"Samborski-Parr, Magdalena"
09P09,BEST-Sabel-Oberschule,Integrierte Sekundarschule,Lindenstr. 1,12555,Köpenick,,+49 30 280360970,oberschule@best-sabel.de,https://best-sabel.de,"Neugebauer, Henrik"
12K02,Bettina-von-Arnim-Schule,Integrierte Sekundarschule,Senftenberger Ring 49,13435,Märkisches Viertel,,+49 30 403050,12K02@12K02.schule.berlin.de,https://www.bettina-schule.de,"Welde, Stefan"
06K04,Bröndby-Schule (Integrierte Sekundarschule),Integrierte Sekundarschule,Dessauerstr. 63,12249,Lankwitz,,+49 30 902992010,post@broendby.de,http://www.broendby.de,"Hauer, Nina"
01P06,Canisius-Kolleg,Integrierte Sekundarschule,Tiergartenstr. 30-31,10785,Tiergarten,,+49 30 26481105,schulleitung@canisius.de,https://canisius.de,"Dr. Bernhardt, Jan"
12K09,Carl-Benz-Schule (Integrierte Sekundarschule),Integrierte Sekundarschule,Heidenheimer Str. 53-54,13467,Hermsdorf,,+49 30 9029480000,12K09@12K09.schule.berlin.de,https://www.carl-benz-oberschule.de,"Ulrich-Sroka, Patrick"
12K10,Carl-Bosch-Schule,Integrierte Sekundarschule,Frohnauer Str. 74-80,13467,Hermsdorf,,+49 30 40584149,%0912K10@12K10.schule.berlin.de,https://www.carlbosch.de,"Dr. phil. Oels, David"
05K02,Carlo-Schmid-Oberschule (Integrierte Sekundarschule),Integrierte Sekundarschule,Lutoner Str. 15-19,13581,Wilhelmstadt,,+49 30 3519530,%09h.vahl@carlo-schmid.schule,http://www.carlo-schmid-oberschule.de,"Vahl, Henrike-Charlotte"
07K02,Carl-Zeiss-Schule,Integrierte Sekundarschule,Barnetstr. 12-14,12305,Lichtenrade,,+49 30 902778206,sekretariat@carl-zeiss-oberschule.de,http://www.carl-zeiss-oberschule.de,"Wöß, Alexander"
10K07,Caspar-David-Friedrich-Schule,Integrierte Sekundarschule,Alte Hellersdorfer Str. 7,12629,Hellersdorf,,+49 30 5634354,sekretariat@cdf.schule.berlin.de,http://cdf-oberschule.de,"Fußy, Sandra"
08K05,Clay-Schule,Integrierte Sekundarschule,Neudecker Weg 22,12355,Rudow,,+49 30 660040,sekretariat@clay-schule.team,https://www.clay-schule.de,"Gruschke-Schäfer, Thorsten"
02K01,Ellen-Key-Schule,Integrierte Sekundarschule,Rüdersdorfer Str. 20-27,10243,Friedrichshain,,+49 30 29773060,sekretariat@ellen-key.schule.berlin.de,http://www.eko-online.net,"Hannusch-Schmandt, Katrin"
11K14,Elsa-Neumann-Schule (Integrierte Sekundarschule),Integrierte Sekundarschule,Wartiner Str. 1-3,13057,Neu-Hohenschönhausen,,+49 30 98312886,%09schulleitung@11K14.schule.berlin.de,https://elsa-neumann-schule.de,"Steg, Simone (komm.)"
04S05,Ernst-Adolf-Eschke-Schule für Gehörlose,Integrierte Sekundarschule,Waldschulallee 29,14055,Westend,,+49 30 902925000,sekretariat@eschke.schule.berlin.de,https://eschke-schule.de,"Möbius, Ulrich"
10K02,Ernst-Haeckel-Schule,Integrierte Sekundarschule,Luckenwalder Str. 53,12629,Hellersdorf,,+49 30 9909332,%09sekretariat@haeckel-os.de,http://www.haeckel-os.de,"Roloff, Jörn-Peter"
01K03,Ernst-Reuter-Schule,Integrierte Sekundarschule,Stralsunder Str. 57,13355,Gesundbrunnen,,+49 30 467779910,verwaltung@ernst-reuter-schule.berlin,https://ernst-reuter-schule.berlin,"Eggert, Marc"
01K02,Ernst-Schering-Schule,Integrierte Sekundarschule,Lütticher Str. 47-48,13353,Wedding,,+49 30 45308710,%09sekretariat@01k02.schule.berlin.de,https://ernst-schering-schule.de,"Dr. Beyer, Friederike"
04P05,Evangelische Schule Charlottenburg (Integrierte Sekundarschule),Integrierte Sekundarschule,Guerickestr. 4-6,10587,Charlottenburg,,+49 30 343571610,sekretariat@ev-schule-charlottenburg.de,https://www.ev-schule-charlottenburg.de,"Althoff, Markus"
08P03,Evangelische Schule Neukölln (Integrierte Sekundarschule),Integrierte Sekundarschule,Mainzer Str. 47,12053,Neukölln,,+49 30 6242027,buero@evangelische-schule-neukoelln.de,https://evangelische-schule-neukoelln.de,"Knauer, Thorsten"
05P03,Evangelische Schule Spandau im Johannesstift,Integrierte Sekundarschule,Schönwalder Allee 26,13587,Hakenfelde,,+49 30 35599050,buero@ev-schule-spandau.de,https://www.ev-schule-spandau.de,"Gohlke, Paul"
06P12,Evangelische Schule Steglitz (Integrierte Sekundarschule),Integrierte Sekundarschule,Beymestr. 6-7,12167,Steglitz,,+49 30 7916001,info@ev-schule-steglitz.de,https://www.ev-schule-steglitz.de,"Jacobs, Tilmann (komm.)"
02K10,Ferdinand-Freiligrath-Schule (Integrierte Sekundarschule),Integrierte Sekundarschule,Bergmannstr. 64,10961,Kreuzberg,,+49 30 50585611,sekretariat@ferdinand-freiligrath-schule.de,https://www.ferdinand-freiligrath-schule.de,"Marco, Robert"
09A07,Flatow-Oberschule,Integrierte Sekundarschule,Birkenstr. 11,12559,Köpenick,,+49 30 65486630,sekretariat@flatow-os.de,https://flatow-os.de,"Gießler, Kerstin"
10P12,Freie Schule Berlin Mahlsdorf,Integrierte Sekundarschule,Elsenstr. 13A,12623,Mahlsdorf,,+49 30 97891077,info@fs-mahlsdorf.de,https://freieschule-mahlsdorf.de,"Weise, Katrin"
04P15,Freie Schule Charlottenburg,Integrierte Sekundarschule,Frankenallee 6,14052,Westend,,+49 30 89409930,info@freie-schule-charlottenburg.de,http://www.freie-schule-charlottenburg.de,"Duske-Nutt, Anna"
03P13,Freie Schule Pankow (Integrierte Sekundarschule),Integrierte Sekundarschule,Grabbeallee 66,13156,Niederschönhausen,,+49 30 4733083,info@freie-schule-pankow.de,https://www.freie-schule-pankow.de,"Choquet, Simon"
04K02,Friedensburg-Schule,Integrierte Sekundarschule,Goethestr. 8-9,10623,Charlottenburg,,+49 30 902917804,sekretariat@fosbe.de,https://www.fosberlin.eu,"Zimmerschied, Sven"
07K10,Friedrich-Bergius-Schule,Integrierte Sekundarschule,Perelsplatz 6-9,12159,Friedenau,,+49 30 902777910,Sekretariat@fbs-schule.de,http://www.Friedrich-Bergius-Schule.de,"Çatik, Engin"
09K03,Fritz-Kühn-Schule (Integrierte Sekundarschule),Integrierte Sekundarschule,Dahmestr. 45,12526,Bohnsdorf,,+49 30 6764243,sekretariat@fritz-kuehn.schule.berlin.de,https://www.fritz-kuehn-schule.de,"Obst, Franziska"
11K05,Fritz-Reuter-Schule,Integrierte Sekundarschule,Prendener Str. 29,13059,Neu-Hohenschönhausen,,+49 30 9627630,fritz@fritz-reuter-oberschule.de,http://www.Fritz-Reuter-Oberschule.de,"Steer, Jens"
06K09,Gail-S.-Halvorsen-Integrierte Sekundarschule,Integrierte Sekundarschule,Im Gehege 6,14195,Dahlem,,+49 30 84108184,sekretariat@06K09.schule.berlin.de,http://www.halvorsen-schule.de,"Zorn, Meike"
10K06,Georg-Klingenberg-Schule,Integrierte Sekundarschule,Alberichstr. 24,12683,Biesdorf,,+49 30 5143537,Sekretariat@klingenberg.schule.berlin.de,http://www.georg-klingenberg.schule,"Ambrosius, Grit"
07K06,Georg-von-Giesche-Schule,Integrierte Sekundarschule,Hohenstaufenstr. 47-48,10779,Schöneberg,,+49 30 902777169,kontakt@georg-von-giesche-schule.de,https://gvg.georg-von-giesche-schule.de,"Schlecht, Fabian (komm.)"
