Schuljahr;BSN;NAME;Schüler (m/w/d);Schüler (w);Schüler (m);Lehrkräfte (m,w,d);Lehrkräfte (w);Lehrkräfte (m);
2023/24;01A04;Berlin-Kolleg;326;156;170;48;28;20;
2023/24;01B01;OSZ Banken, Immobilien und Versicherungen;1579;630;949;77;44;33;
2023/24;01B02;Staatliche Technikerschule Berlin;520;66;454;55;23;32;
2023/24;01B03;OSZ Kommunikations-, Informations- und Medientechnik;1173;279;894;82;40;42;
2023/24;01B04;OSZ Gesundheit I;2848;2530;318;90;60;30;
2023/24;01B05;Staatliche Wirtschaftsfachschule für Hotellerie und Gastronomie Berlin;82;38;44;10;6;4;
2023/24;01G01;Grundschule am Arkonaplatz;425;182;243;35;27;8;
2023/24;01G02;Papageno-Grundschule;607;316;291;49;34;15;
2023/24;01G04;Kastanienbaum-Grundschule;410;188;222;26;21;5;
2023/24;01G05;Grundschule Neues Tor;392;201;191;38;30;8;
2023/24;01G07;GutsMuths-Grundschule;437;210;227;32;25;7;
2023/24;01G08;Grundschule am Brandenburger Tor;562;291;271;46;37;9;
2023/24;01G10;City-Grundschule;663;341;322;50;39;11;
2023/24;01G11;Kurt-Tucholsky-Grundschule;693;334;359;57;44;13;
2023/24;01G15;Anne-Frank-Grundschule;366;165;201;28;21;7;
2023/24;01G16;Moabiter Grundschule;450;206;244;41;32;9;
2023/24;01G18;Carl-Bolle-Grundschule;316;158;158;30;22;8;
2023/24;01G19;Hansa-Grundschule;416;200;216;28;23;5;
2023/24;01G24;Gottfried-Röhl-Grundschule;478;240;238;47;38;9;
2023/24;01G25;Rudolf-Wissell-Grundschule;389;160;229;41;30;11;
2023/24;01G27;Gesundbrunnen-Grundschule;544;267;277;49;35;14;
2023/24;01G28;Brüder-Grimm-Grundschule;545;269;276;44;32;12;
2023/24;01G29;Wilhelm-Hauff-Grundschule;446;217;229;44;37;7;
2023/24;01G31;Wedding-Grundschule;481;217;264;51;41;10;
2023/24;01G32;Carl-Kraemer-Grundschule;457;236;221;36;24;12;
2023/24;01G35;Humboldthain-Grundschule;416;205;211;40;32;8;
2023/24;01G36;Andersen-Grundschule;363;162;201;31;20;11;
2023/24;01G37;Heinrich-Seidel-Grundschule;541;264;277;45;35;10;
2023/24;01G38;Gustav-Falke-Grundschule;504;239;265;41;33;8;
2023/24;01G39;Vineta-Grundschule;413;185;228;34;24;10;
2023/24;01G40;Möwensee-Grundschule;574;290;284;48;34;14;
2023/24;01G41;Erika-Mann-Grundschule;593;296;297;65;50;15;
2023/24;01G42;Anna-Lindh-Schule (Grundschule);490;228;262;58;41;17;
2023/24;01G43;Albert-Gutzmann-Schule (Grundschule);449;207;242;33;23;10;
2023/24;01G44;Allegro-Grundschule;442;230;212;48;40;8;
2023/24;01G45;Leo-Lionni-Grundschule;556;288;268;50;37;13;
2023/24;01G46;Grundschule am Koppenplatz;748;370;378;61;44;17;
2023/24;01G47;Miriam-Makeba-Grundschule;471;240;231;42;30;12;
2023/24;01G48;Grundschule am Nordhafen;450;228;222;35;25;10;
2023/24;01K01;Willy-Brandt-Schule;696;321;375;72;38;34;
2023/24;01K02;Ernst-Schering-Schule;583;291;292;59;44;15;
2023/24;01K03;Ernst-Reuter-Schule;971;457;514;114;68;46;
2023/24;01K04;Heinrich-von-Stephan-Gemeinschaftsschule;873;408;465;83;55;28;
2023/24;01K06;Herbert-Hoover-Schule (Integrierte Sekundarschule);462;242;220;48;36;12;
2023/24;01K07;Hemingway-Schule;470;197;273;58;34;24;
2023/24;01K08;Schule am Schillerpark (Integrierte Sekundarschule);595;268;327;70;47;23;
2023/24;01K09;Hedwig-Dohm-Schule (Integrierte Sekundarschule);498;233;265;58;30;28;
2023/24;01K10;Theodor-Heuss-Gemeinschaftsschule;993;492;501;99;69;30;
2023/24;01P01;Evangelische Schule Berlin Mitte (Gemeinschaftsschule);300;155;145;22;20;2;
2023/24;01P03;Jüdisches Gymnasium Moses Mendelssohn;510;271;239;35;17;18;
2023/24;01P04;Freie Waldorfschule Berlin Mitte;444;236;208;45;29;16;
2023/24;01P05;Katholische Schule Sankt Paulus (Grundschule);366;195;171;27;24;3;
2023/24;01P06;Canisius-Kolleg ;894;453;441;76;43;33;
2023/24;01P07;Lazarus Schulen der Hoffnungstaler Stiftung Lobetal;211;146;65;25;16;9;
2023/24;01P13;Freie Schule am Mauerpark (Grundschule);82;41;41;7;4;3;
2023/24;01P14;BEST-Sabel Berufsakademie;688;487;201;56;37;19;
2023/24;01P16;Berlin Metropolitan School (Integrierte Sekundarschule);984;505;479;100;64;36;
2023/24;01P18;Bilinguale Schule Phorms Berlin Mitte;765;399;366;74;48;26;
2023/24;01P22;Berlin Cosmopolitan School;570;315;255;58;31;27;
2023/24;01P23;Evangelische Schule Berlin Zentrum (Gemeinschaftsschule);692;350;342;86;53;33;
2023/24;01P25;Internationale Lomonossow-Schule Berlin (Gemeinschaftsschule);244;110;134;31;25;6;
2023/24;01P36;BTB Schulzentrum gGmbH;147;77;70;25;19;6;
2023/24;01P39;GPB College gGmbH;273;138;135;40;15;25;
2023/24;01P40;Berufsfachschule  Paulo Freire im Zentrum ÜBERLEBEN;81;52;29;11;7;4;
2023/24;01P42;WWV Bildungsakademie gGmbH;131;57;74;14;8;6;
2023/24;01P46;DDA Destiny Diversity Academy GmbH;40;35;5;10;5;5;
2023/24;01P47;Ecole Voltaire (Grundschule);325;159;166;35;27;8;
2023/24;01P48;meco Akademie GmbH;479;375;104;30;19;11;
2023/24;01P49;Quinoa-Schule Freie Sekundarschule Berlin Wedding;171;77;94;21;14;7;
2023/24;01P50;Kristall Grundschule - Inklusive Grundschule in freier Trägerschaft;97;42;55;9;7;2;
2023/24;01P51;mediencollege Berlin gGmbH;303;228;75;32;21;11;
2023/24;01P52;Schulen der ASIG Stiftung e.V.;91;44;47;18;7;11;
2023/24;01P54;CeFi - Fachschule für Sozialpädagogik;35;31;4;6;3;3;
2023/24;01P55;FRÖBEL Akademie gGmbH - Fachschule für Sozialpädagogik;77;51;26;4;3;1;
2023/24;01S01;Schule am Zille-Park;223;57;166;52;33;19;
2023/24;01S05;Schule in der Charité;241;113;128;62;54;8;
2023/24;01S06;Albert-Gutzmann-Schule;143;54;89;20;13;7;
2023/24;01S07;Charlotte-Pfeffer-Schule;165;57;108;41;36;5;
2023/24;01Y02;John-Lennon-Gymnasium;762;419;343;68;41;27;
2023/24;01Y04;Musikgymnasium Carl Philipp Emanuel Bach;160;84;76;18;9;9;
