schulnummer,schulname,description,description_generated,pages_crawled,fee_pages_found,pdfs_found,pdfs_extracted,error,skipped,is_private_school,tuition_monthly_eur,tuition_annual_eur,registration_fee_eur,material_fee_annual_eur,meal_plan_monthly_eur,after_school_care_monthly_eur,scholarship_available,income_based_tuition,tuition_notes,tuition_source_url,generated_at
11G07,07. Schule (Grundschule),"### 1. MISSION AND EDUCATIONAL PHILOSOPHY
No specific mission statement or educational philosophy is detailed in the available content. The school operates as a public **Grundschule** (primary school) with a **sportbetontes Profil** (sports-focused profile), open all-day care (**Offene Ganztagbetreuung - OGB**), and cross-grade learning groups in the early school phase.[1]

### 2. HISTORY, COMMUNITY AND FACILITIES
The Hermann-Gmeiner-Schule is located in Berlin-Lichtenberg and serves as a public primary school (Schulnummer: 11G07). It features facilities including parking for severely disabled persons and wheelchair-accessible restrooms, with recent additions like an elevator ensuring full barrier-free access.[1][5] Outdoor areas include floor patterns suitable for hopping games and small-group instruction outside classrooms.[3] It participates in programs supported by JuLi gGmbH since September 2009.[4] Community feedback includes positive parent reviews, such as one from 2020 praising the school highly.[2] The school hosts an open house day listed in the Berlin education calendar.[1]

### 3. CURRICULUM AND ACADEMIC PROGRAMS
The curriculum includes **English as the first foreign language**. Key programs encompass **open all-day care (OGB)**, **cross-grade learning groups in the school entry phase**, and a **sports-focused profile**. No further details on core subjects or specialized academic tracks are provided.[1]

### 4. STUDENT LEARNING EXPERIENCES
Students benefit from sports-oriented activities, flexible outdoor learning spaces for small groups, and all-day care options. The barrier-free design supports inclusive access for all students.[1][3][5] No specific details on daily schedules, extracurriculars, or freizeitaktivitäten (leisure activities) are listed beyond the sports profile.[2]

### 5. SCHOOL ACHIEVEMENTS AND OUTCOMES
No quantitative achievements, inspection results, exam outcomes, or performance metrics are available in the content. Qualitative feedback includes a strong parent endorsement from 2020: ""Dickes großes Kompliment. Ich bin einfach beeindruckt und geplättet. Das übertrifft alle meine Erwartungen.""[2]

### 6. ADMISSIONS
As a public **tuition-free Grundschule**, admissions follow standard Berlin public school procedures, likely based on local residency. The school offers an open house day for prospective families, listed in the Berlin education calendar. Contact the school leadership for details: Tel. +49 30 5598291, Email: Schulleitung@gmeiner.schule.berlin.de.[1]

```json
{
    ""is_private_school"": false,
    ""tuition_monthly_eur"": null,
    ""tuition_annual_eur"": null,
    ""registration_fee_eur"": null,
    ""material_fee_annual_eur"": null,
    ""meal_plan_monthly_eur"": null,
    ""after_school_care_monthly_eur"": null,
    ""scholarship_available"": null,
    ""income_based_tuition"": null,
    ""tuition_notes"": ""Public school - tuition-free"",
    ""tuition_source_url"": null
}
```",True,1,0,0,,,False,False,,,,,,,,,Public school - tuition-free,,2026-02-04T14:16:54.229739
05G32,32. Schule (Grundschule),,False,0,0,0,,No website available,False,False,,,,,,,,,Public school - tuition-free,,2026-02-04T14:17:04.548371
09G33,33. Schule (Grundschule) Neugründung zum 01.08.2026,,False,0,0,0,,No website available,False,False,,,,,,,,,Public school - tuition-free,,2026-02-04T14:17:06.552764
05G33,33. Schule (Grundschule) Neugründung zum 01.08.2026,,False,0,0,0,,No website available,False,False,,,,,,,,,Public school - tuition-free,,2026-02-04T14:17:08.556831
02G37,37. Schule (Grundschule),"### 1. MISSION AND EDUCATIONAL PHILOSOPHY
The 37. Schule (Grundschule) operates as a modern primary school emphasizing reliable half-day education with open all-day options, fostering academic skills, physical activity, creativity, and community engagement in a supportive environment.[4][2] It prioritizes reading and writing competence through integrated reading circles and methods like Kamishibai storytelling theater to promote literacy enjoyment and text comprehension.[7]

### 2. HISTORY, COMMUNITY AND FACILITIES
Opened in August 2022 as a new building in northwestern Friedrichshain, this public primary school replaced or expanded prior facilities, accommodating up to 432 students on a compact site with an integrated three-field sports hall, outdoor sports areas, a school garden with three raised beds, naturally lit learning landscapes, artistic staircases, colorful corridors, WLAN, interactive whiteboards, and barrier-free access.[1][2][3][4] Located in Berlin's Friedrichshain-Kreuzberg district (Friedrichshain neighborhood), it serves 360 students in 16 year-group homogeneous classes (up to 26 children each) with 29 teachers, 15 educators, two social workers, administrative staff, and a caretaker.[1][4][5] The eFöB (supplementary care, formerly Hort) provides breakfast, relaxation, and small support groups.[4][7]

### 3. CURRICULUM AND ACADEMIC PROGRAMS
As a **Grundschule** (primary school for grades 1-6), it follows Berlin's standard curriculum with English as the first foreign language, offering reliable half-day instruction from 08:20 (preparation from 07:30), extendable to full-day care from 06:00-18:00.[4][5] Programs include mathematics olympiads for grades 3-6, reading clubs with book ratings and certificates (silver for 2+ books, gold for 5+), floorball in PE and after-school (Tuesdays 14:30-15:30), and literacy promotion via reading circles and Kamishibai.[6][7] Sports integrate into daily lessons with hall access.[2][6]

### 4. STUDENT LEARNING EXPERIENCES
Students engage in diverse hands-on activities: class trips like 3C to Gärten der Welt (gardens, water play), 2C to Hölzerner See (adventure program, swimming), 4A Berlin Rallye (history tours with presentations); events such as Halloween parties (crafting, dancing), Fasching (costume shows, stations), sports days (sprints, throws), cross-country runs, garden visits (herb harvesting, animal encounters), and workshops (art with Lebenshilfe).[Scraped Website Content] eFöB offers play, games, mini-golf, and sponsored materials; breakfast and flexible care support daily routines.[4][7]

### 5. SCHOOL ACHIEVEMENTS AND OUTCOMES
**35 students** from grades 3-6 competed in the first round of the Mathematics Olympiad, tackling challenging tasks.[Scraped Website Content] In cross-country at Volkspark Friedrichshain, 22 participants secured a **2nd place**, two **3rd places**, and positions 5th-7th, 12th, and two 13ths among top 15.[Scraped Website Content] Floorball training prepares for state finals; strong community support via Förderverein funds eFöB equipment.[Scraped Website Content][6] High enrollment near capacity reflects demand.[3]

### 6. ADMISSIONS
As a **public tuition-free Grundschule** (school number 02G37), admission follows Berlin's standard public primary school process based on residence in the catchment area (Friedrichshain-Kreuzberg).[1][5] Contact: sekretariat@02g37.schule.berlin.de or +49 30 290255911; open secretariat hours Mon-Thu 07:00-14:00, Fri 07:00-13:00.[4][5][8] Reliable half-day with optional extended care.[4]

```json
{
    ""is_private_school"": false,
    ""tuition_monthly_eur"": null,
    ""tuition_annual_eur"": null,
    ""registration_fee_eur"": null,
    ""material_fee_annual_eur"": null,
    ""meal_plan_monthly_eur"": null,
    ""after_school_care_monthly_eur"": null,
    ""scholarship_available"": null,
    ""income_based_tuition"": null,
    ""tuition_notes"": ""Public school - tuition-free"",
    ""tuition_source_url"": null
}
```",True,18,1,12,,,False,False,,,,,,,,,Public school - tuition-free,,2026-02-04T14:17:10.561375
10G37,37. Schule (Grundschule),"### 1. MISSION AND EDUCATIONAL PHILOSOPHY
The 37. Schule (Grundschule) emphasizes creating an inspiring learning environment built on a diverse community, joy in learning, sustainability, and safety, where every student feels secure and supported while collaborating toward shared goals.[7][1] It operates as an innovative **Compartment-Schule**, designed for modern pedagogical needs with architecture supporting individual learning processes, thematic compartments in a large school setting, flexible year-group-spanning instruction, holistic movement-oriented learning, and inclusive education.[7][1][2]

### 2. HISTORY, COMMUNITY AND FACILITIES
This public primary school in Berlin-Marzahn-Hellersdorf (Mahlsdorf district) at Elsenstr. 7-9, 12623 Berlin, is a newly built four-track (vierzügige) open all-day school (Ganztagsschule) planned for around 570-600 students to relieve nearby schools.[1][2][3] Operations began in August 2024 with three classes at an interim site (Louis-Lewin-Straße), moved to the new building by summer 2025, and were officially opened on October 10, 2025.[1][2][5] The modular Compartment design features individual learning houses (Lernhäuser) with classrooms, group spaces, movement areas, retreats around a central forum, plus shared facilities like a cafeteria (Mensa), library, and two-story three-field gym (Dreifeldturnhalle); built in 18 months for ~74 million EUR with barrier-free access for inclusivity.[1][2][3][5] The school is still expanding stepwise to full capacity by 2029/2030, with outdoor areas completing in 2025.[5] Community focus includes protection from stress/violence, relaxation spaces, participation, democracy education, sustainability, movement, and media literacy.[1][7]

### 3. CURRICURUM AND ACADEMIC PROGRAMS
The curriculum aligns with the Compartment concept for flexible, inclusive, movement-oriented learning in thematic units across year groups, supported by specialized rooms and all-day structure.[1][7] Programs include English as the first foreign language (noted in related profiles), floorball as part of sports education and extracurriculars via Floorballverband Berlin-Brandenburg, and projects like circus training (acrobatics, trapeze, magic, trampoline).[4][6] Extracurriculars emphasize eFöB (erweiterte Förderung des Bildungsauftrags) with interest groups, outings, and holiday trips focused on inclusion and school priorities.[1]

### 4. STUDENT LEARNING EXPERIENCES
Daily schedule: Early care (6:00-7:30) for calm arrival/play; core instruction/learning (8:00-13:30) with projects, group work, movement breaks, and communal lunch; afternoon eFöB (13:30-16:00) for self-directed creativity, projects, play, research; late care (16:00-18:00) for relaxed wind-down in small groups.[7] Experiences promote cooperative learning, individual pacing, relaxation/protection from overload, and events like costume shows, game stations, and circus projects.[6][7] Floorball training occurs Tuesdays (14:30-15:30) and in holidays.[6]

### 5. SCHOOL ACHIEVEMENTS AND OUTCOMES
As a new school (opened 2025), specific academic outcomes like exam results are not yet detailed in available content.[1][2] Achievements include rapid construction under Berlin's school building initiative, official opening attended by high-level officials (e.g., Senator Katharina Günther-Wünsch), successful start with expanding enrollment, and active programs like floorball training for state finals and circus project shows.[2][3][6]

### 6. ADMISSIONS
No specific admissions process detailed; as a public tuition-free Grundschule, enrollment follows Berlin public school procedures for local residents, with stepwise expansion from 3 classes in 2024 to full four-track capacity (~576 places) by 2029/2030.[1][2][5]

```json
{
    ""is_private_school"": false,
    ""tuition_monthly_eur"": null,
    ""tuition_annual_eur"": null,
    ""registration_fee_eur"": null,
    ""material_fee_annual_eur"": null,
    ""meal_plan_monthly_eur"": null,
    ""after_school_care_monthly_eur"": null,
    ""scholarship_available"": null,
    ""income_based_tuition"": null,
    ""tuition_notes"": ""Public school - tuition-free"",
    ""tuition_source_url"": null
}
```",True,25,3,22,,,False,False,,,,,,,,,Public school - tuition-free,,2026-02-04T14:17:43.673063
10G38,38. Schule (Grundschule),"### 1. MISSION AND EDUCATIONAL PHILOSOPHY
The 38. Grundschule aims to create a vibrant learning environment that provides students with a loving and secure start to school life.[1][2] It emphasizes collaborative shaping of education in a supportive atmosphere, as the school is newly founded and still developing alongside its website.[1][2]

### 2. HISTORY, COMMUNITY AND FACILITIES
The 38. Grundschule is a newly established public primary school (Grundschule) in Berlin's Marzahn-Hellersdorf district, opening on August 1, 2025, alongside the 39. Grundschule.[1][2][3] Its permanent address is Bruno-Baum-Str. 72, 12685 Berlin (Marzahn), but until the new wooden modular building (with sports hall, capacity for 468 students, costing 43 million euros) is completed around the 2026/27 school year, classes are held as guests at the 39. Grundschule, Marzahner Chaussee 165, 12681 Berlin.[1][2][3][4] The school addresses growing demand in the expanding district, using sustainable Holzmodulbauweise (wooden modular construction) with a compartment principle for flexible learning spaces combining open areas, team rooms, and group spaces.[4][8] Leadership includes Michel Stark (acting principal) and Dirk Seidler (Ganztag leadership).[2][3]

### 3. CURRICULUM AND ACADEMIC PROGRAMS
No specific curriculum details are available on the website, as the school is under construction and its homepage is evolving.[1][2] Official records indicate English and French as first foreign languages.[2]

### 4. STUDENT LEARNING EXPERIENCES
Information on student experiences is limited due to the school's new status; it focuses on fostering a lively, secure environment but provides no detailed programs yet.[1][2] Temporary operations at the host site ensure continuity until the permanent facility opens.[1][3]

### 5. SCHOOL ACHIEVEMENTS AND OUTCOMES
As a newly founded school (opening 2025), no achievements or outcomes are reported.[1][3] The project contributes to Berlin's school construction initiative for additional places in growing areas.[4]

### 6. ADMISSIONS
The school invites families to get to know it and mentions an ""Anmelden"" (enroll) option on the website, with a Tag der offenen Tür (open house day) listed in the official calendar.[1][2] It is currently recruiting engaged teachers.[1] Enrollment follows standard public school procedures in Berlin; contact via email (10G38@10G38.schule.berlin.de or 10G38@diebildungspartner.de) or phone (+49 30 22009886).[2][3]

```json
{
    ""is_private_school"": false,
    ""tuition_monthly_eur"": null,
    ""tuition_annual_eur"": null,
    ""registration_fee_eur"": null,
    ""material_fee_annual_eur"": null,
    ""meal_plan_monthly_eur"": null,
    ""after_school_care_monthly_eur"": null,
    ""scholarship_available"": null,
    ""income_based_tuition"": null,
    ""tuition_notes"": ""Public school - tuition-free"",
    ""tuition_source_url"": null
}
```",True,13,0,0,,,False,False,,,,,,,,,Public school - tuition-free,,2026-02-04T14:18:27.859408
08G38,38. Schule (Grundschule),,False,0,0,0,,No website available,False,False,,,,,,,,,Public school - tuition-free,,2026-02-04T14:18:42.564273
11G39,39. Schule (Grundschule),"### 1. MISSION AND EDUCATIONAL PHILOSOPHY
The school's motto is **""Hier lernen wir gerne""** (Here we like to learn), emphasizing a welcoming learning environment that prepares children for life through core subjects like German and math, alongside healthy nutrition, physical activity, cultural diversity, and social interaction.[2][9] It prioritizes basic competencies in **reading, writing, and arithmetic** to ensure a successful life for all students, with individualized support so every child learns at their own pace.[3] The philosophy supports inclusive, modern education in open, bright spaces aligned with current educational research, fostering both promotion and challenge.[1][3]

### 2. HISTORY, COMMUNITY AND FACILITIES
Opened in **March 2024** as part of Berlin's school construction initiative, the school moved into its new modular building in **August 2023**, designed on the **Compartmentprinzip** (compartment concept) for flexible learning landscapes accommodating up to **432 students**.[1][3] Located in Berlin-Lichtenberg (Alt-Hohenschönhausen), it serves grades 1-3, two Willkommensklassen (welcome classes for newcomers), and two special education small classes for children with intellectual development focus, led by **Schulleiterin Giorgina Kazungu-Haß** and a team of about **50 pedagogues**, including 22 classroom teachers as of 2024/2025.[3][5][7] Facilities include digital equipment, specialized rooms for art, music, science, teaching kitchen, library, **3-field sports hall** (accessible outside school hours), movement/therapy room, barrier-free access, outdoor areas with running track, soccer/basketball field, playgrounds, green classroom, school garden, raised beds, and table tennis.[1][3] It partners with SOCIUS for all-day care and benefits from an active parent community.[2][7]

### 3. CURRICULUM AND ACADEMIC PROGRAMS
As a **public Grundschule (primary school)**, it follows Berlin's standard curriculum with emphasis on core skills, offering **English** or **French** as first foreign languages.[3][5] Key programs include **Kulturtag** (Culture Day every Wednesday), merging music and art into project-based learning with exhibitions, theater, and choir; **Bärenstarke Grundschulkinder** (strong primary school children program) for physical development; and **English for Kids** (4 extra hours weekly beyond regular timetable).[3][4] Additional focuses: native-speaker English in development, inclusive education, and all-day offerings.[2][3] It operates as an **offene Ganztagsschule** (open all-day school).[4]

### 4. STUDENT LEARNING EXPERIENCES
Students engage in hands-on, joyful activities like author visits (e.g., Andreas Hüging's Straßentiger performance), Nikolausfeier with school song premiere and concerts, school choir, theater, and cultural projects.[9] Weekly Kulturtag unites the school; enrollment events and open doors provide family involvement; discipline shone during a 2024 fire incident.[9] The environment promotes social skills, cultural exposure, and individualized pacing in a growing community.[3][9]

### 5. SCHOOL ACHIEVEMENTS AND OUTCOMES
Students developed the school leitbild (mission statement) via a conference on children's rights, creating a weighted ""leitbildwolke"" (mission cloud).[9] Successful events include 2024 Nikolausfeier with original school song debut, Straßentiger show, and smooth 2024/2025 start with new first graders.[9] No formal test results or outcomes detailed; focus is on community building in a new school.[5][9]

### 6. ADMISSIONS
Enrollment documents available at https://grundschule-schleizer-strasse.de/infos-fuer-sorgeberechtigte/ under ""Unterlagen zur Schulanmeldung""; personal appointments sent by post.[9] Open door days (e.g., 20.09.2024, planned for 2025) offer tours and presentations.[9] Welcomes new first graders; as a public school, admission follows Berlin regulations for local residents.[5][9]

```json
{
    ""is_private_school"": false,
    ""tuition_monthly_eur"": null,
    ""tuition_annual_eur"": null,
    ""registration_fee_eur"": null,
    ""material_fee_annual_eur"": null,
    ""meal_plan_monthly_eur"": null,
    ""after_school_care_monthly_eur"": null,
    ""scholarship_available"": null,
    ""income_based_tuition"": null,
    ""tuition_notes"": ""Public school - tuition-free"",
    ""tuition_source_url"": null
}
```",True,25,0,2,,,False,False,,,,,,,,,Public school - tuition-free,,2026-02-04T14:18:44.571506
10G39,39. Schule (Grundschule),"### 1. MISSION AND EDUCATIONAL PHILOSOPHY
The 39. Schule (Grundschule) shares its website and facilities with the newly founded 38. Grundschule, emphasizing a welcoming, supportive learning environment that provides children with a loving and secure start to school life.[1][2] The schools aim to create a vibrant learning atmosphere through community involvement, teamwork, and pedagogical development, as reflected in their recruitment for empathetic, creative teachers who foster individual student growth.[3]

### 2. HISTORY, COMMUNITY AND FACILITIES
The 39. Schule operates as a public primary school (Grundschule) in Berlin's Marzahn-Hellersdorf district, currently hosting the 38. Grundschule, which was newly founded and set to open on August 1, 2025.[1][2][4] Both schools are housed at Marzahner Chaussee 165, 12681 Berlin, as guests until the new building for the 38. Grundschule at Bruno-Baum-Straße 72 (or 68-72), 12685 Berlin, is completed, expected in the 2026/27 school year; this wooden modular structure (HOCOMP or Compartment school) will accommodate up to 468 students, include a sports hall, and feature flexible learning spaces like team houses and open forums.[1][2][4][5][8][10] The initiative addresses growing demand in the expanding Marzahn-Hellersdorf community, with construction costs of 43 million euros and a 13-month build time.[5][8] Leadership includes Michel Stark (acting principal) and Dirk Seidler (full-day program lead).[2][4]

### 3. CURRICURUM AND ACADEMIC PROGRAMS
No specific curriculum details are provided on the website, but Berlin public Grundschulen follow state framework curricula, with first foreign languages offered as English or French.[2] The new facility design supports flexible, compartment-based learning with combined open areas, team rooms, and group spaces to promote varied learning forms.[8] Recruitment highlights interdisciplinary collaboration and individual promotion.[3]

### 4. STUDENT LEARNING EXPERIENCES
The schools prioritize a lively school life with modern equipment, open culture, team spirit, and space for teacher ideas in building the institution from the ground up.[1][3] Temporary operations at the 39. Schule site ensure continuity until the permanent wooden modular building with sports hall and green spaces opens.[4][5][8] Full-day programs are led by dedicated staff.[4]

### 5. SCHOOL ACHIEVEMENTS AND OUTCOMES
As a newly associated school (38. opening in 2025), no historical achievements, test results, or outcomes are documented in the provided content.[1][2] The project contributes to Berlin's school construction offensive for rapid capacity expansion via sustainable modular builds.[5][8]

### 6. ADMISSIONS
Admissions information is limited; the website invites families to get to know the school and mentions an ""Anmelden"" (register) option, with open house days listed in the Berlin schools calendar.[1][2] Contact via email (10G38@10G38.schule.berlin.de or 10G38@diebildungspartner.de) or phone (+49 30 22009886).[2][4] As a public tuition-free Grundschule, enrollment follows Berlin's local catchment and state procedures.[2]

```json
{
    ""is_private_school"": false,
    ""tuition_monthly_eur"": null,
    ""tuition_annual_eur"": null,
    ""registration_fee_eur"": null,
    ""material_fee_annual_eur"": null,
    ""meal_plan_monthly_eur"": null,
    ""after_school_care_monthly_eur"": null,
    ""scholarship_available"": null,
    ""income_based_tuition"": null,
    ""tuition_notes"": ""Public school - tuition-free"",
    ""tuition_source_url"": null
}
```",True,13,0,0,,,False,False,,,,,,,,,Public school - tuition-free,,2026-02-04T14:19:13.346732
