schulnummer,schulname,schulart,strasse,plz,ortsteil,bezirk,telefon,email,website,leitung
11G07,07. Schule (Grundschule),Grundschule,Harnackstr. 17/25,10365,Lichtenberg,,+49 30 5598291,Schulleitung@gmeiner.schule.berlin.de,https://www.hermann-gmeiner-schule-berlin.de,"Negraszus, Ulrich"
05G32,32. Schule (Grundschule),Grundschule,Fehrbelliner Tor 2,13585,Spandau,,+49 30 367538640,Sekretariat@05G32.schule.berlin.de,,"Pick, Anja"
09G33,33. Schule (Grundschule) Neugründung zum 01.08.2026,Grundschule,Hirtestr. 10,12555,Köpenick,,+49 30,,,
05G33,33. Schule (Grundschule) Neugründung zum 01.08.2026,Grundschule,Heerstr. 580,13591,Staaken,,+49 30,,,
02G37,37. Schule (Grundschule),Grundschule,Pufendorfstr. 10,10249,Friedrichshain,,+49 30 290255911,02G37@02G37.schule.berlin.de,http://37schule.berlin,"Kaminski, Patrick"
10G37,37. Schule (Grundschule),Grundschule,Elsenstr. 7-9,12623,Mahlsdorf,,+49 30 94709490,10G37@10G37.schule.berlin.de,http://www.10g37.de,"Tafelski, Anett"
10G38,38. Schule (Grundschule),Grundschule,Bruno-Baum-Str. 72,12685,Marzahn,,+49 30 22009886,10G38@10G38.schule.berlin.de,https://www.grundschule38-marzahn.net/38-grundschule,"Stark, Michel (komm.)"
08G38,38. Schule (Grundschule),Grundschule,Koppelweg 50-54,12347,Britz,,+49 30 41203380,08G38@08G38.schule.berlin.de,,"Wilmes, Julia"
11G39,39. Schule (Grundschule),Grundschule,Schleizer Str. 67,13055,Alt-Hohenschönhausen,,+49 30 54716309,11G39@11G39.schule.berlin.de,https://grundschule-schleizer-strasse.de,"Kazungu-Haß, Giorgina"
10G39,39. Schule (Grundschule),Grundschule,Marzahner Chaussee 165,12681,Marzahn,,+49 30 22009886,10G39@10G39.schule.berlin.de,https://www.grundschule38-marzahn.net/38-grundschule,"Ungelehrt, Sarah (komm.)"
07G40,40. Schule (Grundschule),Grundschule,Ella-Barowsky-Str. 62-63,10829,Schöneberg,,+49 30 902773060,%09sekretariat@07G40.schule.berlin.de,http://www.07g40.de,"Röhmel, Cornelia"
11G40,40. Schule (Grundschule),Grundschule,Straße 3 21,13059,Wartenberg,,+49 30,11G40@11G40@schule.berlin.de,,
10G40,40. Schule (Grundschule),Grundschule,Haltoner Str. 21,12683,Biesdorf,,+49 30 51589753,10G40@10G40.schule.berlin.de,https://www.10g40.de,"Kramer-Riihimäki, Karen"
03G47,47. Schule (Grundschule),Grundschule,Mendelstr. 54,13187,Pankow,,+49 30 47607930,03G47@03G47.schule.berlin.de,https://schuleanderstrauchwiese.de,Lumme Ariane
03G51,51. Schule (Grundschule),Grundschule,Lindenberger Str. 12,13156,Niederschönhausen,,+49 30 47607937,03G51@03G51.schule.berlin.de,,"Alexander, Anja"
11G06,Adam-Ries-Schule (Grundschule),Grundschule,Alt-Friedrichsfelde 66,10315,Friedrichsfelde,,+49 30 5135123,sekretariat@adamries.schule,https://www.adamries.schule,"Dr. Afonin, Sergej"
02G31,Adolf-Glaßbrenner-Grundschule,Grundschule,Hagelberger Str. 34,10965,Kreuzberg,,+49 30 50587531,Adolf-Glassbrenner-Schule@web.de,https://www.adolf-glassbrenner-schule.de,"Rahrbach, Peter"
01G43,Albert-Gutzmann-Schule (Grundschule),Grundschule,Pankstr. 70,13357,Gesundbrunnen,,+49 30 46905960,%09sekretariat@gutzmannschule.de,https://www.gutzmannschule.de,"Meinecke, Udo"
12G14,Alfred-Brehm-Grundschule,Grundschule,Ascheberger Weg 8A,13507,Tegel,,+49 30 4322408,%0912G14@12G14.schule.berlin.de,https://www.alfred-brehm-schule.de,"Schwarz, Tatjana"
01G44,Allegro-Grundschule,Grundschule,Lützowstr. 83-85,10785,Tiergarten,,+49 30 257572710,berlin@allegro-grundschule.de,https://www.allegro-grundschule.de,"Lorenzen, Ireen"
12P11,Alternativschule Berlin (Gemeinschaftsschule),Grundschule,Bondickstr. 8-9,13469,Waidmannslust,,+49 30 4174860,info@alternativschule-berlin.de,https://www.alternativschule-berlin.de,"Kiunke, Uta"
06G20,Alt-Lankwitzer Grundschule,Grundschule,Schulstr. 17-21,12247,Lankwitz,,+49 30 7668790,%09schulleitung@a-l-gs.schule.berlin.de,http://www.alt-lankwitzer-grundschule.de,"Zoepke, Joana"
