id,name,address,address2,zip,city,website,email,school_type,legal_status,provider,fax,phone,director,raw,location,update_timestamp,longitude,latitude
HE-3149,Römerstadtschule,In der Römerstadt 120e,,60439,Frankfurt am Main,http://roemerstadt.frankfurt.schule.hessen.de,,Grundschule,,,+49 69 212-32009,+49 69 212-34978,,"{""name"": ""R\u00f6merstadtschule"", ""stra\u00dfe"": ""In der R\u00f6merstadt 120e"", ""ort"": ""Frankfurt am Main"", ""plz"": ""60439"", ""fax"": ""+49 69 212-32009"", ""telefon"": ""+49 69 212-34978"", ""homepage"": ""http://roemerstadt.frankfurt.schule.hessen.de"", ""schultyp"": ""Grundschule"", ""id"": ""3149"", ""latitude"": 50.154, ""longitude"": 8.63315}",0101000020E6100000C0EC9E3C2C442140C1CAA145B6134940,2026-03-28 16:37:08.507421,8.63315,50.154
HE-3130,Elsa-Brändström-Schule,Lindenstraße 2,,60325,Frankfurt am Main,,,Grundschule,,,+49 69 212-37772,+49 69 212-35266,,"{""name"": ""Elsa-Br\u00e4ndstr\u00f6m-Schule"", ""stra\u00dfe"": ""Lindenstra\u00dfe 2"", ""ort"": ""Frankfurt am Main"", ""plz"": ""60325"", ""fax"": ""+49 69 212-37772"", ""telefon"": ""+49 69 212-35266"", ""schultyp"": ""Grundschule"", ""id"": ""3130"", ""latitude"": 50.1152, ""longitude"": 8.661}",0101000020E6100000DF4F8D976E522140E63FA4DFBE0E4940,2026-03-28 16:38:08.675251,8.661,50.1152
HE-3129,Berthold-Otto-Schule,Kiefernstraße 18 A,,65933,Frankfurt am Main,http://berthold-otto.frankfurt.schule.hessen.de,,Grundschule,,,+49 69 212-42626,+49 69 212-33901,,"{""name"": ""Berthold-Otto-Schule"", ""stra\u00dfe"": ""Kiefernstra\u00dfe 18 A"", ""ort"": ""Frankfurt am Main"", ""plz"": ""65933"", ""fax"": ""+49 69 212-42626"", ""telefon"": ""+49 69 212-33901"", ""homepage"": ""http://berthold-otto.frankfurt.schule.hessen.de"", ""schultyp"": ""Grundschule"", ""id"": ""3129"", ""latitude"": 50.0997, ""longitude"": 8.60645}",0101000020E61000008351499D80362140A2B437F8C20C4940,2026-03-28 16:38:08.772499,8.60645,50.0997
HE-6055,Schule am Ried,Barbarossastraße 65,,60388,Frankfurt am Main,https://mo6055.schule.hessen.de,,Schulformbezogene (kooperative) Gesamtschule,,,+49 69 212-47538,+49 69 212-41256,,"{""name"": ""Schule am Ried"", ""stra\u00dfe"": ""Barbarossastra\u00dfe 65"", ""ort"": ""Frankfurt am Main"", ""plz"": ""60388"", ""fax"": ""+49 69 212-47538"", ""telefon"": ""+49 69 212-41256"", ""homepage"": ""https://mo6055.schule.hessen.de"", ""schultyp"": ""Schulformbezogene (kooperative) Gesamtschule"", ""id"": ""6055"", ""latitude"": 50.1473, ""longitude"": 8.76252}",0101000020E610000083177D0569862140B459F5B9DA124940,2026-03-28 16:33:18.796358,8.76252,50.1473
HE-6090,IGS Eschersheim,Zehnmorgenstraße 20,,60433,Frankfurt am Main,https://mo6090.schule.hessen.de,,Schulformübergreifende (integrierte) Gesamtschule,,,+49 69 212-32343,+49 69 212-38751,,"{""name"": ""IGS Eschersheim"", ""stra\u00dfe"": ""Zehnmorgenstra\u00dfe 20"", ""ort"": ""Frankfurt am Main"", ""plz"": ""60433"", ""fax"": ""+49 69 212-32343"", ""telefon"": ""+49 69 212-38751"", ""homepage"": ""https://mo6090.schule.hessen.de"", ""schultyp"": ""Schulform\u00fcbergreifende (integrierte) Gesamtschule"", ""id"": ""6090"", ""latitude"": 50.1605, ""longitude"": 8.65958}",0101000020E6100000FD304278B4512140068195438B144940,2026-03-28 16:33:53.249431,8.65958,50.1605
HE-6135,IGS-Nordend,Hartmann-Ibach-Straße 54-58,,60389,Frankfurt am Main,https://mo6135.schule.hessen.de,,Schulformübergreifende (integrierte) Gesamtschule,,,+49 69 212-34283,+49 69 212-30855,,"{""name"": ""IGS-Nordend"", ""stra\u00dfe"": ""Hartmann-Ibach-Stra\u00dfe 54-58"", ""ort"": ""Frankfurt am Main"", ""plz"": ""60389"", ""fax"": ""+49 69 212-34283"", ""telefon"": ""+49 69 212-30855"", ""homepage"": ""https://mo6135.schule.hessen.de"", ""schultyp"": ""Schulform\u00fcbergreifende (integrierte) Gesamtschule"", ""id"": ""6135"", ""latitude"": 50.1283, ""longitude"": 8.70252}",0101000020E6100000649291B3B0672140D50968226C104940,2026-03-28 16:33:47.611476,8.70252,50.1283
HE-9861,IKS - Interkulturelle Schule Rhein-Main,Kaiserkronenweg 1,,60433,Frankfurt am Main,http://www.der-schulverein.de,,Berufliche Schule,,,+49 69 27997182,+49 69 27997180,,"{""name"": ""IKS - Interkulturelle Schule Rhein-Main"", ""stra\u00dfe"": ""Kaiserkronenweg 1"", ""ort"": ""Frankfurt am Main"", ""plz"": ""60433"", ""fax"": ""+49 69 27997182"", ""telefon"": ""+49 69 27997180"", ""homepage"": ""http://www.der-schulverein.de"", ""schultyp"": ""Berufliche Schule"", ""id"": ""9861"", ""latitude"": 50.1094, ""longitude"": 8.66743}",0101000020E610000012BD8C62B95521405917B7D1000E4940,2026-03-28 16:39:56.791775,8.66743,50.1094
HE-4403,Josephine-Baker-Gesamtschule,Gräfin-Dönhoff-Straße 11,,60438,Frankfurt am Main,https://mo4403.schule.hessen.de,,Schulformübergreifende (integrierte) Gesamtschule,,,,+49 69 212-75642,,"{""name"": ""Josephine-Baker-Gesamtschule"", ""stra\u00dfe"": ""Gr\u00e4fin-D\u00f6nhoff-Stra\u00dfe 11"", ""ort"": ""Frankfurt am Main"", ""plz"": ""60438"", ""telefon"": ""+49 69 212-75642"", ""homepage"": ""https://mo4403.schule.hessen.de"", ""schultyp"": ""Schulform\u00fcbergreifende (integrierte) Gesamtschule"", ""id"": ""4403"", ""latitude"": null, ""longitude"": null}",,2026-03-28 16:33:52.517809,,
HE-4002,Grundschule Kalbach,Kalbacher Hauptstraße 54,,60437,Frankfurt am Main,http://gs-kalbach.frankfurt.schule.hessen.de,,Grundschule,,,+49 69 212 44929,+49 69 212 44607,,"{""name"": ""Grundschule Kalbach"", ""stra\u00dfe"": ""Kalbacher Hauptstra\u00dfe 54"", ""ort"": ""Frankfurt am Main"", ""plz"": ""60437"", ""fax"": ""+49 69 212 44929"", ""telefon"": ""+49 69 212 44607"", ""homepage"": ""http://gs-kalbach.frankfurt.schule.hessen.de"", ""schultyp"": ""Grundschule"", ""id"": ""4002"", ""latitude"": 50.1884, ""longitude"": 8.64165}",0101000020E6100000F1F44A59864821408048BF7D1D184940,2026-03-28 16:37:47.880965,8.64165,50.1884
HE-6121,Paul-Hindemith-Schule,Schwalbacher Straße 71-77,,60326,Frankfurt am Main,https://mo6121.schule.hessen.de,,Schulformübergreifende (integrierte) Gesamtschule,,,+49 69 212-40054,+49 69 212-35239,,"{""name"": ""Paul-Hindemith-Schule"", ""stra\u00dfe"": ""Schwalbacher Stra\u00dfe 71-77"", ""ort"": ""Frankfurt am Main"", ""plz"": ""60326"", ""fax"": ""+49 69 212-40054"", ""telefon"": ""+49 69 212-35239"", ""homepage"": ""https://mo6121.schule.hessen.de"", ""schultyp"": ""Schulform\u00fcbergreifende (integrierte) Gesamtschule"", ""id"": ""6121"", ""latitude"": 50.1053, ""longitude"": 8.63494}",0101000020E610000030D80DDB1645214068226C787A0D4940,2026-03-28 16:33:53.01764,8.63494,50.1053
