schulnummer,schulname,school_type,schulkategorie,schulform_raw,klassenstufe,strasse,plz,ort,stadt,bundesland,ortsteil,latitude,longitude,telefon,fax,email,website,traegerschaft,traeger_name,form_der_privatschule,schulleitung,stv_schulleitung,schueler_gesamt,klassenzahl,unterrichtszeit,unterrichtszeit_erlaeuterung,profile,sonstige_profile,foerderschwerpunkt,unterrichtssprache,fruehe_fremdsprache,erste_fremdsprache,zweite_fremdsprache,dritte_fremdsprache,sprachen,art_des_angebots,ganztagsform,besonderheiten,besonderheiten_erlaeuterung,auszeichnungen,foerderverein,schulbibliothek,namensgebung,berufsbereiche,ausbildungsberufe,schulform_bemerkung,ndh_count,sw_portal_url,sw_portal_slug,data_source,data_retrieved,traffic_accidents_total,traffic_accidents_per_year,traffic_accidents_fatal,traffic_accidents_serious,traffic_accidents_minor,traffic_accidents_bicycle,traffic_accidents_pedestrian,traffic_accidents_school_hours,traffic_nearest_accident_m,traffic_data_years,traffic_data_source,transit_rail_01_name,transit_rail_01_distance_m,transit_rail_01_latitude,transit_rail_01_longitude,transit_rail_01_lines,transit_rail_02_name,transit_rail_02_distance_m,transit_rail_02_latitude,transit_rail_02_longitude,transit_rail_02_lines,transit_rail_03_name,transit_rail_03_distance_m,transit_rail_03_latitude,transit_rail_03_longitude,transit_rail_03_lines,transit_tram_01_name,transit_tram_01_distance_m,transit_tram_01_latitude,transit_tram_01_longitude,transit_tram_01_lines,transit_tram_02_name,transit_tram_02_distance_m,transit_tram_02_latitude,transit_tram_02_longitude,transit_tram_02_lines,transit_tram_03_name,transit_tram_03_distance_m,transit_tram_03_latitude,transit_tram_03_longitude,transit_tram_03_lines,transit_bus_01_name,transit_bus_01_distance_m,transit_bus_01_latitude,transit_bus_01_longitude,transit_bus_01_lines,transit_bus_02_name,transit_bus_02_distance_m,transit_bus_02_latitude,transit_bus_02_longitude,transit_bus_02_lines,transit_bus_03_name,transit_bus_03_distance_m,transit_bus_03_latitude,transit_bus_03_longitude,transit_bus_03_lines,transit_stops_500m,transit_stop_count_1000m,transit_all_lines_1000m,transit_accessibility_score,crime_stadt,crime_bezirk,crime_bezirk_population,crime_bezirk_index,crime_haeufigkeitszahl_2023,crime_aufklaerungsquote_2023,crime_straftaten_2023,crime_strassenraub_2023,crime_koerperverletzung_2023,crime_diebstahl_fahrrad_2023,crime_wohnungseinbruch_2023,crime_straftaten_2023_rate_per_100k,crime_strassenraub_2023_rate_per_100k,crime_koerperverletzung_2023_rate_per_100k,crime_diebstahl_fahrrad_2023_rate_per_100k,crime_wohnungseinbruch_2023_rate_per_100k,crime_data_source
,Ackermannschule,Grundschule,grundschulen,Grundschule,1-4,Ackermannstraße 35-37,60326,Frankfurt am Main,Frankfurt am Main,Hessen,Gallus,50.0991,8.62504,+49 69 212 35549,+49 69 212 42071,poststelle.ackermannschule@stadt-frankfurt.de,,Stadt Frankfurt am Main,,,Nanna Feirer-Schanz,Sen Young Nam,312.0,14.0,08:00 bis 13:15 Uhr,,Schwerpunkt Sport,,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Arabisch, Serbisch, Türkisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Arabisch, Serbisch, Türkisch",Ganztagsangebote,Schule mit Erweiterter Schulischer Betreuung,"Ganztagsangebote, Jugendhilfeangebot, Kooperationspartner",,,,Öffnungszeiten: Ausleihe während der Unterrichtszeit mit Unterstützung von Eltern; Konzept: Verleih; Kooperation mit der Schulbibliothekarischen Arbeitsstelle; Ansprechpartner/in: Frau Kullmann; Herr Loos; Von der Stadtbücherei aufgebaut und organisiert,"Wilhelm Heinrich Ackermann (1789-1848) Pädagoge, Pestalozzi-Schüler",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/ackermannschule,ackermannschule,Frankfurt Schulwegweiser,2026-04-06,39,13.0,0,6,33,6,5,27,79,"2024,2023,2022",Unfallatlas,Griesheim,1478.0,50.094362,8.6056814,,Frankfurt (Main) Galluswarte,1504.0,50.1043873,8.6444435,,Frankfurt am Main Messe,1941.0,50.1119428,8.6434702,,Wickerer Straße,267.0,50.1009823,8.6227247,,Rebstöcker Straße,355.0,50.1015165,8.6282985,,Gustavsburgplatz,425.0,50.1005462,8.6305489,,Schulbus,86.0,50.0995834,8.6259743,,Wickerer Straße,268.0,50.1008613,8.6224688,,Rebstöcker Straße,351.0,50.1014552,8.6283097,,22,68,,50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Adolf-Reichwein-Schule,Grundschule,grundschulen,Grundschule,1-4,Lenzenbergstraße 70,65931,Frankfurt am Main,Frankfurt am Main,Hessen,Zeilsheim,50.1013,8.50287,+49 69 212 30790,+49 69 212 31632,poststelle.adolf-reichwein-schule@stadt-frankfurt.de,https://www.ars-zeilsheim.de/,Stadt Frankfurt am Main,,,Kim Reitzammer,Beata Butyurka,345.0,15.0,08:00 bis 13:15 Uhr,,,,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Türkisch, KOALA- Koordinierte Alphabetisierung im Anfangsunterricht",,,,"Englisch, Herkunftssprachlicher Unterricht, Türkisch, KOALA- Koordinierte Alphabetisierung im Anfangsunterricht",,Schule mit Frühbetreuung,"AGs am Nachmittag, Besondere Leseförderung, Ganztagsangebote, Kooperationspartner",,,"Ansprechpartner: Frau Pavic, 1. Vorsitzende; Kontakt über das Sekretariat",,"Adolf Reichwein (1898-1944), Reformpädagoge, im Dritten Reich im Widerstand tätig",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/adolf-reichwein-schule-test,adolf-reichwein-schule-test,Frankfurt Schulwegweiser,2026-04-06,39,13.0,0,6,33,6,5,27,79,"2024,2023,2022",Unfallatlas,Frankfurt-Zeilsheim,1254.0,50.0902826,8.5066433,,Liederbach Süd,1580.0,50.1154731,8.5012874,,Frankfurt am Main Sindlingen,1672.0,50.0875382,8.5123032,,Zuckschwerdtstraße,3550.0,50.103061,8.5525659,,Bolongaropalast,3563.0,50.1017019,8.5528179,,Tillystraße,4093.0,50.1014862,8.5602552,,Pferdskopfweg,90.0,50.1018166,8.5018899,,Bechtenwaldstraße,200.0,50.0996327,8.5039134,,Siedlung Taunusblick,350.0,50.1010289,8.4979752,,19,52,810,50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Aktive Schule Frankfurt (Grundschule),Grundschule,grundschulen,"Grundschule, Integrierte Gesamtschule (IGS)",1-10,Wacholderweg 5,60433,Frankfurt am Main,Frankfurt am Main,Hessen,Frankfurter Berg,50.1647205,8.6788359,+49 69 54000984,+49 69 54000985,info@aktive-schule-frankfurt.de,http://www.aktive-schule-frankfurt.de,Private Träger,Verein Aktive Schule Frankfurt e.V.,Staatlich genehmigte Ersatzschule,N.N.,,,,08:30 bis 13:00 Uhr,,,,,,Englisch,,,,Englisch,,,,,,,,Benannt nach dem Konzept: die Eigenaktivität der Kinder steht im Vordergrund,,,Mit Grundstufe,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/aktive-schule-frankfurt,aktive-schule-frankfurt,Frankfurt Schulwegweiser,2026-04-06,39,13.0,0,6,33,6,5,27,79,"2024,2023,2022",Unfallatlas,Frankfurt Frankfurter Berg,617.0,50.1701528,8.6770793,,Preungesheim,924.0,50.1585161,8.6874727,,Sigmund-Freud-Straße,1221.0,50.1547945,8.6861706,,Gravensteiner-Platz,1765.0,50.1551792,8.69864,,Alkmenestraße,2071.0,50.1518084,8.6997916,,Schwabstraße,2248.0,50.1446265,8.682291,,Kaiserkronenweg,162.0,50.1656034,8.6806363,,Hagebuttenweg,282.0,50.1671293,8.6775788,,Siedlung Frankfurter Berg,321.0,50.167602,8.6785823,,23,55,,50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Albert-Schweitzer-Schule,Grundschule,grundschulen,Grundschule,1-4,Berkersheimer Weg 26,60433,Frankfurt am Main,Frankfurt am Main,Hessen,Frankfurter Berg,50.167,8.6745,+49 69 212 71830,,poststelle_ASCH@stadt-frankfurt.de,http://www.albert-schweitzer-schule.de,Stadt Frankfurt am Main,,,Olaf Stavenow,Jule Bianchi,320.0,18.0,siehe Erläuterung der Unterrichtszeit,,"Schwerpunkt Kunst, Schwerpunkt Musik, Schwerpunkt Naturwissenschaften, Schwerpunkt Sport",,,Deutsch,Englisch,,,,Englisch,Ganztagsangebote,Schule mit Ganztagsangeboten - Profil 2,"AGs am Nachmittag, Förderung der Deutschkenntnisse, Ganztagsangebote, Jugendhilfeangebot, Kooperationspartner, Mittagessen",,Umweltschule,"""Verein Freunde und Förderer der ASS""",Schulzeitung,"Albert Schweitzer (1875-1965), Theologe, Arzt, Musiker, Philosoph",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/albert-schweitzer-schule,albert-schweitzer-schule,Frankfurt Schulwegweiser,2026-04-06,39,13.0,0,6,33,6,5,27,79,"2024,2023,2022",Unfallatlas,Frankfurt Frankfurter Berg,396.0,50.1701528,8.6770793,,Preungesheim,1321.0,50.1585161,8.6874727,,Sigmund-Freud-Straße,1592.0,50.1547945,8.6861706,,Gravensteiner-Platz,2164.0,50.1551792,8.69864,,Alkmenestraße,2470.0,50.1518084,8.6997916,,Schwabstraße,2549.0,50.1446265,8.682291,,Fliederweg,71.0,50.1667067,8.6736123,,Hagebuttenweg,180.0,50.1671879,8.6770035,,Siedlung Frankfurter Berg,282.0,50.1676066,8.6783406,,24,46,,50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Albrecht-Dürer-Schule,Grundschule,grundschulen,Grundschule,1-4,Sossenheimer Riedstraße 13,65936,Frankfurt am Main,Frankfurt am Main,Hessen,Sossenheim,50.121,8.57014,+49 69 212 31662,+49 69 212 36718,poststelle.albrecht-duerer-schule@stadt-frankfurt.de,http://www.albrecht-duerer-schule-frankfurt.de,Stadt Frankfurt am Main,,,Alice Schumann,Sandra Heuchele,415.0,17.0,08:00 Uhr bis mind. 11:30 Uhr und max. bis 15:30 Uhr,,,,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Türkisch, KOALA - Koordinierte Alphabetisierung im Anfangsunterricht",,,,"Englisch, Herkunftssprachlicher Unterricht, Türkisch, KOALA - Koordinierte Alphabetisierung im Anfangsunterricht",Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Besondere Leseförderung, Förderung der Deutschkenntnisse, Ganztagsangebote, Jugendhilfeangebot, Kooperationspartner, Mittagessen",,Gesundheitsfördernde Schule,,Schülerzeitung,"Albrecht Dürer (1471-1528), Maler",,,Mit Vorklasse und Vorlaufkurs,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/albrecht-duerer-schule,albrecht-duerer-schule,Frankfurt Schulwegweiser,2026-04-06,39,13.0,0,6,33,6,5,27,79,"2024,2023,2022",Unfallatlas,Sossenheim,1358.0,50.1149359,8.5536044,,Eschborn Süd,1520.0,50.133625,8.5783053,,Nied,2079.0,50.1023216,8.5714188,,Tillystraße,2281.0,50.1014862,8.5602552,,Zuckschwerdtstraße,2347.0,50.1031171,8.5526441,,Birminghamstraße,2405.0,50.0999925,8.5781938,,Westerwaldstraße,217.0,50.1227652,8.5688289,,Sossenheim Volkshaus,282.0,50.1221137,8.5665797,,Sossenheimer Kirchberg,292.0,50.1196285,8.5666481,,15,30,,50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Alexander-Puschkin-Schule,Grundschule,grundschulen,Grundschule,1-4,Humboldtstraße 12,60318,Frankfurt am Main,Frankfurt am Main,Hessen,Sachsenhausen,50.0960202,8.670427,+49 69 154469802,,info@alexander-puschkin-schule.org,http://www.alexander-puschkin-schule.org,Private Träger,Alexander Puschkin Schule in freier Trägerschaft gGmbH,Staatlich genehmigte Ersatzschule,Natalia Vukolova,,,,08:20 bis 13:00 Uhr,,,,,Bilingual Deutsch/Russisch,"Englisch, Russisch","Englisch, Russisch, Bilingual, Russisch",,,"Englisch, Russisch, Englisch, Russisch, Bilingual, Russisch",Ganztagsangebote,,"AGs am Nachmittag, Hausaufgabenhilfe/-betreuung",,,,Ganztagsangebote,Russischer Dichter (1799-1837),,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/alexander-puschkin-schule,alexander-puschkin-schule,Frankfurt Schulwegweiser,2026-04-06,39,13.0,0,6,33,6,5,27,79,"2024,2023,2022",Unfallatlas,Stresemannallee,202.0,50.0942383,8.6709594,,Schweizer Platz,982.0,50.1016084,8.6810861,,Gartenstraße Museumsufer,1028.0,50.1031575,8.6795856,,Stresemannallee Bahnhof,162.0,50.0946507,8.6712181,,Friedensbrücke,322.0,50.098823,8.6692789,,Vogelweidstraße,414.0,50.0976056,8.6651832,,Stresemannallee,189.0,50.0943942,8.6712189,,Friedensbrücke,230.0,50.0980491,8.6697783,,Burnitzstraße,233.0,50.0971587,8.6731648,,36,123,N16,50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Anna-Schmidt-Schule (Grundschule),Grundschule,grundschulen,Grundschule,1-4,Gärtnerweg 29,60322,Frankfurt am Main,Frankfurt am Main,Hessen,Westend,50.1186492,8.6756466,+49 69 9550050,+49 69 95500557,info@anna-schmidt-schule.de,https://www.anna-schmidt-schule.de,Private Träger,Schulverein Anna Schmidt e.V,Staatlich anerkannte Ersatzschule,Lars Hierath,,375.0,15.0,8:00 – 14:00,,"MINT-freundliche Schule, UNESCO-Projektschule",,,,Englisch,Englisch,,,"Englisch, Englisch",,,"AGs am Nachmittag, Ganztägig arbeitende Schule, Ganztagsangebote, Gewaltprävention, Hausaufgabenhilfe/-betreuung, Mittagessen",,"UNESCO-Projektschule, MINT-freundliche Schule, Digitale Schule, Internet-ABC-Schule",,Medien-/Internetangebote,Benannt nach der der Gründerin Anna Schmidt,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/anna-schmidt-schule,anna-schmidt-schule,Frankfurt Schulwegweiser,2026-04-06,39,13.0,0,6,33,6,5,27,79,"2024,2023,2022",Unfallatlas,Eschenheimer Tor,232.0,50.1179055,8.6786906,,Oeder Weg 1-25,274.0,50.1180564,8.6793792,,"U-Bahn (50.1178,8.6796)",298.0,50.1177706,8.6795975,,Hessendenkmal,955.0,50.1186272,8.6890393,,Römer/Paulskirche,972.0,50.1108518,8.6818176,,Karmeliterkloster,973.0,50.1100197,8.6778661,,Eschenheimer Tor,202.0,50.1177769,8.6781324,,Grüneburgweg,322.0,50.1215445,8.675659,,Alte Oper,372.0,50.1170656,8.6710492,,47,215,"36, 64, M36, N7, n72",50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Astrid-Lindgren-Schule,Grundschule,grundschulen,Grundschule,1-4,Platenstraße 75,60431,Frankfurt am Main,Frankfurt am Main,Hessen,Ginnheim,50.1378,8.6624,+49 69 212 45662,+49 69 212 45660,poststelle.astrid-lindgren-schule@stadt-frankfurt.de,http://www.als-frankfurt.de,Stadt Frankfurt am Main,,,Wolfgang Weber,Dorothea Kappatsch,350.0,15.0,08:00 bis 13:15 Uhr,,,,,Deutsch,Englisch,"Englisch, Weitere Sprachangebote, Französisch, Herkunftssprachlicher Unterricht, Türkisch, KOALA - Koordinierte Alphabetisierung im Anfangsunterricht",,,"Englisch, Englisch, Weitere Sprachangebote, Französisch, Herkunftssprachlicher Unterricht, Türkisch, KOALA - Koordinierte Alphabetisierung im Anfangsunterricht",Ganztagsangebote,Schule mit Frühbetreuung,"Besondere Leseförderung, Förderung besonderer Begabung, Förderung der Deutschkenntnisse, Ganztagsangebote, Gewaltprävention, Jugendhilfeangebot, Kooperationspartner",,Gütesiegel Hochbegabtenförderung,"""Förderverein der Astrid-Lindgren-Schule e. V"", Ansprechpartner: Frau Lobo und Herr Reinelt",Öffnungszeiten: Es gibt keine festen Öffnungszeiten. Jede Klasse kann sich für eine oder mehrere feste Stunden die Bücherei reservieren. Die Bücherei wird auch für Lesungen und Lesenächte genutzt.,"Astrid Lindgren (1907-2002), schwedische Kinderbuchautorin",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/astrid-lindgren-schule,astrid-lindgren-schule,Frankfurt Schulwegweiser,2026-04-06,39,13.0,0,6,33,6,5,27,79,"2024,2023,2022",Unfallatlas,Am Dornbusch 9-1,552.0,50.1384803,8.6700751,,Am Dornbusch 2-14,559.0,50.1386738,8.6701247,,Eschersheimer Landstraße 277-257,582.0,50.137623,8.6705596,,Ginnheim Mitte,1155.0,50.1402029,8.6466334,,Markus-Krankenhaus,1191.0,50.1366419,8.6457914,,Frauenfriedenskirche,1514.0,50.1288186,8.646436,,Astrid Lindgren Schule,58.0,50.1378166,8.6632107,,Fallerslebenstraße,182.0,50.1387638,8.6644593,,Platenstraße,193.0,50.1362979,8.6637684,,18,83,,50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,August-Gräser-Schule,Grundschule,grundschulen,Grundschule,1-4,Gerolsteiner Straße 2,60529,Frankfurt am Main,Frankfurt am Main,Hessen,Schwanheim,50.0882,8.57697,+49 69 212 36719,+49 69 212 38066,poststelle.august-graeser-schule@stadt-frankfurt.de,http://www.august-graeser-schule.de/,Stadt Frankfurt am Main,,,Saskia Ghribi,Michael Ellerbrock,250.0,12.0,08:30 bis 13:45 Uhr,,"Schwerpunkt Sport, Schwerpunkt Neue Technologien, Schwerpunkt Musik, Schwerpunkte",,,,"Englisch, Weitere Sprachangebote, Französisch, Herkunftssprachlicher Unterricht, Türkisch",,,,"Englisch, Weitere Sprachangebote, Französisch, Herkunftssprachlicher Unterricht, Türkisch",Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Besondere Leseförderung, Ganztagsangebote, Gewaltprävention, Jugendhilfeangebot, Kooperationspartner",,"Schule mit besonderer musikalischer Förderung, Internet- ABC- Schule",https://fv-ags.de,,"August Gräser (1877-1961), ehrenamtlicher Stadtrat",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/august-graeser-schule,august-graeser-schule,Frankfurt Schulwegweiser,2026-04-06,39,13.0,0,6,33,6,5,27,79,"2024,2023,2022",Unfallatlas,Nied,1619.0,50.1023216,8.5714188,,Griesheim,2160.0,50.094362,8.6056814,,Frankfurt-Höchst,2968.0,50.1027438,8.5420871,,Rheinlandstraße,726.0,50.082324,8.5814124,12;19,Ferdinand-Dirichs-Weg,1004.0,50.0826345,8.5880544,,Luthmerstraße,1259.0,50.0990806,8.5720818,,Geisenheimer Straße,130.0,50.0889175,8.5755286,,Mauritiusstraße,235.0,50.0873248,8.5799739,,Friedhof Schwanheim,345.0,50.0893488,8.5724749,,19,51,"12, 19, 51, 54, 62, 68, 78, n7",50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Berkersheimer Schule,Grundschule,grundschulen,Grundschule,1-4,In den Gräben 5,60435,Frankfurt am Main,Frankfurt am Main,Hessen,Berkersheim,50.1738,8.69624,+49 69 212 41005,+49 69 212 41108,poststelle.berkersheimer-grundschule@stadt-frankfurt.de,http://www.berkersheimer-schule.de,Stadt Frankfurt am Main,,,Fatima Oturak-Pieknik,Petra Henicke-Mathieu,302.0,13.0,siehe Erläuterung der Unterrichtszeit,,"Schwerpunkt Musik, Schwerpunkt Sport",,,,"Englisch, Weitere Sprachangebote, Französisch",,,,"Englisch, Weitere Sprachangebote, Französisch",Ganztagsangebote,Schule mit Erweiterter Schulischer Betreuung,"AGs am Nachmittag, Ganztagsangebote, Kooperationspartner",,"Europaschule, Gesundheitsfördernde Schule, Faustlos","""Verein der Freunde und Förderer der Berkersheimer Schule e.V."", Ansprechpartner: Herr Passarge (mailto:foerderverein.gsberkersheim@gmail.com)",Schüleraustausch,Benannt nach der ehemals selbstständigen Gemeinde Berkersheim.,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/berkersheimer-schule,berkersheimer-schule,Frankfurt Schulwegweiser,2026-04-06,39,13.0,0,6,33,6,5,27,79,"2024,2023,2022",Unfallatlas,Frankfurt-Berkersheim,300.0,50.1763439,8.6976301,,Frankfurt Frankfurter Berg,1424.0,50.1701528,8.6770793,,Preungesheim,1811.0,50.1585161,8.6874727,,Gravensteiner-Platz,2077.0,50.15519,8.6987305,,Alkmenestraße,2458.0,50.1518084,8.6997916,,Walter-Kolb-Siedlung,3041.0,50.1468119,8.7031811,18.0,Berkersheim Mitte,366.0,50.1705945,8.6974363,,Berkersheim Bahnhof,471.0,50.1778119,8.698377,,Im Steinbügel,673.0,50.1678292,8.6946809,,7,23,,50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
