schulnummer,schulname,school_type,schulkategorie,schulform_raw,klassenstufe,strasse,plz,ort,stadt,bundesland,ortsteil,latitude,longitude,telefon,fax,email,website,traegerschaft,traeger_name,form_der_privatschule,schulleitung,stv_schulleitung,schueler_gesamt,klassenzahl,unterrichtszeit,unterrichtszeit_erlaeuterung,profile,sonstige_profile,foerderschwerpunkt,unterrichtssprache,fruehe_fremdsprache,erste_fremdsprache,zweite_fremdsprache,dritte_fremdsprache,sprachen,art_des_angebots,ganztagsform,besonderheiten,besonderheiten_erlaeuterung,auszeichnungen,foerderverein,schulbibliothek,namensgebung,berufsbereiche,ausbildungsberufe,schulform_bemerkung,ndh_count,sw_portal_url,sw_portal_slug,data_source,data_retrieved,traffic_accidents_total,traffic_accidents_per_year,traffic_accidents_fatal,traffic_accidents_serious,traffic_accidents_minor,traffic_accidents_bicycle,traffic_accidents_pedestrian,traffic_accidents_school_hours,traffic_nearest_accident_m,traffic_data_years,traffic_data_source,transit_rail_01_name,transit_rail_01_distance_m,transit_rail_01_latitude,transit_rail_01_longitude,transit_rail_01_lines,transit_rail_02_name,transit_rail_02_distance_m,transit_rail_02_latitude,transit_rail_02_longitude,transit_rail_02_lines,transit_rail_03_name,transit_rail_03_distance_m,transit_rail_03_latitude,transit_rail_03_longitude,transit_rail_03_lines,transit_tram_01_name,transit_tram_01_distance_m,transit_tram_01_latitude,transit_tram_01_longitude,transit_tram_01_lines,transit_tram_02_name,transit_tram_02_distance_m,transit_tram_02_latitude,transit_tram_02_longitude,transit_tram_02_lines,transit_tram_03_name,transit_tram_03_distance_m,transit_tram_03_latitude,transit_tram_03_longitude,transit_tram_03_lines,transit_bus_01_name,transit_bus_01_distance_m,transit_bus_01_latitude,transit_bus_01_longitude,transit_bus_01_lines,transit_bus_02_name,transit_bus_02_distance_m,transit_bus_02_latitude,transit_bus_02_longitude,transit_bus_02_lines,transit_bus_03_name,transit_bus_03_distance_m,transit_bus_03_latitude,transit_bus_03_longitude,transit_bus_03_lines,transit_stops_500m,transit_stop_count_1000m,transit_all_lines_1000m,transit_accessibility_score,crime_stadt,crime_bezirk,crime_bezirk_population,crime_bezirk_index,crime_haeufigkeitszahl_2023,crime_aufklaerungsquote_2023,crime_straftaten_2023,crime_strassenraub_2023,crime_koerperverletzung_2023,crime_diebstahl_fahrrad_2023,crime_wohnungseinbruch_2023,crime_straftaten_2023_rate_per_100k,crime_strassenraub_2023_rate_per_100k,crime_koerperverletzung_2023_rate_per_100k,crime_diebstahl_fahrrad_2023_rate_per_100k,crime_wohnungseinbruch_2023_rate_per_100k,crime_data_source
,Abendgymnasium,Gymnasiale Oberstufe,weiterfuehrende-allgemeinbildende-schulen,"Gymnasiale Oberstufe, Schule f. Erwachsene (Abendschule), Weiterführende allgemeinbildende Schule",,Martin-Elsässer-Weg 6,60314,Frankfurt am Main,Frankfurt am Main,Hessen,Ostend,50.1104247,8.6981037,+49 69 212 40090,+49 69 212 39929,sekretariat@abendgymnasium-frankfurt.de,http://www.abendgymnasium-frankfurt.de/,Stadt Frankfurt am Main,,,Frank-Armin Neumann,N.N.,180.0,8.0,"siehe ""Erläuterung zu der Unterrichtszeit""",,"Schwerpunkt Naturwissenschaften, Schwerpunkt Neue Technologien, Schwerpunkt Sprachen",,,Deutsch,,Englisch,"Französisch, Spanisch",,"Englisch, Französisch, Spanisch",,,"AGs am Nachmittag, Förderung der Deutschkenntnisse, Gewaltprävention",,UNESCO-Projektschule,"""Verein der Freunde und Förderer des Abendgymnasiums""",Selbstlernzentrum; Öffnungszeiten Mo.-Fr. 13:30-18:30 Uhr,,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-allgemeinbildende-schulen/abendgymnasium,abendgymnasium,Frankfurt Schulwegweiser,2026-04-06,262,87.3,1,21,240,112,64,106,23,"2024,2023,2022",Unfallatlas,Ostendstraße; Europäische Zentralbank (ECB),83.0,50.1111515,8.6978556,,Ostendstraße; ECB,104.0,50.1113552,8.6982152,,Ostendstraße,245.0,50.1125091,8.6970061,,Ostendstraße,325.0,50.1132808,8.6971192,,Zobelstraße,355.0,50.1129116,8.7012279,,Hospital zum Heiligen Geist,383.0,50.1105492,8.6927342,14;18,Ostendstraße,294.0,50.113072,8.6980412,,Zobelstraße,327.0,50.1128393,8.7007318,,Allerheiligentor,432.0,50.113221,8.6938983,,29,179,"14, 18, n72",50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Abendhaupt- und Abendrealschule,Schule f. Erwachsene (Abendschule),weiterfuehrende-allgemeinbildende-schulen,"Schule f. Erwachsene (Abendschule), Weiterführende allgemeinbildende Schule",,Hanauer Landstraße 26,60314,Frankfurt am Main,Frankfurt am Main,Hessen,Ostend,50.1119637,8.6981928,+49 69 212 30413,+49 69 212 40546,poststelle.abendhaupt-und-realschule@stadt-frankfurt.de,http://www.ahrs-frankfurt.de/,Stadt Frankfurt am Main,,,Herr Folke,Antje Buer,450.0,,"Unterricht in drei Zeitschienen: Vormittags, nachmittags und abends. Nachholen von Schulabschlüssen",,"Schwerpunkt Naturwissenschaften, Schwerpunkt Neue Technologien",,,Deutsch,,Englisch,Französisch,,"Englisch, Französisch",,,"Gewaltprävention, Förderung der Deutschkenntnisse",,,,,,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-allgemeinbildende-schulen/abendhaupt--und-abendrealschule,abendhaupt--und-abendrealschule,Frankfurt Schulwegweiser,2026-04-06,262,87.3,1,21,240,112,64,106,23,"2024,2023,2022",Unfallatlas,Ostendstraße; ECB,68.0,50.1113552,8.6982152,,Ostendstraße; Europäische Zentralbank (ECB),93.0,50.1111515,8.6978556,,Ostendstraße,104.0,50.1125091,8.6970061,,Ostendstraße,165.0,50.1132808,8.6971192,,Zobelstraße,241.0,50.1129116,8.7012279,,Allerheiligentor,335.0,50.1133252,8.6940053,,Ostendstraße,124.0,50.113072,8.6980412,,Zobelstraße,206.0,50.1128393,8.7007318,,Allerheiligentor,337.0,50.113221,8.6938983,,45,177,"14, 18, n72",50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Adorno-Gymnasium,Gymnasium,weiterfuehrende-allgemeinbildende-schulen,"Gymnasium, Weiterführende allgemeinbildende Schule",5-13,Miquelallee 160,60323,Frankfurt am Main,Frankfurt am Main,Hessen,Westend,50.1313088,8.6621918,+49 69 212 71917,+49 69 212 75975,Poststelle.Adorno-Gymnasium@stadt-frankfurt.de,https://adorno-gymnasium.de/,Stadt Frankfurt am Main,,,Annette Lommel-Sturm,Torsten Schulz,1300.0,50.0,08:20 bis 17:45 Uhr,,Schwerpunkt Naturwissenschaften,,,Deutsch,,Englisch,"Französisch, Latein","Chinesisch, Spanisch","Englisch, Französisch, Latein, Chinesisch, Spanisch",Ganztagsangebote,Schule mit Ganztagsangeboten - Profil 2,"AGs am Nachmittag, Ganztagsangebote, Hausaufgabenhilfe/-betreuung, Mittagessen",,"MINT-freundliche Schule, Digitale Schule, Umweltschule, Frankfurter Schule für Nachhaltigkeit","""Förderverein des Gymnasium Nied e.V.""",Von der Stadtbücherei aufgebaut und organisiert.,,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-allgemeinbildende-schulen/adorno-gymnasium,adorno-gymnasium,Frankfurt Schulwegweiser,2026-04-06,262,87.3,1,21,240,112,64,106,23,"2024,2023,2022",Unfallatlas,Miquelallee,661.0,50.131402,8.6714702,,Eschersheimer Landstraße,690.0,50.1319176,8.671823,,Miquel-/Adickesallee,713.0,50.131535,8.6721951,,Frauenfriedenskirche,1156.0,50.128635,8.646522,,Juliusstraße,1253.0,50.1256411,8.6469957,,Markus-Krankenhaus,1311.0,50.1366419,8.6457914,,Grüneburgpark,69.0,50.1312624,8.6612198,,Miquel-/Hansaallee,398.0,50.1316147,8.6677569,,Plieningerstraße,506.0,50.1336305,8.6682905,,7,99,36,50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Aktive Schule Frankfurt,Integrierte Gesamtschule (IGS),weiterfuehrende-allgemeinbildende-schulen,"Integrierte Gesamtschule (IGS), Weiterführende allgemeinbildende Schule",1-10,Wacholderweg 5,60433,Frankfurt am Main,Frankfurt am Main,Hessen,Frankfurter Berg,50.1651,8.67902,+49 69 54000984,+49 69 54000985,info@aktive-schule-frankfurt.de,http://www.aktive-schule-frankfurt.de,Private Träger,"Verein Aktive Schule Frankfurt e.V., Wacholderweg 5, 60433 Frankfurt am Main",Staatlich genehmigte Ersatzschule,N.N.,,,,08:30 bis 13:00 Uhr,,,,,,,,,,,,,,,,,,Benannt nach dem Konzept: die Eigenaktivität der Kinder steht im Vordergrund.,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-allgemeinbildende-schulen/aktive-schule-frankfurt,aktive-schule-frankfurt,Frankfurt Schulwegweiser,2026-04-06,262,87.3,1,21,240,112,64,106,23,"2024,2023,2022",Unfallatlas,Frankfurt Frankfurter Berg,579.0,50.1701528,8.6770793,,Preungesheim,948.0,50.1585161,8.6874727,,Sigmund-Freud-Straße,1254.0,50.1547945,8.6861706,,Gravensteiner-Platz,1781.0,50.1551792,8.69864,,Alkmenestraße,2091.0,50.1518084,8.6997916,,Schwabstraße,2288.0,50.1446265,8.682291,,Kaiserkronenweg,128.0,50.1656034,8.6806363,,Hagebuttenweg,248.0,50.1671293,8.6775788,,Siedlung Frankfurter Berg,280.0,50.167602,8.6785823,,23,57,,50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Anna-Schmidt-Schule,Gymnasium,weiterfuehrende-allgemeinbildende-schulen,"Gymnasium, Weiterführende allgemeinbildende Schule",5-12,Gärtnerweg 29,60322,Frankfurt am Main,Frankfurt am Main,Hessen,Westend,50.1187,8.67493,+49 69 9550050,+49 69 95500557,info@anna-schmidt-schule.de,https://www.anna-schmidt-schule.de,Private Träger,Schulverein Anna Schmidt e.V.,Staatlich anerkannte Ersatzschule,Lars Hierath,,1545.0,33.0,"siehe ""Erläuterung zu der Unterrichtszeit""",,"MINT-freundliche Schule, UNESCO-Projektschule",,,,Englisch,Englisch,"Französisch, Latein, Spanisch","Französisch, Latein, Spanisch","Englisch, Englisch, Französisch, Latein, Spanisch, Französisch, Latein, Spanisch",,,"AGs am Nachmittag, Angebote zur beruflichen Orientierung, Ganztagsangebote, Gewaltprävention, Hausaufgabenhilfe/-betreuung, Mittagessen, Schüleraustausch",,"UNESCO-Projektschule, MINT-freundliche Schule, Digitale Schule",,,Benannt nach der Gründerin Anna Schmidt.,,,G8 Gymnasium im Westend,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-allgemeinbildende-schulen/anna-schmidt-schule,anna-schmidt-schule,Frankfurt Schulwegweiser,2026-04-06,262,87.3,1,21,240,112,64,106,23,"2024,2023,2022",Unfallatlas,Eschenheimer Tor,282.0,50.1179055,8.6786906,,Oeder Weg 1-25,325.0,50.1180564,8.6793792,,"U-Bahn (50.1217,8.6756)",337.0,50.1217046,8.6755529,,Karmeliterkloster,988.0,50.1100197,8.6778661,,Römer/Paulskirche,1001.0,50.1108518,8.6818176,,Hessendenkmal,1006.0,50.1186272,8.6890393,,Eschenheimer Tor,250.0,50.1177769,8.6781324,,Grüneburgweg,319.0,50.1215489,8.6754937,,Alte Oper,331.0,50.1170656,8.6710492,,47,187,"36, 64, M36, N7",50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Anne-Frank-Schule,Realschule,weiterfuehrende-allgemeinbildende-schulen,"Realschule, Weiterführende allgemeinbildende Schule",5-10,Fritz-Tarnow-Straße 29,60320,Frankfurt am Main,Frankfurt am Main,Hessen,Dornbusch,50.1432,8.67164,+49 69 212 38752,,poststelle.anne-frank-schule@stadt-frankfurt.de,http://www.anne-frank-schule-frankfurt.de,Stadt Frankfurt am Main,,,Nicola Gudat,Christiane Köller,560.0,18.0,07:50 bis 13:15 Uhr,,,,,Deutsch,,Englisch,"Französisch, Spanisch",,"Englisch, Französisch, Spanisch",,,"AGs am Nachmittag, Angebote zur beruflichen Orientierung, Besondere Leseförderung, Förderung der Deutschkenntnisse, Gewaltprävention, Jugendhilfeangebot, Kooperationspartner, Schüleraustausch, Schülerzeitung",,"""Gesundheitsfördernde Schule"", Umweltschule","""Freunde und Förderer der Anne-Frank Schule e.V."", Ansprechpartnerin: Frau Carolin Hescher","Konzept: Verleih- und Präsenzbibliothek, Öffnungszeiten: Täglich in den Pausen; Von der Stadtbücherei aufgebaut und organisiert","nach der früher im Stadtteil Dornbusch lebenden Jüdin Anne Frank (1929 - 1945), die als nur 15jährige im KZ Bergen-Belsen umkam, nachdem die Nationalsozialisten die Familie zunächst ins Exil nach Amsterdam vertrieb und schließlich aus dem Versteck in verschiedene Konzentrationslager verschleppte.",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-allgemeinbildende-schulen/anne-frank-schule,anne-frank-schule,Frankfurt Schulwegweiser,2026-04-06,262,87.3,1,21,240,112,64,106,23,"2024,2023,2022",Unfallatlas,Fritz-Tarnow-Straße,213.0,50.1427704,8.6687232,,Marbachweg 364-356,478.0,50.1389427,8.6707032,,Marbachweg 365-331,514.0,50.1386158,8.6706792,,Schwabstraße,775.0,50.1446265,8.682291,,Ginnheim Mitte,1813.0,50.1402029,8.6466334,,Friedberger Warte,1944.0,50.1393738,8.69826,,Fritz-Tarnow-Straße,198.0,50.142783,8.668943,,Dornbusch,457.0,50.1391497,8.6705176,,Kaiser-Sigmund-Straße,514.0,50.1406992,8.6776992,,10,88,,50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Bettinaschule,Gymnasium,weiterfuehrende-allgemeinbildende-schulen,"Gymnasium, Weiterführende allgemeinbildende Schule",5-13,Feuerbachstraße 37-47,60325,Frankfurt am Main,Frankfurt am Main,Hessen,Westend,50.1163,8.66293,+49 69 212 33028,+49 69 212 34975,poststelle.bettinaschule@stadt-frankfurt.de,http://www.bettinaschule-frankfurt.de,Stadt Frankfurt am Main,,,Frieder Schwarz,,898.0,25.0,08:00 bis 18:50 Uhr,,"Schwerpunkt Musik, Schwerpunkt Naturwissenschaften",,,Deutsch,,Englisch,"Französisch, Latein, Spanisch","Italienisch, Spanisch, Weitere Sprachangebote, Chinesisch","Englisch, Französisch, Latein, Spanisch, Italienisch, Spanisch, Weitere Sprachangebote, Chinesisch",Ganztagsangebote,Schule mit Ganztagsangeboten - Profil 2,"AGs am Nachmittag, Ganztagsangebote, Hausaufgabenhilfe/-betreuung, Mittagessen, Schüleraustausch, Schülerzeitung",,"Prädikat ""Schwerpunkt Musik"", Umweltschule","""Ehemaligen- und Förderverein der Bettinaschule"", Ansprechpartnerin: Frau U. Lenger","Konzept: Präsenzbestand und Verleihbestand mit Schülerausweis, Betreuung durch außerschulische Mitarbeiter, Vorlese-Angebote und Kinoangebot mit anschließender Besprechung, Vorlesezeiten, Lesungen; von der Stadtbücherei aufgebaut und organisiert","Bettina von Arnim, geb. Brentano (1785-1859)",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-allgemeinbildende-schulen/bettinaschule,bettinaschule,Frankfurt Schulwegweiser,2026-04-06,262,87.3,1,21,240,112,64,106,23,"2024,2023,2022",Unfallatlas,Feuerbachstraße,188.0,50.1179803,8.6631555,,Freiherr-vom-Stein-Straße,205.0,50.1181243,8.6633367,,Westend,209.0,50.118164,8.6625889,,Hohenstaufenstraße,715.0,50.1109059,8.6574625,,Festhalle/Messe,756.0,50.1121827,8.654498,,Platz der Republik,793.0,50.1092791,8.6610064,,Westend,193.0,50.118035,8.6630648,M36;N7,Wöhlerstraße,242.0,50.1173962,8.6658581,,Niedenau,319.0,50.1168741,8.6673131,,26,165,"64, M36, N7",50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Brüder-Grimm-Schule,Realschule,weiterfuehrende-allgemeinbildende-schulen,"Realschule, Weiterführende allgemeinbildende Schule",5-10,Luxemburgerallee 1-3,60385,Frankfurt am Main,Frankfurt am Main,Hessen,Ostend,50.1199,8.71195,+49 69 212 35277,+49 69 212 35164,poststelle.brueder-grimm-schule@stadt-frankfurt.de,https://www.brueder-grimm-schule-ffm.de/,Stadt Frankfurt am Main,,,Zarlasht Lefrancois,,380.0,13.0,"08:00 bis 13:15 Uhr, siehe ""Erläuterung zu der Unterrichtszeit""",,Schwerpunkt Neue Technologien,,,Deutsch,,Englisch,"Französisch, Bilingual, Englisch",,"Englisch, Französisch, Bilingual, Englisch",Ganztagsangebote,Schule mit Ganztagsangeboten - Profil 1,"AGs am Nachmittag, Angebote zur beruflichen Orientierung, Förderung der Deutschkenntnisse, Ganztagsangebote, Gewaltprävention, Hausaufgabenhilfe/-betreuung, Jugendhilfeangebot, Kooperationspartner, Mittagessen, Pausenverkauf",,"Umweltschule, MINT-freundliche Schule",,"Öffnungszeiten: Montag, Mittwoch und Freitag von 09:30 bis 12:00 Uhr; von der Stadtbücherei aufgebaut und organisiert","Jakob Grimm (1785-1863)/ Wilhelm Grimm (1786-1859) Sprachforscher, Sammler von Märchen und Sagen",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-allgemeinbildende-schulen/brueder-grimm-schule,brueder-grimm-schule,Frankfurt Schulwegweiser,2026-04-06,262,87.3,1,21,240,112,64,106,23,"2024,2023,2022",Unfallatlas,"Luxemburgerallee, Rhönstraße",41.0,50.1195899,8.7122494,,"U-Bahn (50.1197,8.7128)",66.0,50.1197491,8.7128498,,Parlamentsplatz,116.0,50.120065,8.7135633,,Freiligrathstraße,277.0,50.1219778,8.7098076,,Habsburger-/Wittelsbacherallee,433.0,50.120346,8.705918,,Saalburg-/Wittelsbacherallee,478.0,50.1241594,8.7128602,,Freiligrathstraße,279.0,50.1222959,8.7107659,,Habsburgerallee,356.0,50.118007,8.7079186,,Habsburger-/Wittelsbacherallee,433.0,50.1201983,8.7058982,,32,127,"38, OF-103, n5",50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Carl-Schurz-Schule,Gymnasium,weiterfuehrende-allgemeinbildende-schulen,"Gymnasium, Weiterführende allgemeinbildende Schule",5-12,Holbeinstraße 21-23,60596,Frankfurt am Main,Frankfurt am Main,Hessen,Sachsenhausen,50.1008,8.67605,+49 69 212 33840,+49 69 212 40554,poststelle.carl-schurz-schule@stadt-frankfurt.de,http://www.carl-schurz-schule.de,Stadt Frankfurt am Main,,,Christof Gans,Hans Bender,1037.0,23.0,08:00 bis 17:00 Uhr,,"Schwerpunkt Musik, Schwerpunkt Naturwissenschaften, Schwerpunkt Sprachen",,,Deutsch,,"Englisch, Französisch","Englisch, Latein","Latein, Spanisch, Bilingual, Französisch","Englisch, Französisch, Englisch, Latein, Latein, Spanisch, Bilingual, Französisch",Ganztagsangebote,Schule mit Ganztagsangeboten - Profil 1,"AGs am Nachmittag, Ganztagsangebote, Hausaufgabenhilfe/-betreuung, Kooperationspartner, Mittagessen, Pausenverkauf, Schüleraustausch",,"Prädikat ""Schwerpunkt Musik""","""Förderverein der Carl-Schurz-Schule"", Ansprechpartner: Herr Christian Bokelmann",geöffnet ab der Mittagspause; von der Stadtbücherei aufgebaut und organisiert,"Carl Schurz (1829-1906), Politiker",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-allgemeinbildende-schulen/carl-schurz-schule,carl-schurz-schule,Frankfurt Schulwegweiser,2026-04-06,262,87.3,1,21,240,112,64,106,23,"2024,2023,2022",Unfallatlas,Schweizer Platz,337.0,50.1024094,8.6800572,,Gartenstraße Museumsufer,364.0,50.1031575,8.6795856,,Frankfurt (Main) Süd,749.0,50.099356,8.6863016,,Otto-Hahn-Platz,118.0,50.1018267,8.6756495,,Schweizer-/Gartenstraße,356.0,50.1032305,8.6792986,,Schwanthalerstraße,370.0,50.1011645,8.681209,,Otto-Hahn-Platz,106.0,50.1008781,8.6745704,,Holbein-Schule,307.0,50.0991006,8.6794444,,Schweizer-/Gartenstraße,346.0,50.1031509,8.6792291,,39,170,"N16, N8",50.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
,Carl-von-Weinberg-Schule,Integrierte Gesamtschule (IGS),weiterfuehrende-allgemeinbildende-schulen,"Integrierte Gesamtschule (IGS), Gesamtschule mit Gymnasialer Oberstufe, Weiterführende allgemeinbildende Schule",5-13,Zur Waldau 21,60529,Frankfurt am Main,Frankfurt am Main,Hessen,Schwanheim,50.08,8.6121,+49 69 212 32810,+49 69 212 32806,poststelle.carl-von-weinberg-schule@stadt-frankfurt.de,https://cvw-schule.de/,Stadt Frankfurt am Main,,,Carolin Kubbe,N.N.,1162.0,49.0,08:00 bis 17:10 Uhr,,"Schwerpunkt Kunst, Schwerpunkt Musik, Schwerpunkt Naturwissenschaften, Schwerpunkt Neue Technologien, Schwerpunkt Sport",,,Deutsch,,Englisch,"Französisch, Spanisch, Weitere Sprachangebote, Französisch, Spanisch, Latein",,"Englisch, Französisch, Spanisch, Weitere Sprachangebote, Französisch, Spanisch, Latein",Ganztagsangebote,Schule mit Ganztagsangeboten - Profil 3,"AGs am Nachmittag, Angebote zur beruflichen Orientierung, Ganztagsangebote, Gewaltprävention, Hausaufgabenhilfe/-betreuung, Jugendhilfeangebot, Kooperationspartner, Mittagessen, Pausenverkauf, Schüleraustausch",,"Prädikat „Eliteschule des Sports“ und ""Eliteschule des Fußballs""","""Förderteam der Carl-von-Weinberg-Schule Frankfurt am Main e.V."" und ""Verein zur Förderung von Sporttalenten an der Carl-von-Weinberg-Schule e.V.""",Von der Stadtbücherei aufgebaut und organisiert.,"Carl von Weinberg (1861-1943) Prokurist der ehemals selbstständigen Firma Cassella in Frankfurt-Fechenheim, bekannter Mäzen zahlreicher Institutionen in Frankfurt, maßgebliche Unterstützung bei der Gründung der nach ihm benannten Mittelschule in Frankfurt-Schwanheim, wohnte in der auf der Gemarkung Schwanheim gelegenen ""Villa Waldfried"", Zwangsverkauf seines gesamten Besitzes 1938 an die Stadt Frankfurt, Tod im Exil in Rom 1943",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-allgemeinbildende-schulen/carl-von-weinberg-schule,carl-von-weinberg-schule,Frankfurt Schulwegweiser,2026-04-06,262,87.3,1,21,240,112,64,106,23,"2024,2023,2022",Unfallatlas,Griesheim,1661.0,50.094362,8.6056814,,Frankfurt-Niederrad,1796.0,50.0807744,8.6372448,,Frankfurt am Main Stadion,1988.0,50.0682137,8.6330468,,Waldau,354.0,50.0770509,8.6102309,,Kiesschneise,556.0,50.0764821,8.6176289,,Waldfriedhof Goldstein,683.0,50.0768343,8.6038934,,Waldau/Goldsteinstraße,288.0,50.0824122,8.6106219,,Schwarzbachmühle,625.0,50.0824281,8.6042062,,Morgenzeile,643.0,50.0846016,8.6175674,,4,32,,40.0,Frankfurt am Main,,773068,1.0,14840,51.2,114729,1134,8421,5632,1876,14840.7,146.7,1089.3,728.5,242.7,city_aggregate
