Schul-nummer,Landkreis,Gemeinde,rechtsform,gesamtschultyp,schulname,plz,ort,strasse,Telefon- vorwahl,Telefon-nummer,Kennung Internat,Vorklassen,Grundschulen,davon an_Eingangsstufe,Grundschule (inkl. GFLX),Förderstufe,Hauptschule,Mittelstufen-schule,Realschule,gesamtschultyp.1,Gymnasien,davon an_Gymnasien (Mittelstufe),Gymnasien (Oberstufe),Förderschulen,Förderschule mit Förderschwerpunkt_Sehen,emotionale und soziale Entwicklung,Hören,körperliche und motorische Entwicklung,Kranke,Lernen,Sprachheil-förderung,geistige Entwicklung,Realschul-klassen,Nichtdeutscher Herkunfts- sprache,Schulen für Erwachsene,davon an_Abend-hauptschule,Abend-realschule,Abend-gymnasium,Kolleg,Schülerinnen und Schüler insgesamt mit Vorklassen,Schülerinnen und Schüler insgesamt ohne Vorklassen,fax,email,traegerschaft,schueler_gesamt,ndh_count,school_type,stadt,bundesland,data_source,data_retrieved,latitude,longitude,traffic_accidents_total,traffic_accidents_per_year,traffic_accidents_fatal,traffic_accidents_serious,traffic_accidents_minor,traffic_accidents_bicycle,traffic_accidents_pedestrian,traffic_accidents_school_hours,traffic_nearest_accident_m,traffic_data_years,traffic_data_source
3100,412,0,1,,Meisterschule,65931,Frankfurt am Main,Herbert von Meister Straße 5,69,21245523,,,193.0,,193.0,,110.0,,,,,,,,,,,,,,,,,36.0,,,,,,339,339,21245518,poststelle@meisterschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,339,36.0,Gesamtschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.0792,8.51367,12,4.0,0,0,12,4,2,6,240,"2024,2023,2022",Unfallatlas
3109,412,0,1,,Walter-Kolb-Schule,65929,Frankfurt am Main,Sossenheimer Weg 50-54,69,21245478,,,377.0,,377.0,,107.0,,310.0,,,,,,,,,,,,,,,,,,,,,794,794,21233640,poststelle@walter-kolb-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,794,,Gesamtschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1133,8.54343,43,14.3,0,3,40,9,9,22,76,"2024,2023,2022",Unfallatlas
3114,412,0,1,,Hostatoschule,65929,Frankfurt am Main,Hostatostraße 38,69,21245553,,15.0,239.0,,239.0,,187.0,,,,,,,,,,,,,,,,,43.0,,,,,,484,469,21245791,poststelle@hostatoschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,469,43.0,Gesamtschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1009,8.54451,95,31.7,0,8,87,27,20,60,35,"2024,2023,2022",Unfallatlas
3178,412,0,2,,Isaak-Emil-Lichtigfeld-Schule,60318,Frankfurt am Main,Hebelstraße 15 - 19,69,427289800,,,360.0,147.0,213.0,116.0,,,,,222.0,146.0,76.0,,,,,,,,,,,,,,,,,698,698,427289899,lichtigfeld-schule@jg-ffm.de,Privat,698,,Gesamtschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1123,8.66047,170,56.7,0,22,148,68,28,87,58,"2024,2023,2022",Unfallatlas
3179,412,0,1,,Konrad-Haenisch-Schule,60386,Frankfurt am Main,Lauterbacher Straße 2,69,21245397,,10.0,174.0,,174.0,,91.0,,207.0,,,,,,,,,,,,,,,31.0,,,,,,513,503,21245415,poststelle@konrad-haenisch-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,503,31.0,Gesamtschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1346,8.75218,16,5.3,0,2,14,3,2,8,111,"2024,2023,2022",Unfallatlas
3180,412,0,1,1.0,Edith-Stein-Schule,65936,Frankfurt am Main,Schaumburger Straße 66 - 68,69,21242908,,,,,,,170.0,,288.0,,,,,,,,,,,,,,,28.0,,,,,,486,486,345004,poststelle@edith-stein.frankfurt.schulverwaltung.hessen.de,Öffentlich,486,28.0,Weiterführende Schule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1188,8.55969,14,4.7,0,1,13,1,7,8,117,"2024,2023,2022",Unfallatlas
3181,412,0,1,2.0,Carlo-Mierendorff-Schule,60435,Frankfurt am Main,Gravensteiner Platz 2,69,21241910,,,,,,,,,,612.0,314.0,,314.0,,,,,,,,,,,27.0,,,,,,953,953,21241940,poststelle@carlo-mierendorff-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,953,27.0,Weiterführende Schule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1544,8.69753,13,4.3,0,1,12,2,4,6,81,"2024,2023,2022",Unfallatlas
4260,412,0,2,,Freie Christliche Schule,60386,Frankfurt am Main,Orber Straße 4,69,4200030,,,197.0,,197.0,,,,153.0,,427.0,302.0,125.0,,,,,,,,,,,,,,,,,777,777,42000311,sekretariat@fcsf.de,Privat,777,,Gesamtschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1263,8.76471,18,6.0,0,1,17,7,6,9,70,"2024,2023,2022",Unfallatlas
4268,412,0,2,,Freie Schule Frankfurt,60596,Frankfurt am Main,Vogelweidstraße 3,69,636750,,,47.0,,47.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,72,72,636750,info@freieschulefrankfurt.de,Privat,72,,Gesamtschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.0972,8.66766,80,26.7,0,3,77,24,9,35,116,"2024,2023,2022",Unfallatlas
4288,412,0,1,,Michael-Ende-Schule,60489,Frankfurt am Main,Niddagaustraße 29,69,21244197,,14.0,416.0,,416.0,,176.0,,164.0,,,,,,,,,,,,,,,44.0,,,,,,814,800,21244371,poststelle@michael-ende-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,800,44.0,Gesamtschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1284,8.61129,45,15.0,0,5,40,16,11,33,220,"2024,2023,2022",Unfallatlas
