schulnummer,schulname,school_type,schulkategorie,schulform_raw,klassenstufe,strasse,plz,ort,stadt,bundesland,ortsteil,latitude,longitude,telefon,fax,email,website,traegerschaft,traeger_name,form_der_privatschule,schulleitung,stv_schulleitung,schueler_gesamt,klassenzahl,unterrichtszeit,unterrichtszeit_erlaeuterung,profile,sonstige_profile,foerderschwerpunkt,unterrichtssprache,fruehe_fremdsprache,erste_fremdsprache,zweite_fremdsprache,dritte_fremdsprache,sprachen,art_des_angebots,ganztagsform,besonderheiten,besonderheiten_erlaeuterung,auszeichnungen,foerderverein,schulbibliothek,namensgebung,berufsbereiche,ausbildungsberufe,schulform_bemerkung,ndh_count,sw_portal_url,sw_portal_slug,data_source,data_retrieved
3123,Ackermannschule,Grundschule,grundschulen,Grundschule,1-4,Ackermannstraße 35-37,60326,Frankfurt am Main,Frankfurt am Main,Hessen,Gallus,50.0991,8.62504,+49 69 212 35549,+49 69 212 42071,poststelle.ackermannschule@stadt-frankfurt.de,,Stadt Frankfurt am Main,,,Nanna Feirer-Schanz,Sen Young Nam,312.0,14.0,08:00 bis 13:15 Uhr,,Schwerpunkt Sport,,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Arabisch, Serbisch, Türkisch",,,,"Englisch, Herkunftssprachlicher Unterricht, Arabisch, Serbisch, Türkisch",Ganztagsangebote,Schule mit Erweiterter Schulischer Betreuung,"Ganztagsangebote, Jugendhilfeangebot, Kooperationspartner",,,,Öffnungszeiten: Ausleihe während der Unterrichtszeit mit Unterstützung von Eltern; Konzept: Verleih; Kooperation mit der Schulbibliothekarischen Arbeitsstelle; Ansprechpartner/in: Frau Kullmann; Herr Loos; Von der Stadtbücherei aufgebaut und organisiert,"Wilhelm Heinrich Ackermann (1789-1848) Pädagoge, Pestalozzi-Schüler",,,,12.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/ackermannschule,ackermannschule,Frankfurt Schulwegweiser,2026-04-06
3124,Adolf-Reichwein-Schule,Grundschule,grundschulen,Grundschule,1-4,Lenzenbergstraße 70,65931,Frankfurt am Main,Frankfurt am Main,Hessen,Zeilsheim,50.1013,8.50287,+49 69 212 30790,+49 69 212 31632,poststelle.adolf-reichwein-schule@stadt-frankfurt.de,https://www.ars-zeilsheim.de/,Stadt Frankfurt am Main,,,Kim Reitzammer,Beata Butyurka,345.0,15.0,08:00 bis 13:15 Uhr,,,,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Türkisch, KOALA- Koordinierte Alphabetisierung im Anfangsunterricht",,,,"Englisch, Herkunftssprachlicher Unterricht, Türkisch, KOALA- Koordinierte Alphabetisierung im Anfangsunterricht",,Schule mit Frühbetreuung,"AGs am Nachmittag, Besondere Leseförderung, Ganztagsangebote, Kooperationspartner",,,"Ansprechpartner: Frau Pavic, 1. Vorsitzende; Kontakt über das Sekretariat",,"Adolf Reichwein (1898-1944), Reformpädagoge, im Dritten Reich im Widerstand tätig",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/adolf-reichwein-schule-test,adolf-reichwein-schule-test,Frankfurt Schulwegweiser,2026-04-06
SW-aktive-schule-frankfurt,Aktive Schule Frankfurt (Grundschule),Grundschule,grundschulen,"Grundschule, Integrierte Gesamtschule (IGS)",1-10,Wacholderweg 5,60433,Frankfurt am Main,Frankfurt am Main,Hessen,Frankfurter Berg,50.1647205,8.6788359,+49 69 54000984,+49 69 54000985,info@aktive-schule-frankfurt.de,http://www.aktive-schule-frankfurt.de,Private Träger,Verein Aktive Schule Frankfurt e.V.,Staatlich genehmigte Ersatzschule,N.N.,,,,08:30 bis 13:00 Uhr,,,,,,Englisch,,,,Englisch,,,,,,,,Benannt nach dem Konzept: die Eigenaktivität der Kinder steht im Vordergrund,,,Mit Grundstufe,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/aktive-schule-frankfurt,aktive-schule-frankfurt,Frankfurt Schulwegweiser,2026-04-06
3125,Albert-Schweitzer-Schule,Grundschule,grundschulen,Grundschule,1-4,Berkersheimer Weg 26,60433,Frankfurt am Main,Frankfurt am Main,Hessen,Frankfurter Berg,50.167,8.6745,+49 69 212 71830,,poststelle_ASCH@stadt-frankfurt.de,http://www.albert-schweitzer-schule.de,Stadt Frankfurt am Main,,,Olaf Stavenow,Jule Bianchi,320.0,18.0,siehe Erläuterung der Unterrichtszeit,,"Schwerpunkt Kunst, Schwerpunkt Musik, Schwerpunkt Naturwissenschaften, Schwerpunkt Sport",,,Deutsch,Englisch,,,,Englisch,Ganztagsangebote,Schule mit Ganztagsangeboten - Profil 2,"AGs am Nachmittag, Förderung der Deutschkenntnisse, Ganztagsangebote, Jugendhilfeangebot, Kooperationspartner, Mittagessen",,Umweltschule,"""Verein Freunde und Förderer der ASS""",Schulzeitung,"Albert Schweitzer (1875-1965), Theologe, Arzt, Musiker, Philosoph",,,,12.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/albert-schweitzer-schule,albert-schweitzer-schule,Frankfurt Schulwegweiser,2026-04-06
3165,Albrecht-Dürer-Schule,Grundschule,grundschulen,Grundschule,1-4,Sossenheimer Riedstraße 13,65936,Frankfurt am Main,Frankfurt am Main,Hessen,Sossenheim,50.121,8.57014,+49 69 212 31662,+49 69 212 36718,poststelle.albrecht-duerer-schule@stadt-frankfurt.de,http://www.albrecht-duerer-schule-frankfurt.de,Stadt Frankfurt am Main,,,Alice Schumann,Sandra Heuchele,415.0,17.0,08:00 Uhr bis mind. 11:30 Uhr und max. bis 15:30 Uhr,,,,,Deutsch,"Englisch, Herkunftssprachlicher Unterricht, Türkisch, KOALA - Koordinierte Alphabetisierung im Anfangsunterricht",,,,"Englisch, Herkunftssprachlicher Unterricht, Türkisch, KOALA - Koordinierte Alphabetisierung im Anfangsunterricht",Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Besondere Leseförderung, Förderung der Deutschkenntnisse, Ganztagsangebote, Jugendhilfeangebot, Kooperationspartner, Mittagessen",,Gesundheitsfördernde Schule,,Schülerzeitung,"Albrecht Dürer (1471-1528), Maler",,,Mit Vorklasse und Vorlaufkurs,13.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/albrecht-duerer-schule,albrecht-duerer-schule,Frankfurt Schulwegweiser,2026-04-06
4394,Alexander-Puschkin-Schule,Grundschule,grundschulen,Grundschule,1-4,Humboldtstraße 12,60318,Frankfurt am Main,Frankfurt am Main,Hessen,Sachsenhausen,50.0960202,8.670427,+49 69 154469802,,info@alexander-puschkin-schule.org,http://www.alexander-puschkin-schule.org,Private Träger,Alexander Puschkin Schule in freier Trägerschaft gGmbH,Staatlich genehmigte Ersatzschule,Natalia Vukolova,,,,08:20 bis 13:00 Uhr,,,,,Bilingual Deutsch/Russisch,"Englisch, Russisch","Englisch, Russisch, Bilingual, Russisch",,,"Englisch, Russisch, Englisch, Russisch, Bilingual, Russisch",Ganztagsangebote,,"AGs am Nachmittag, Hausaufgabenhilfe/-betreuung",,,,Ganztagsangebote,Russischer Dichter (1799-1837),,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/alexander-puschkin-schule,alexander-puschkin-schule,Frankfurt Schulwegweiser,2026-04-06
SW-anna-schmidt-schule,Anna-Schmidt-Schule (Grundschule),Grundschule,grundschulen,Grundschule,1-4,Gärtnerweg 29,60322,Frankfurt am Main,Frankfurt am Main,Hessen,Westend,50.1186492,8.6756466,+49 69 9550050,+49 69 95500557,info@anna-schmidt-schule.de,https://www.anna-schmidt-schule.de,Private Träger,Schulverein Anna Schmidt e.V,Staatlich anerkannte Ersatzschule,Lars Hierath,,375.0,15.0,8:00 – 14:00,,"MINT-freundliche Schule, UNESCO-Projektschule",,,,Englisch,Englisch,,,"Englisch, Englisch",,,"AGs am Nachmittag, Ganztägig arbeitende Schule, Ganztagsangebote, Gewaltprävention, Hausaufgabenhilfe/-betreuung, Mittagessen",,"UNESCO-Projektschule, MINT-freundliche Schule, Digitale Schule, Internet-ABC-Schule",,Medien-/Internetangebote,Benannt nach der der Gründerin Anna Schmidt,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/anna-schmidt-schule,anna-schmidt-schule,Frankfurt Schulwegweiser,2026-04-06
4301,Astrid-Lindgren-Schule,Grundschule,grundschulen,Grundschule,1-4,Platenstraße 75,60431,Frankfurt am Main,Frankfurt am Main,Hessen,Ginnheim,50.1378,8.6624,+49 69 212 45662,+49 69 212 45660,poststelle.astrid-lindgren-schule@stadt-frankfurt.de,http://www.als-frankfurt.de,Stadt Frankfurt am Main,,,Wolfgang Weber,Dorothea Kappatsch,350.0,15.0,08:00 bis 13:15 Uhr,,,,,Deutsch,Englisch,"Englisch, Weitere Sprachangebote, Französisch, Herkunftssprachlicher Unterricht, Türkisch, KOALA - Koordinierte Alphabetisierung im Anfangsunterricht",,,"Englisch, Englisch, Weitere Sprachangebote, Französisch, Herkunftssprachlicher Unterricht, Türkisch, KOALA - Koordinierte Alphabetisierung im Anfangsunterricht",Ganztagsangebote,Schule mit Frühbetreuung,"Besondere Leseförderung, Förderung besonderer Begabung, Förderung der Deutschkenntnisse, Ganztagsangebote, Gewaltprävention, Jugendhilfeangebot, Kooperationspartner",,Gütesiegel Hochbegabtenförderung,"""Förderverein der Astrid-Lindgren-Schule e. V"", Ansprechpartner: Frau Lobo und Herr Reinelt",Öffnungszeiten: Es gibt keine festen Öffnungszeiten. Jede Klasse kann sich für eine oder mehrere feste Stunden die Bücherei reservieren. Die Bücherei wird auch für Lesungen und Lesenächte genutzt.,"Astrid Lindgren (1907-2002), schwedische Kinderbuchautorin",,,,13.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/astrid-lindgren-schule,astrid-lindgren-schule,Frankfurt Schulwegweiser,2026-04-06
3127,August-Gräser-Schule,Grundschule,grundschulen,Grundschule,1-4,Gerolsteiner Straße 2,60529,Frankfurt am Main,Frankfurt am Main,Hessen,Schwanheim,50.0882,8.57697,+49 69 212 36719,+49 69 212 38066,poststelle.august-graeser-schule@stadt-frankfurt.de,http://www.august-graeser-schule.de/,Stadt Frankfurt am Main,,,Saskia Ghribi,Michael Ellerbrock,250.0,12.0,08:30 bis 13:45 Uhr,,"Schwerpunkt Sport, Schwerpunkt Neue Technologien, Schwerpunkt Musik, Schwerpunkte",,,,"Englisch, Weitere Sprachangebote, Französisch, Herkunftssprachlicher Unterricht, Türkisch",,,,"Englisch, Weitere Sprachangebote, Französisch, Herkunftssprachlicher Unterricht, Türkisch",Ganztagsangebote,Schule mit Frühbetreuung,"AGs am Nachmittag, Besondere Leseförderung, Ganztagsangebote, Gewaltprävention, Jugendhilfeangebot, Kooperationspartner",,"Schule mit besonderer musikalischer Förderung, Internet- ABC- Schule",https://fv-ags.de,,"August Gräser (1877-1961), ehrenamtlicher Stadtrat",,,,14.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/august-graeser-schule,august-graeser-schule,Frankfurt Schulwegweiser,2026-04-06
3166,Berkersheimer Schule,Grundschule,grundschulen,Grundschule,1-4,In den Gräben 5,60435,Frankfurt am Main,Frankfurt am Main,Hessen,Berkersheim,50.1738,8.69624,+49 69 212 41005,+49 69 212 41108,poststelle.berkersheimer-grundschule@stadt-frankfurt.de,http://www.berkersheimer-schule.de,Stadt Frankfurt am Main,,,Fatima Oturak-Pieknik,Petra Henicke-Mathieu,302.0,13.0,siehe Erläuterung der Unterrichtszeit,,"Schwerpunkt Musik, Schwerpunkt Sport",,,,"Englisch, Weitere Sprachangebote, Französisch",,,,"Englisch, Weitere Sprachangebote, Französisch",Ganztagsangebote,Schule mit Erweiterter Schulischer Betreuung,"AGs am Nachmittag, Ganztagsangebote, Kooperationspartner",,"Europaschule, Gesundheitsfördernde Schule, Faustlos","""Verein der Freunde und Förderer der Berkersheimer Schule e.V."", Ansprechpartner: Herr Passarge (mailto:foerderverein.gsberkersheim@gmail.com)",Schüleraustausch,Benannt nach der ehemals selbstständigen Gemeinde Berkersheim.,,,,14.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/grundschulen/berkersheimer-schule,berkersheimer-schule,Frankfurt Schulwegweiser,2026-04-06
