Schul-nummer,Landkreis,Gemeinde,rechtsform,gesamtschultyp,schulname,plz,ort,strasse,Telefon- vorwahl,Telefon-nummer,Kennung Internat,Vorklassen,Grundschulen,davon an_Eingangsstufe,Grundschule (inkl. GFLX),Förderstufe,Hauptschule,Mittelstufen-schule,Realschule,gesamtschultyp,Gymnasien,davon an_Gymnasien (Mittelstufe),Gymnasien (Oberstufe),Förderschulen,Förderschule mit Förderschwerpunkt_Sehen,emotionale und soziale Entwicklung,Hören,körperliche und motorische Entwicklung,Kranke,Lernen,Sprachheil-förderung,geistige Entwicklung,Realschul-klassen,Nichtdeutscher Herkunfts- sprache,Schulen für Erwachsene,davon an_Abend-hauptschule,Abend-realschule,Abend-gymnasium,Kolleg,Schülerinnen und Schüler insgesamt mit Vorklassen,Schülerinnen und Schüler insgesamt ohne Vorklassen,fax,email,traegerschaft,schueler_gesamt,ndh_count,school_type,stadt,bundesland,data_source,data_retrieved,latitude,longitude
3100,412,000,1,,Meisterschule,65931,Frankfurt am Main,Herbert von Meister Straße 5,069,21245523,,,193,,193,,110,,,,,,,,,,,,,,,,,36,,,,,,339,339,21245518,poststelle@meisterschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,339,36.0,Gesamtschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.0792,8.51367
3101,412,000,1,,Minna-Specht-Schule,60529,Frankfurt am Main,Hans-Pfitzner-Straße 18,069,21245563,,14,244,,244,,,,,,,,,,,,,,,,,,,13,,,,,,271,257,21245556,poststelle@minna-specht-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,257,13.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.0855,8.58649
3102,412,000,1,,Münzenbergerschule,60435,Frankfurt am Main,Engelthaler Straße 34,069,21238756,,17,281,,281,,,,,,,,,,,,,,,,,,,13,,,,,,311,294,21238582,poststelle@muenzenbergerschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,294,13.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1506,8.68437
3103,412,000,1,,Niddaschule,65934,Frankfurt am Main,Oeserstraße 2,069,21245557,,,260,,260,,,,,,,,,,,,,,,,,,,13,,,,,,273,273,21245691,poststelle@niddaschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,273,13.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1015,8.56608
3104,412,000,1,,Pestalozzischule,60386,Frankfurt am Main,Vatterstraße 1,069,21248685,,,287,,287,,,,,,,,,,,,,,,,,,,,,,,,,287,287,21248356,poststelle@pestalozzischule.frankfurt.schulverwaltung.hessen.de,Öffentlich,287,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.133,8.73364
3105,412,000,1,,Riedhofschule,60596,Frankfurt am Main,Riedhofweg 15 - 19,069,21235264,,8,379,,379,,,,,,,,,,,,,,,,,,,14,,,,,,401,393,21234393,poststelle@riedhofschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,393,14.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.0928,8.67361
3106,412,000,1,,Robert-Blum-Schule,65929,Frankfurt am Main,Gerlachstraße 1,069,21245558,,29,463,,463,,,,,,,,,,,,,,,,,,,12,,,,,,504,475,21245618,poststelle@robert-blum-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,475,12.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1073,8.5485
3107,412,000,1,,Robert-Schumann-Schule,60439,Frankfurt am Main,Heddernheimer Kirchstraße 13,069,21238734,,,377,,377,,,,,,,,,,,,,,,,,,,,,,,,,377,377,21232099,poststelle@robert-schumann-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,377,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1581,8.64559
3109,412,000,1,,Walter-Kolb-Schule,65929,Frankfurt am Main,Sossenheimer Weg 50-54,069,21245478,,,377,,377,,107,,310,,,,,,,,,,,,,,,,,,,,,794,794,21233640,poststelle@walter-kolb-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,794,,Gesamtschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1133,8.54343
3111,412,000,1,,Gruneliusschule,60599,Frankfurt am Main,Wiener Straße 13,069,21235294,,14,402,,402,,,,,,,,,,,,,,,,,,,,,,,,,416,402,21274975,poststelle@gruneliusschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,402,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.0978,8.72672
3112,412,000,1,,Heinrich-Kromer-Schule,60439,Frankfurt am Main,Niederurseler Landstraße 58 - 60,069,21234287,,17,371,,371,,,,,,,,,,,,,,,,,,,,,,,,,388,371,21232752,poststelle@heinrich-kromer-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,371,,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1657,8.62592
3113,412,000,1,,Holzhausenschule,60323,Frankfurt am Main,Miquelallee 162,069,21235256,,,472,34,438,,,,,,,,,,,,,,,,,,,12,,,,,,484,484,21233447,poststelle@holzhausenschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,484,12.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1279,8.67244
3114,412,000,1,,Hostatoschule,65929,Frankfurt am Main,Hostatostraße 38,069,21245553,,15,239,,239,,187,,,,,,,,,,,,,,,,,43,,,,,,484,469,21245791,poststelle@hostatoschule.frankfurt.schulverwaltung.hessen.de,Öffentlich,469,43.0,Gesamtschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.1009,8.54451
3115,412,000,1,,Käthe-Kollwitz-Schule,65931,Frankfurt am Main,West-Höchster-Straße 103,069,30066887,,18,305,,305,,,,,,,,,,,,,,,,,,,12,,,,,,335,317,361068,poststelle@kaethe-kollwitz-schule.frankfurt.schulverwaltung.hessen.de,Öffentlich,317,12.0,Grundschule,Frankfurt am Main,Hessen,Hessisches Statistisches Landesamt Verzeichnis 6,2026-03-30,50.0937,8.49565
