schulnummer,schulname,school_type,schulkategorie,schulform_raw,klassenstufe,strasse,plz,ort,stadt,bundesland,ortsteil,latitude,longitude,telefon,fax,email,website,traegerschaft,traeger_name,form_der_privatschule,schulleitung,stv_schulleitung,schueler_gesamt,klassenzahl,unterrichtszeit,unterrichtszeit_erlaeuterung,profile,sonstige_profile,foerderschwerpunkt,unterrichtssprache,fruehe_fremdsprache,erste_fremdsprache,zweite_fremdsprache,dritte_fremdsprache,sprachen,art_des_angebots,ganztagsform,besonderheiten,besonderheiten_erlaeuterung,auszeichnungen,foerderverein,schulbibliothek,namensgebung,berufsbereiche,ausbildungsberufe,schulform_bemerkung,ndh_count,sw_portal_url,sw_portal_slug,data_source,data_retrieved
5502,Abendgymnasium,Gymnasiale Oberstufe,weiterfuehrende-allgemeinbildende-schulen,"Gymnasiale Oberstufe, Schule f. Erwachsene (Abendschule), Weiterführende allgemeinbildende Schule",,Martin-Elsässer-Weg 6,60314,Frankfurt am Main,Frankfurt am Main,Hessen,Ostend,50.1104247,8.6981037,+49 69 212 40090,+49 69 212 39929,sekretariat@abendgymnasium-frankfurt.de,http://www.abendgymnasium-frankfurt.de/,Stadt Frankfurt am Main,,,Frank-Armin Neumann,N.N.,180.0,8.0,"siehe ""Erläuterung zu der Unterrichtszeit""",,"Schwerpunkt Naturwissenschaften, Schwerpunkt Neue Technologien, Schwerpunkt Sprachen",,,Deutsch,,Englisch,"Französisch, Spanisch",,"Englisch, Französisch, Spanisch",,,"AGs am Nachmittag, Förderung der Deutschkenntnisse, Gewaltprävention",,UNESCO-Projektschule,"""Verein der Freunde und Förderer des Abendgymnasiums""",Selbstlernzentrum; Öffnungszeiten Mo.-Fr. 13:30-18:30 Uhr,,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-allgemeinbildende-schulen/abendgymnasium,abendgymnasium,Frankfurt Schulwegweiser,2026-04-06
5512,Abendhaupt- und Abendrealschule,Schule f. Erwachsene (Abendschule),weiterfuehrende-allgemeinbildende-schulen,"Schule f. Erwachsene (Abendschule), Weiterführende allgemeinbildende Schule",,Hanauer Landstraße 26,60314,Frankfurt am Main,Frankfurt am Main,Hessen,Ostend,50.1119637,8.6981928,+49 69 212 30413,+49 69 212 40546,poststelle.abendhaupt-und-realschule@stadt-frankfurt.de,http://www.ahrs-frankfurt.de/,Stadt Frankfurt am Main,,,Herr Folke,Antje Buer,450.0,,"Unterricht in drei Zeitschienen: Vormittags, nachmittags und abends. Nachholen von Schulabschlüssen",,"Schwerpunkt Naturwissenschaften, Schwerpunkt Neue Technologien",,,Deutsch,,Englisch,Französisch,,"Englisch, Französisch",,,"Gewaltprävention, Förderung der Deutschkenntnisse",,,,,,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-allgemeinbildende-schulen/abendhaupt--und-abendrealschule,abendhaupt--und-abendrealschule,Frankfurt Schulwegweiser,2026-04-06
4397,Adorno-Gymnasium,Gymnasium,weiterfuehrende-allgemeinbildende-schulen,"Gymnasium, Weiterführende allgemeinbildende Schule",5-13,Miquelallee 160,60323,Frankfurt am Main,Frankfurt am Main,Hessen,Westend,50.1313088,8.6621918,+49 69 212 71917,+49 69 212 75975,Poststelle.Adorno-Gymnasium@stadt-frankfurt.de,https://adorno-gymnasium.de/,Stadt Frankfurt am Main,,,Annette Lommel-Sturm,Torsten Schulz,1300.0,50.0,08:20 bis 17:45 Uhr,,Schwerpunkt Naturwissenschaften,,,Deutsch,,Englisch,"Französisch, Latein","Chinesisch, Spanisch","Englisch, Französisch, Latein, Chinesisch, Spanisch",Ganztagsangebote,Schule mit Ganztagsangeboten - Profil 2,"AGs am Nachmittag, Ganztagsangebote, Hausaufgabenhilfe/-betreuung, Mittagessen",,"MINT-freundliche Schule, Digitale Schule, Umweltschule, Frankfurter Schule für Nachhaltigkeit","""Förderverein des Gymnasium Nied e.V.""",Von der Stadtbücherei aufgebaut und organisiert.,,,,,13.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-allgemeinbildende-schulen/adorno-gymnasium,adorno-gymnasium,Frankfurt Schulwegweiser,2026-04-06
4325,Aktive Schule Frankfurt,Integrierte Gesamtschule (IGS),weiterfuehrende-allgemeinbildende-schulen,"Integrierte Gesamtschule (IGS), Weiterführende allgemeinbildende Schule",1-10,Wacholderweg 5,60433,Frankfurt am Main,Frankfurt am Main,Hessen,Frankfurter Berg,50.1651,8.67902,+49 69 54000984,+49 69 54000985,info@aktive-schule-frankfurt.de,http://www.aktive-schule-frankfurt.de,Private Träger,"Verein Aktive Schule Frankfurt e.V., Wacholderweg 5, 60433 Frankfurt am Main",Staatlich genehmigte Ersatzschule,N.N.,,,,08:30 bis 13:00 Uhr,,,,,,,,,,,,,,,,,,Benannt nach dem Konzept: die Eigenaktivität der Kinder steht im Vordergrund.,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-allgemeinbildende-schulen/aktive-schule-frankfurt,aktive-schule-frankfurt,Frankfurt Schulwegweiser,2026-04-06
5117,Anna-Schmidt-Schule,Gymnasium,weiterfuehrende-allgemeinbildende-schulen,"Gymnasium, Weiterführende allgemeinbildende Schule",5-12,Gärtnerweg 29,60322,Frankfurt am Main,Frankfurt am Main,Hessen,Westend,50.1187,8.67493,+49 69 9550050,+49 69 95500557,info@anna-schmidt-schule.de,https://www.anna-schmidt-schule.de,Private Träger,Schulverein Anna Schmidt e.V.,Staatlich anerkannte Ersatzschule,Lars Hierath,,1545.0,33.0,"siehe ""Erläuterung zu der Unterrichtszeit""",,"MINT-freundliche Schule, UNESCO-Projektschule",,,,Englisch,Englisch,"Französisch, Latein, Spanisch","Französisch, Latein, Spanisch","Englisch, Englisch, Französisch, Latein, Spanisch, Französisch, Latein, Spanisch",,,"AGs am Nachmittag, Angebote zur beruflichen Orientierung, Ganztagsangebote, Gewaltprävention, Hausaufgabenhilfe/-betreuung, Mittagessen, Schüleraustausch",,"UNESCO-Projektschule, MINT-freundliche Schule, Digitale Schule",,,Benannt nach der Gründerin Anna Schmidt.,,,G8 Gymnasium im Westend,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-allgemeinbildende-schulen/anna-schmidt-schule,anna-schmidt-schule,Frankfurt Schulwegweiser,2026-04-06
5004,Anne-Frank-Schule,Realschule,weiterfuehrende-allgemeinbildende-schulen,"Realschule, Weiterführende allgemeinbildende Schule",5-10,Fritz-Tarnow-Straße 29,60320,Frankfurt am Main,Frankfurt am Main,Hessen,Dornbusch,50.1432,8.67164,+49 69 212 38752,,poststelle.anne-frank-schule@stadt-frankfurt.de,http://www.anne-frank-schule-frankfurt.de,Stadt Frankfurt am Main,,,Nicola Gudat,Christiane Köller,560.0,18.0,07:50 bis 13:15 Uhr,,,,,Deutsch,,Englisch,"Französisch, Spanisch",,"Englisch, Französisch, Spanisch",,,"AGs am Nachmittag, Angebote zur beruflichen Orientierung, Besondere Leseförderung, Förderung der Deutschkenntnisse, Gewaltprävention, Jugendhilfeangebot, Kooperationspartner, Schüleraustausch, Schülerzeitung",,"""Gesundheitsfördernde Schule"", Umweltschule","""Freunde und Förderer der Anne-Frank Schule e.V."", Ansprechpartnerin: Frau Carolin Hescher","Konzept: Verleih- und Präsenzbibliothek, Öffnungszeiten: Täglich in den Pausen; Von der Stadtbücherei aufgebaut und organisiert","nach der früher im Stadtteil Dornbusch lebenden Jüdin Anne Frank (1929 - 1945), die als nur 15jährige im KZ Bergen-Belsen umkam, nachdem die Nationalsozialisten die Familie zunächst ins Exil nach Amsterdam vertrieb und schließlich aus dem Versteck in verschiedene Konzentrationslager verschleppte.",,,,21.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-allgemeinbildende-schulen/anne-frank-schule,anne-frank-schule,Frankfurt Schulwegweiser,2026-04-06
5106,Bettinaschule,Gymnasium,weiterfuehrende-allgemeinbildende-schulen,"Gymnasium, Weiterführende allgemeinbildende Schule",5-13,Feuerbachstraße 37-47,60325,Frankfurt am Main,Frankfurt am Main,Hessen,Westend,50.1163,8.66293,+49 69 212 33028,+49 69 212 34975,poststelle.bettinaschule@stadt-frankfurt.de,http://www.bettinaschule-frankfurt.de,Stadt Frankfurt am Main,,,Frieder Schwarz,,898.0,25.0,08:00 bis 18:50 Uhr,,"Schwerpunkt Musik, Schwerpunkt Naturwissenschaften",,,Deutsch,,Englisch,"Französisch, Latein, Spanisch","Italienisch, Spanisch, Weitere Sprachangebote, Chinesisch","Englisch, Französisch, Latein, Spanisch, Italienisch, Spanisch, Weitere Sprachangebote, Chinesisch",Ganztagsangebote,Schule mit Ganztagsangeboten - Profil 2,"AGs am Nachmittag, Ganztagsangebote, Hausaufgabenhilfe/-betreuung, Mittagessen, Schüleraustausch, Schülerzeitung",,"Prädikat ""Schwerpunkt Musik"", Umweltschule","""Ehemaligen- und Förderverein der Bettinaschule"", Ansprechpartnerin: Frau U. Lenger","Konzept: Präsenzbestand und Verleihbestand mit Schülerausweis, Betreuung durch außerschulische Mitarbeiter, Vorlese-Angebote und Kinoangebot mit anschließender Besprechung, Vorlesezeiten, Lesungen; von der Stadtbücherei aufgebaut und organisiert","Bettina von Arnim, geb. Brentano (1785-1859)",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-allgemeinbildende-schulen/bettinaschule,bettinaschule,Frankfurt Schulwegweiser,2026-04-06
5002,Brüder-Grimm-Schule,Realschule,weiterfuehrende-allgemeinbildende-schulen,"Realschule, Weiterführende allgemeinbildende Schule",5-10,Luxemburgerallee 1-3,60385,Frankfurt am Main,Frankfurt am Main,Hessen,Ostend,50.1199,8.71195,+49 69 212 35277,+49 69 212 35164,poststelle.brueder-grimm-schule@stadt-frankfurt.de,https://www.brueder-grimm-schule-ffm.de/,Stadt Frankfurt am Main,,,Zarlasht Lefrancois,,380.0,13.0,"08:00 bis 13:15 Uhr, siehe ""Erläuterung zu der Unterrichtszeit""",,Schwerpunkt Neue Technologien,,,Deutsch,,Englisch,"Französisch, Bilingual, Englisch",,"Englisch, Französisch, Bilingual, Englisch",Ganztagsangebote,Schule mit Ganztagsangeboten - Profil 1,"AGs am Nachmittag, Angebote zur beruflichen Orientierung, Förderung der Deutschkenntnisse, Ganztagsangebote, Gewaltprävention, Hausaufgabenhilfe/-betreuung, Jugendhilfeangebot, Kooperationspartner, Mittagessen, Pausenverkauf",,"Umweltschule, MINT-freundliche Schule",,"Öffnungszeiten: Montag, Mittwoch und Freitag von 09:30 bis 12:00 Uhr; von der Stadtbücherei aufgebaut und organisiert","Jakob Grimm (1785-1863)/ Wilhelm Grimm (1786-1859) Sprachforscher, Sammler von Märchen und Sagen",,,,25.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-allgemeinbildende-schulen/brueder-grimm-schule,brueder-grimm-schule,Frankfurt Schulwegweiser,2026-04-06
5104,Carl-Schurz-Schule,Gymnasium,weiterfuehrende-allgemeinbildende-schulen,"Gymnasium, Weiterführende allgemeinbildende Schule",5-12,Holbeinstraße 21-23,60596,Frankfurt am Main,Frankfurt am Main,Hessen,Sachsenhausen,50.1008,8.67605,+49 69 212 33840,+49 69 212 40554,poststelle.carl-schurz-schule@stadt-frankfurt.de,http://www.carl-schurz-schule.de,Stadt Frankfurt am Main,,,Christof Gans,Hans Bender,1037.0,23.0,08:00 bis 17:00 Uhr,,"Schwerpunkt Musik, Schwerpunkt Naturwissenschaften, Schwerpunkt Sprachen",,,Deutsch,,"Englisch, Französisch","Englisch, Latein","Latein, Spanisch, Bilingual, Französisch","Englisch, Französisch, Englisch, Latein, Latein, Spanisch, Bilingual, Französisch",Ganztagsangebote,Schule mit Ganztagsangeboten - Profil 1,"AGs am Nachmittag, Ganztagsangebote, Hausaufgabenhilfe/-betreuung, Kooperationspartner, Mittagessen, Pausenverkauf, Schüleraustausch",,"Prädikat ""Schwerpunkt Musik""","""Förderverein der Carl-Schurz-Schule"", Ansprechpartner: Herr Christian Bokelmann",geöffnet ab der Mittagspause; von der Stadtbücherei aufgebaut und organisiert,"Carl Schurz (1829-1906), Politiker",,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-allgemeinbildende-schulen/carl-schurz-schule,carl-schurz-schule,Frankfurt Schulwegweiser,2026-04-06
6107,Carl-von-Weinberg-Schule,Integrierte Gesamtschule (IGS),weiterfuehrende-allgemeinbildende-schulen,"Integrierte Gesamtschule (IGS), Gesamtschule mit Gymnasialer Oberstufe, Weiterführende allgemeinbildende Schule",5-13,Zur Waldau 21,60529,Frankfurt am Main,Frankfurt am Main,Hessen,Schwanheim,50.08,8.6121,+49 69 212 32810,+49 69 212 32806,poststelle.carl-von-weinberg-schule@stadt-frankfurt.de,https://cvw-schule.de/,Stadt Frankfurt am Main,,,Carolin Kubbe,N.N.,1162.0,49.0,08:00 bis 17:10 Uhr,,"Schwerpunkt Kunst, Schwerpunkt Musik, Schwerpunkt Naturwissenschaften, Schwerpunkt Neue Technologien, Schwerpunkt Sport",,,Deutsch,,Englisch,"Französisch, Spanisch, Weitere Sprachangebote, Französisch, Spanisch, Latein",,"Englisch, Französisch, Spanisch, Weitere Sprachangebote, Französisch, Spanisch, Latein",Ganztagsangebote,Schule mit Ganztagsangeboten - Profil 3,"AGs am Nachmittag, Angebote zur beruflichen Orientierung, Ganztagsangebote, Gewaltprävention, Hausaufgabenhilfe/-betreuung, Jugendhilfeangebot, Kooperationspartner, Mittagessen, Pausenverkauf, Schüleraustausch",,"Prädikat „Eliteschule des Sports“ und ""Eliteschule des Fußballs""","""Förderteam der Carl-von-Weinberg-Schule Frankfurt am Main e.V."" und ""Verein zur Förderung von Sporttalenten an der Carl-von-Weinberg-Schule e.V.""",Von der Stadtbücherei aufgebaut und organisiert.,"Carl von Weinberg (1861-1943) Prokurist der ehemals selbstständigen Firma Cassella in Frankfurt-Fechenheim, bekannter Mäzen zahlreicher Institutionen in Frankfurt, maßgebliche Unterstützung bei der Gründung der nach ihm benannten Mittelschule in Frankfurt-Schwanheim, wohnte in der auf der Gemarkung Schwanheim gelegenen ""Villa Waldfried"", Zwangsverkauf seines gesamten Besitzes 1938 an die Stadt Frankfurt, Tod im Exil in Rom 1943",,,,53.0,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-allgemeinbildende-schulen/carl-von-weinberg-schule,carl-von-weinberg-schule,Frankfurt Schulwegweiser,2026-04-06
