schulnummer,schulname,school_type,schulkategorie,schulform_raw,klassenstufe,strasse,plz,ort,stadt,bundesland,ortsteil,latitude,longitude,telefon,fax,email,website,traegerschaft,traeger_name,form_der_privatschule,schulleitung,stv_schulleitung,schueler_gesamt,klassenzahl,unterrichtszeit,unterrichtszeit_erlaeuterung,profile,sonstige_profile,foerderschwerpunkt,unterrichtssprache,fruehe_fremdsprache,erste_fremdsprache,zweite_fremdsprache,dritte_fremdsprache,sprachen,art_des_angebots,ganztagsform,besonderheiten,besonderheiten_erlaeuterung,auszeichnungen,foerderverein,schulbibliothek,namensgebung,berufsbereiche,ausbildungsberufe,schulform_bemerkung,ndh_count,sw_portal_url,sw_portal_slug,data_source,data_retrieved,schueler_2024_25
SW-anni-albers-schule-fuer-mode-medien-und-gestaltung,"Anni-Albers-Schule für Mode, Medien und Gestaltung",Berufliche Schule,weiterfuehrende-berufliche-schulen,"Berufliche Schule, Bildungsgänge zur Berufsvorbereitung (BzB), Fachoberschule, Zweijährige Berufsfachschule, Zweijährige Höhere Berufsfachschule, Mehrjährige Berufsfachschule, Weiterführende berufliche Schule",,Hamburger Allee 23,60486,Frankfurt am Main,Frankfurt am Main,Hessen,Bockenheim,50.114498,8.6471781,+49 69 212 35268,+49 69 212 40520,poststelle.anni-albers-schule@stadt-frankfurt.de,http://www.annialbersschule.de,Stadt Frankfurt am Main,,,Dr. Anne-Kathrin Reich,Dr. Kathrin Köster,750.0,49.0,,,,,,Deutsch,,Englisch,,,Englisch,,,"Jugendhilfeangebot, Pausenverkauf, Weitere Angebote:",,,"""Verein zur Förderung der Frankfurter Schule für Bekleidung und Mode e.V.""",,,"Bekleidungstechnik, Körperpflege, Technik - Schwerpunkt Textiltechnik und Bekleidung, Textiltechnik und Bekleidung","Änderungsschneider/in, Friseur/in, Kosmetiker/in, Maßschneider/in, Modist/in, Textil und Modenäher/in, Textil- und Modeschneider/in, Textilreiniger/in",,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-berufliche-schulen/anni-albers-schule-fuer-mode-medien-und-gestaltung,anni-albers-schule-fuer-mode-medien-und-gestaltung,Frankfurt Schulwegweiser,2026-04-06,
4392,Begemann Schule,Berufliches Gymnasium,weiterfuehrende-berufliche-schulen,"Berufliches Gymnasium, Weiterführende berufliche Schule",,Hansaallee 18,60322,Frankfurt am Main,Frankfurt am Main,Hessen,Westend,50.1245098,8.6739742,+49 69 550689,+49 69 592689,info@begemannschule.de,http://www.begemannschule.de,Private Träger,Begemann Schule gGmbH,,Herr Dr. Erich Langendorf,,78.0,,,,,,,Deutsch,,Englisch,Französisch,,"Englisch, Französisch",,,,,,,,Gegründet von dem Ehepaar Heinz und Thekla Begemann,Wirtschaft,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-berufliche-schulen/begemann-schule,begemann-schule,Frankfurt Schulwegweiser,2026-04-06,33
SW-bergiusschule,Bergiusschule,Berufliche Schule,weiterfuehrende-berufliche-schulen,"Berufliche Schule, Fachoberschule, Fachschule für Lebensmitteltechnik, Zweijährige Berufsfachschule, Bildungsgänge zur Berufsvorbereitung (BzB), Weiterführende berufliche Schule",,Frankensteiner Platz 1-5,60594,Frankfurt am Main,Frankfurt am Main,Hessen,Sachsenhausen,50.1066715,8.6917217,+49 69 212 33050,+49 69 212 30774,info@bergiusschule.de,http://www.bergiusschule.de,Stadt Frankfurt am Main,,,Susanne Albert,Dr. Frank Krause,1400.0,90.0,siehe Erläuterung der Unterrichtszeit,,,,,Deutsch,,"Englisch, Französisch, Spanisch",,,"Englisch, Französisch, Spanisch",,,"Pausenverkauf, Schüleraustausch",,,Förderung der Deutschkenntnisse,,"Dr. Friedrich Bergius geb. 1884 in Goldschmieden / Breslau, verstorben 1949 in Buenos Aires, Chemiker. Er entwickelte das nach ihm benannte Verfahren zur Herstellung von Benzin aus Kohle sowie zur Zuckergewinnung aus Holz (Zellstoffspaltung). 1931 erhielt er den Nobelpreis.","Ernährung und Hauswirtschaft, Gastronomie, Hotellerie","Bäcker/in, Konditor/in, Fachkraft für Gastronomie, Fachkraft Küche, Fachmann/-frau für Systemgastronomie, Fleischer/in, Hotelfachmann/-frau, Kaufmann/-frau für Hotelmanagement, Koch/Köchin, Lebensmittelfachverkäufer/in, Fachmann/frau für Restaurants und Veranstaltungsservice",Zweijähriger Fachschule in Teilzeit,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-berufliche-schulen/bergiusschule,bergiusschule,Frankfurt Schulwegweiser,2026-04-06,
SW-berufliche-schulen-berta-jourdan,Berufliche Schulen Berta Jourdan,Berufliche Schule,weiterfuehrende-berufliche-schulen,"Berufliche Schule, Berufsfachschule zum Übergang in Ausbildung – BÜA, Fachoberschule, Zweijährige Höhere Berufsfachschule, InteA, Weiterführende berufliche Schule",,Adlerflychtstraße 24,60318,Frankfurt am Main,Frankfurt am Main,Hessen,Nordend,50.1241792,8.6830019,+49 69 212 35271,+49 69 212 40521,poststelle.berufliche-schulen-berta-jourdan@stadt-frankfurt.de,http://www.berta-jourdan.de,Stadt Frankfurt am Main,,,Inge Meichsner,Michael Baumeister,1800.0,88.0,08:00 bis 16:00 Uhr,,,,,Deutsch,,Englisch,,,Englisch,,,"Mittagessen, Pausenverkauf",,,"""Verein der Freundinnen/Freunde und Förderer der Beruflichen Schulen Berta Jourdan"", Ansprechpartner/in: Frau Oberländer",,"Berta Jourdan (1892-1981), Sozial- und Bildungspolitikerin in Frankfurt am Main, die sich neben ihrer Tätigkeit als Pädagogin in erzieherischen und sozialen Fragen stark engagierte.","Ernährung und Hauswirtschaft, Sozialassistenz, Sozialpädagogik, Sozialpflegerische und sozialpädagogische Berufe, Erziehungswissenschaft","Erzieher/in, Hauswirtschafter/in, Helfer/in in der Hauswirtschaft, Sozialassistent/in",Fachschule für Sozialwesen,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-berufliche-schulen/berufliche-schulen-berta-jourdan,berufliche-schulen-berta-jourdan,Frankfurt Schulwegweiser,2026-04-06,
SW-berufsfachschule-fuer-kosmetik-make-up-s-schaefer-famous-face-academy,Berufsfachschule für Kosmetik S. Schäfer,Berufliche Schule,weiterfuehrende-berufliche-schulen,"Berufliche Schule, Weiterführende berufliche Schule",,Kaiserstraße 6,60311,Frankfurt am Main,Frankfurt am Main,Hessen,Innenstadt,50.1114768,8.6760464,+49 69 250144,,info@ffa-makeup.com,http://www.kosmetikfachschule.de,Private Träger,Sevgi Schäfer,Staatlich anerkannte Ergänzungsschule,Sevgi Schäfer,,40.0,,,,,,,Deutsch,,,,,,,,,,,,,,"Kosmetik, Gesundheit",Kosmetiker/in,Schulverbund der Kosmetikfachschule Schäfer und der Kosmetikfachschule Janina Bilski,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-berufliche-schulen/berufsfachschule-fuer-kosmetik-make-up-s-schaefer-famous-face-academy,berufsfachschule-fuer-kosmetik-make-up-s-schaefer-famous-face-academy,Frankfurt Schulwegweiser,2026-04-06,
3135,Bethmannschule,Berufliche Schule,weiterfuehrende-berufliche-schulen,"Berufliche Schule, Berufsfachschule zum Übergang in Ausbildung – BÜA, Zweijährige Höhere Berufsfachschule, Fachoberschule, Weiterführende berufliche Schule",,Paul-Arnsberg-Platz 5,60314,Frankfurt am Main,Frankfurt am Main,Hessen,Ostend,50.1104217,8.6987026,+49 69 212 33065,+49 69 212 30730,info@bethmannschule.de,http://www.bethmannschule.de,Stadt Frankfurt am Main,,,Ariane Hoffmann,Gerd Wölfel,1150.0,56.0,08:00 bis 21:50 Uhr,,Gewaltprävention (Mediation / Konfliktschlichtung),,,,,"Englisch, Weitere Sprachangebote:",,,"Englisch, Weitere Sprachangebote:",,,"Gewaltprävention, Pausenverkauf",,,"""Förderverein der Bethmannschule"", Ansprechpartner: Herr Raab",Öffnungszeiten: Klassenweise nach Bedarf; Konzept: Reine Präsenzbibliothek,Benannt nach der bekannten Frankfurter Bankiersfamilie,"Informationsverarbeitung - Wirtschaft, Wirtschaft - Schwerpunkt Wirtschaft und Verwaltung, Wirtschaft und Verwaltung","Bankkaufmann/-frau, Industriekaufmann/-frau, Informatikkaufmann/-frau, Informations- und Telekommunikations-Systemkaufmann/-frau, Investmentfondskaufmann/-frau, Luftverkehrskaufmann/-frau, Tourismuskaufmann/-frau","weitere Angebote: Assistentenausbildung Datenverarbeitung, Wirtschaft, Bürowirtschaft; Fachoberschule für berufstätige Erwachsene (Form B - Teilzeit: dienstags und donnerstag abends, Samstag)",,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-berufliche-schulen/bethmannschule,bethmannschule,Frankfurt Schulwegweiser,2026-04-06,367
SW-european-school-of-design,European School of Design,Berufliche Schule,weiterfuehrende-berufliche-schulen,"Berufliche Schule, Weiterführende berufliche Schule",,Hamburger Allee 45,60486,Frankfurt am Main,Frankfurt am Main,Hessen,Bockenheim,50.1157829,8.6441501,+49 69 70795921,,study@europeanschoolofdesign.eu,http://www.europeanschoolofdesign.eu,Private Träger,Freier Träger,,Detlef Wildermuth,Ralph Thamm,,,,,,,,Deutsch,,Englisch,,,Englisch,,,,,,,,,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-berufliche-schulen/european-school-of-design,european-school-of-design,Frankfurt Schulwegweiser,2026-04-06,
SW-frankfurter-akademie-fuer-kommunikation-und-design,Frankfurter Akademie für Kommunikation und Design,Berufliche Schule,weiterfuehrende-berufliche-schulen,"Berufliche Schule, Weiterführende berufliche Schule",,Ostparkstraße 47-49,60385,Frankfurt am Main,Frankfurt am Main,Hessen,Ostend,50.1161601,8.7133234,+49 69 439938,+49 69 4990506,info@academy-of-visual-arts.de,http://www.academy-of-visual-arts.de,Private Träger,Freier Träger,,Seyyal Carnetto und Tomaso Carnetto,,160.0,,,,,,,,,,,,,,,,,,,,,,,,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-berufliche-schulen/frankfurter-akademie-fuer-kommunikation-und-design,frankfurter-akademie-fuer-kommunikation-und-design,Frankfurt Schulwegweiser,2026-04-06,
SW-franz-boehm-schule,Franz-Böhm-Schule,Berufliche Schule,weiterfuehrende-berufliche-schulen,"Berufliche Schule, Fachoberschule, Zweijährige Berufsfachschule, Bildungsgänge zur Berufsvorbereitung (BzB), Weiterführende berufliche Schule",,Eichendorffstraße 67-69,60320,Frankfurt am Main,Frankfurt am Main,Hessen,Dornbusch,50.1420058,8.6624825,Fachoberschule Form A,+49 69 212 48170,poststelle.franz-boehm-schule@stadt-frankfurt.de,http://www.franz-boehm-schule.de,Stadt Frankfurt am Main,,,Thomas Möller,Holger Kunz,1598.0,85.0,,,,,,Deutsch,,Englisch,,,Englisch,,,"Gewaltprävention, Kooperationspartner",,Umweltschule,Förderverein der Franz-Böhm-Schule; Ansprechpartner: Herr Stuber; thomas.stuber@schule.hessen.de,,"Franz Böhm, Vordenker der Sozialen Marktwirtschaft, Vater der Kartellgesetzgebung, Mitinitiator des Bundesentschädigungsgesetzes und Wegbereiter der Aussöhnung mit Israel","Arbeitsmarktdienstleistungen, Automobil, Einzelhandel, Informationsverarbeitung - Technik, Sozialversicherung, Wirtschaft - Schwerpunkt Wirtschaftsinformatik, Wirtschaft - Schwerpunkt Wirtschaft und Verwaltung, Wirtschaft und Verwaltung","Automobilkaufmann/-frau, Fachangestellte/r für Arbeitsförderung, Kaufmann/Kauffrau im Einzelhandel, Sozialversicherungsangestellte/r, Verkäufer/in",,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-berufliche-schulen/franz-boehm-schule,franz-boehm-schule,Frankfurt Schulwegweiser,2026-04-06,
SW-hans-boeckler-schule,Hans-Böckler-Schule,Berufliche Schule,weiterfuehrende-berufliche-schulen,"Berufliche Schule, Bildungsgänge zur Berufsvorbereitung (BzB), Zweijährige Berufsfachschule, Weiterführende berufliche Schule",,Rohrbachstraße 38,60389,Frankfurt am Main,Frankfurt am Main,Hessen,Nordend,50.1287547,8.6968961,+49 69 212 34409,+49 69 212 40530,poststelle.hans-boeckler-schule@stadt-frankfurt.de,http://www.hans-boeckler-schule.eu/,Stadt Frankfurt am Main,,,Martin Böhm,N.N.,1400.0,60.0,08:00 bis 15:10 Uhr,,,,,Deutsch,,"Englisch, Weitere Sprachangebote:",,,"Englisch, Weitere Sprachangebote:",,,"Förderung der Deutschkenntnisse, Pausenverkauf, Schüleraustausch",,,,,"Hans Böckler (1895 - 1951), Erster Vorsitzender des Deutschen Gewerkschaftsbundes nach dem 2. Weltkrieg. ""Vater"" der Mitbestimmung.",Wirtschaft und Verwaltung,"Immobilienkaufmann/-frau, Justizfachangestellte/r, Notarfachangestellte/r, Patentanwaltsfachangestellte/r, Rechtsanwalts- und Notarfachangestellte/r, Rechtsanwaltsfachangestellte/r, Steuerfachangestellte/r, Verwaltungsfachangestellte/r",,,https://frankfurt.de/themen/arbeit-bildung-und-wissenschaft/bildung/schulwegweiser/weiterfuehrende-berufliche-schulen/hans-boeckler-schule,hans-boeckler-schule,Frankfurt Schulwegweiser,2026-04-06,
