stadtteil,straftaten_insgesamt_2023,straftaten_insgesamt_2024,straftaten_insgesamt_yoy_pct,raub_2023,raub_2024,raub_yoy_pct,strassenraub_2023,strassenraub_2024,strassenraub_yoy_pct,koerperverletzung_2023,koerperverletzung_2024,koerperverletzung_yoy_pct,gefaehrliche_koerperverletzung_2023,gefaehrliche_koerperverletzung_2024,gefaehrliche_koerperverletzung_yoy_pct,gewaltkriminalitaet_2023,gewaltkriminalitaet_2024,gewaltkriminalitaet_yoy_pct,diebstahl_insgesamt_2023,diebstahl_insgesamt_2024,diebstahl_insgesamt_yoy_pct,wohnungseinbruch_2023,wohnungseinbruch_2024,wohnungseinbruch_yoy_pct,kfz_diebstahl_2023,kfz_diebstahl_2024,kfz_diebstahl_yoy_pct,diebstahl_an_kfz_2023,diebstahl_an_kfz_2024,diebstahl_an_kfz_yoy_pct,fahrraddiebstahl_2023,fahrraddiebstahl_2024,fahrraddiebstahl_yoy_pct,ladendiebstahl_2023,ladendiebstahl_2024,ladendiebstahl_yoy_pct,taschendiebstahl_2023,taschendiebstahl_2024,taschendiebstahl_yoy_pct,sachbeschaedigung_2023,sachbeschaedigung_2024,sachbeschaedigung_yoy_pct,strassenkriminalitaet_2023,strassenkriminalitaet_2024,strassenkriminalitaet_yoy_pct,rauschgift_2023,rauschgift_2024,rauschgift_yoy_pct
Hamburg unbekannt,8018.0,9096.0,13.4,34.0,17.0,-50.0,11.0,13.0,18.2,127.0,146.0,15.0,32.0,48.0,50.0,92.0,97.0,5.4,2198.0,2468.0,12.3,4.0,3.0,-25.0,9.0,12.0,33.3,135.0,108.0,-20.0,47.0,61.0,29.8,72.0,48.0,-33.3,651.0,845.0,29.8,109.0,144.0,32.1,135.0,136.0,0.7,288.0,232.0,-19.4
Tatort unbekannt,5787.0,5361.0,-7.4,1.0,1.0,0.0,0.0,0.0,,21.0,15.0,-28.6,5.0,6.0,20.0,12.0,13.0,8.3,218.0,330.0,51.4,0.0,0.0,,2.0,2.0,0.0,19.0,23.0,21.1,3.0,6.0,100.0,4.0,3.0,-25.0,39.0,63.0,61.5,61.0,52.0,-14.8,54.0,102.0,88.9,21.0,24.0,14.3
Hamburg insgesamt,234241.0,224913.0,-4.0,2174.0,2353.0,8.2,1137.0,1426.0,25.4,22950.0,23174.0,1.0,5872.0,6293.0,7.2,8394.0,8998.0,7.2,98773.0,92910.0,-5.9,3080.0,3008.0,-2.3,1582.0,1717.0,8.5,12873.0,12096.0,-6.0,13519.0,11438.0,-15.4,20074.0,17920.0,-10.7,13367.0,12993.0,-2.8,17406.0,16813.0,-3.4,8495.0,9291.0,9.4,17022.0,11313.0,-33.5
Altstadt,9747.0,7737.0,-20.6,70.0,89.0,27.1,33.0,37.0,12.1,437.0,405.0,-7.3,130.0,113.0,-13.1,205.0,203.0,-1.0,6067.0,4974.0,-18.0,3.0,6.0,100.0,28.0,13.0,-53.6,506.0,374.0,-26.1,394.0,291.0,-26.1,2814.0,2411.0,-14.3,691.0,496.0,-28.2,239.0,213.0,-10.9,210.0,180.0,-14.3,649.0,177.0,-72.7
HafenCity,1247.0,1315.0,5.5,8.0,11.0,37.5,3.0,2.0,-33.3,67.0,72.0,7.5,12.0,22.0,83.3,21.0,37.0,76.2,764.0,828.0,8.4,8.0,8.0,0.0,15.0,19.0,26.7,75.0,92.0,22.7,150.0,137.0,-8.7,32.0,61.0,90.6,147.0,70.0,-52.4,124.0,100.0,-19.4,2.0,16.0,700.0,18.0,9.0,-50.0
Neustadt,4960.0,4256.0,-14.2,42.0,57.0,35.7,19.0,35.0,84.2,421.0,380.0,-9.7,122.0,119.0,-2.5,176.0,180.0,2.3,2305.0,1835.0,-20.4,17.0,26.0,52.9,35.0,15.0,-57.1,269.0,206.0,-23.4,349.0,254.0,-27.2,338.0,277.0,-18.0,521.0,388.0,-25.5,292.0,280.0,-4.1,101.0,81.0,-19.8,352.0,138.0,-60.8
St. Pauli,15943.0,14982.0,-6.0,277.0,387.0,39.7,193.0,272.0,40.9,2878.0,2975.0,3.4,910.0,998.0,9.7,1210.0,1410.0,16.5,6516.0,6180.0,-5.2,32.0,40.0,25.0,20.0,22.0,10.0,373.0,320.0,-14.2,506.0,395.0,-21.9,379.0,247.0,-34.8,3155.0,2976.0,-5.7,748.0,604.0,-19.3,620.0,486.0,-21.6,1815.0,1204.0,-33.7
St. Georg,30089.0,30945.0,2.8,465.0,660.0,41.9,328.0,483.0,47.3,2272.0,2474.0,8.9,729.0,800.0,9.7,1207.0,1474.0,22.1,9692.0,9399.0,-3.0,22.0,21.0,-4.5,23.0,34.0,47.8,920.0,889.0,-3.4,572.0,431.0,-24.7,3081.0,3002.0,-2.6,2296.0,2028.0,-11.7,519.0,502.0,-3.3,2599.0,2917.0,12.2,6636.0,5409.0,-18.5
Hammerbrook,3692.0,3006.0,-18.6,32.0,26.0,-18.8,18.0,20.0,11.1,276.0,313.0,13.4,62.0,87.0,40.3,96.0,118.0,22.9,1638.0,1321.0,-19.4,13.0,6.0,-53.8,33.0,18.0,-45.5,615.0,439.0,-28.6,226.0,143.0,-36.7,81.0,41.0,-49.4,60.0,57.0,-5.0,183.0,187.0,2.2,95.0,110.0,15.8,406.0,146.0,-64.0
Borgfelde,914.0,728.0,-20.4,5.0,6.0,20.0,3.0,3.0,0.0,117.0,83.0,-29.1,27.0,18.0,-33.3,38.0,28.0,-26.3,449.0,328.0,-26.9,14.0,21.0,50.0,7.0,6.0,-14.3,144.0,102.0,-29.2,77.0,58.0,-24.7,17.0,5.0,-70.6,5.0,18.0,260.0,90.0,77.0,-14.4,9.0,13.0,44.4,34.0,23.0,-32.4
Hamm,3204.0,3107.0,-3.0,32.0,21.0,-34.4,11.0,9.0,-18.2,378.0,400.0,5.8,75.0,92.0,22.7,114.0,115.0,0.9,1484.0,1377.0,-7.2,76.0,41.0,-46.1,61.0,46.0,-24.6,288.0,240.0,-16.7,255.0,201.0,-21.2,187.0,289.0,54.5,74.0,40.0,-45.9,315.0,307.0,-2.5,35.0,47.0,34.3,105.0,97.0,-7.6
Horn,3076.0,2967.0,-3.5,32.0,29.0,-9.4,13.0,16.0,23.1,451.0,393.0,-12.9,108.0,84.0,-22.2,144.0,120.0,-16.7,1294.0,1243.0,-3.9,73.0,45.0,-38.4,45.0,39.0,-13.3,289.0,253.0,-12.5,101.0,139.0,37.6,144.0,159.0,10.4,91.0,63.0,-30.8,284.0,294.0,3.5,60.0,39.0,-35.0,139.0,99.0,-28.8
Billstedt,7198.0,6420.0,-10.8,59.0,70.0,18.6,29.0,38.0,31.0,958.0,984.0,2.7,247.0,251.0,1.6,322.0,337.0,4.7,3332.0,2588.0,-22.3,141.0,102.0,-27.7,67.0,74.0,10.4,427.0,374.0,-12.4,110.0,122.0,10.9,819.0,719.0,-12.2,509.0,331.0,-35.0,550.0,543.0,-1.3,120.0,121.0,0.8,297.0,172.0,-42.1
Billbrook,648.0,673.0,3.9,1.0,3.0,200.0,0.0,1.0,,87.0,100.0,14.9,20.0,28.0,40.0,22.0,31.0,40.9,306.0,308.0,0.7,3.0,4.0,33.3,19.0,21.0,10.5,102.0,133.0,30.4,9.0,18.0,100.0,6.0,2.0,-66.7,6.0,9.0,50.0,73.0,59.0,-19.2,10.0,13.0,30.0,19.0,11.0,-42.1
Rothenburgsort,1403.0,1351.0,-3.7,13.0,9.0,-30.8,3.0,5.0,66.7,208.0,170.0,-18.3,55.0,42.0,-23.6,70.0,51.0,-27.1,597.0,578.0,-3.2,13.0,6.0,-53.8,20.0,23.0,15.0,167.0,170.0,1.8,33.0,40.0,21.2,111.0,108.0,-2.7,23.0,18.0,-21.7,108.0,108.0,0.0,33.0,24.0,-27.3,32.0,31.0,-3.1
