stadtteil,bezirk,straftaten_2024,straftaten_2023,aufklaerungsquote_2024,aufklaerungsquote_2023
Hamburg-Altstadt,Hamburg-Mitte,9747.0,6432.0,66.0,7737.0
HafenCity,Hamburg-Mitte,1247.0,316.0,25.3,1315.0
Neustadt,Hamburg-Mitte,4960.0,2300.0,46.4,4256.0
St. Pauli,Hamburg-Mitte,15943.0,7344.0,46.1,14982.0
St. Georg,Hamburg-Mitte,30089.0,22249.0,73.9,30945.0
Hammerbrook,Hamburg-Mitte,3692.0,1523.0,41.3,3006.0
Borgfelde,Hamburg-Mitte,914.0,342.0,37.4,728.0
Hamm,Hamburg-Mitte,3204.0,1206.0,37.6,3107.0
Horn,Hamburg-Mitte,3076.0,1404.0,45.6,2967.0
Billstedt,Hamburg-Mitte,7198.0,3548.0,49.3,6420.0
Billbrook,Hamburg-Mitte,648.0,252.0,38.9,673.0
Rothenburgsort,Hamburg-Mitte,1403.0,690.0,49.2,1351.0
Veddel,Hamburg-Mitte,883.0,321.0,36.4,676.0
Wilhelmsburg,Hamburg-Mitte,5280.0,2558.0,48.4,5211.0
Kleiner Grasbrook,Hamburg-Mitte,205.0,106.0,51.7,214.0
Steinwerder,Hamburg-Mitte,119.0,61.0,51.3,106.0
Waltershof,Hamburg-Mitte,110.0,49.0,44.5,106.0
Finkenwerder,Hamburg-Mitte,694.0,320.0,46.1,673.0
Insel Neuwerk,Hamburg-Mitte,1.0,1.0,100.0,1.0
Bezirk Hamburg-Mitte,Hamburg-Mitte,89413.0,51022.0,57.1,84474.0
Hamburg-Altstadt,Hamburg-Mitte,70.0,40.0,57.1,89.0
HafenCity,Hamburg-Mitte,8.0,4.0,50.0,11.0
Neustadt,Hamburg-Mitte,42.0,16.0,38.1,57.0
St. Pauli,Hamburg-Mitte,277.0,78.0,28.2,387.0
St. Georg,Hamburg-Mitte,465.0,189.0,40.6,660.0
Hammerbrook,Hamburg-Mitte,32.0,12.0,37.5,26.0
Borgfelde,Hamburg-Mitte,5.0,3.0,60.0,6.0
Hamm,Hamburg-Mitte,32.0,18.0,56.3,21.0
Horn,Hamburg-Mitte,32.0,18.0,56.3,29.0
Billstedt,Hamburg-Mitte,59.0,31.0,52.5,70.0
Billbrook,Hamburg-Mitte,1.0,1.0,100.0,3.0
Rothenburgsort,Hamburg-Mitte,13.0,7.0,53.8,9.0
Veddel,Hamburg-Mitte,10.0,3.0,30.0,2.0
Wilhelmsburg,Hamburg-Mitte,52.0,22.0,42.3,27.0
Kleiner Grasbrook,Hamburg-Mitte,1.0,1.0,100.0,1.0
Steinwerder,Hamburg-Mitte,0.0,0.0,,0.0
Waltershof,Hamburg-Mitte,0.0,0.0,,0.0
Finkenwerder,Hamburg-Mitte,7.0,5.0,71.4,2.0
Insel Neuwerk,Hamburg-Mitte,0.0,0.0,,0.0
Bezirk Hamburg-Mitte,Hamburg-Mitte,1106.0,448.0,40.5,1400.0
Hamburg-Altstadt,Hamburg-Mitte,33.0,16.0,48.5,37.0
HafenCity,Hamburg-Mitte,3.0,1.0,33.3,2.0
Neustadt,Hamburg-Mitte,19.0,8.0,42.1,35.0
St. Pauli,Hamburg-Mitte,193.0,41.0,21.2,272.0
St. Georg,Hamburg-Mitte,328.0,118.0,36.0,483.0
Hammerbrook,Hamburg-Mitte,18.0,6.0,33.3,20.0
Borgfelde,Hamburg-Mitte,3.0,1.0,33.3,3.0
Hamm,Hamburg-Mitte,11.0,2.0,18.2,9.0
Horn,Hamburg-Mitte,13.0,2.0,15.4,16.0
Billstedt,Hamburg-Mitte,29.0,10.0,34.5,38.0
Billbrook,Hamburg-Mitte,0.0,0.0,,1.0
Rothenburgsort,Hamburg-Mitte,3.0,3.0,100.0,5.0
Veddel,Hamburg-Mitte,3.0,1.0,33.3,2.0
Wilhelmsburg,Hamburg-Mitte,26.0,8.0,30.8,15.0
Kleiner Grasbrook,Hamburg-Mitte,0.0,0.0,,1.0
Steinwerder,Hamburg-Mitte,0.0,0.0,,0.0
Waltershof,Hamburg-Mitte,0.0,0.0,,0.0
Finkenwerder,Hamburg-Mitte,2.0,1.0,50.0,0.0
Insel Neuwerk,Hamburg-Mitte,0.0,0.0,,0.0
Bezirk Hamburg-Mitte,Hamburg-Mitte,684.0,218.0,31.9,939.0
