stadtteil,population,population_under_18,pct_under_18,population_65_plus,pct_65_plus,foreigners_count,pct_foreigners,migration_background_count,pct_migration_background,under_18_migration_count,pct_under_18_migration,persons_per_household,pct_single_parents,population_density_per_km2,employment_rate_pct,unemployment_rate_pct,youth_unemployment_rate_pct,pct_sgb2_welfare,pct_children_in_welfare,income_per_taxpayer_eur,avg_apartment_size_m2,living_space_per_person_m2,pct_social_housing,pct_students_stadtteilschule,pct_students_gymnasium,pkw_per_1000_residents
Hamburg-Altstadt,2412,274,11.4,264,10.9,559,23.2,1097,45.3,180,65.9,1.6,27.0,1855,73.3,5.9,,9.7,18.3,62184,74.1,45.7,10.2,42.6,52.9,239.0
HafenCity,7362,1535,20.9,692,9.4,1080,14.7,3003,40.7,862,56.1,2.2,14.8,3035,61.3,3.9,2.1,5.2,9.3,88572,81.1,45.7,29.1,30.8,67.4,253.0
Neustadt,12620,1373,10.9,1922,15.2,2610,20.7,4804,38.0,670,48.3,1.5,30.7,5579,65.7,5.3,2.2,6.7,10.7,45539,63.2,38.8,12.8,41.0,55.6,235.0
St. Pauli,22305,2946,13.2,2336,10.5,5199,23.3,8688,39.0,1463,49.9,1.5,36.2,9947,56.7,8.4,4.2,12.7,20.9,38817,64.2,36.6,17.3,52.8,43.2,195.0
St. Georg,12631,1467,11.6,1743,13.8,3848,30.5,5719,45.4,919,64.1,1.6,25.3,6930,56.9,8.4,6.0,12.4,24.7,54971,71.1,36.2,11.7,40.0,55.9,188.0
Hammerbrook,6709,956,14.2,230,3.4,2931,43.7,4217,62.8,831,87.7,1.8,24.0,2688,57.7,11.3,5.3,20.6,43.6,35040,55.9,25.0,26.1,64.8,31.7,135.0
Borgfelde,8822,1196,13.6,925,10.5,3500,39.7,4927,55.7,962,80.5,1.5,27.7,10734,57.3,7.7,3.1,16.6,42.4,31736,56.1,28.4,8.0,59.6,35.7,188.0
Hamm,38868,4629,11.9,5214,13.4,8589,22.1,16009,41.2,3044,65.8,1.5,32.5,9995,68.0,6.5,3.4,10.1,21.7,32607,58.9,35.8,5.7,57.1,39.2,251.0
Horn,38857,6301,16.2,5621,14.5,11883,30.6,22619,58.2,4932,78.4,1.7,34.1,6589,60.3,8.3,3.7,15.5,28.7,27182,61.5,31.5,11.8,65.1,32.0,258.0
Billstedt,72623,14150,19.5,13230,18.2,21919,30.2,46257,63.7,11387,80.7,2.0,32.0,4291,57.2,9.6,4.6,19.0,33.5,28713,72.8,32.6,15.0,69.2,27.3,308.0
Billbrook,1869,565,30.2,90,4.8,1504,80.5,1644,88.1,547,98.2,1.5,,297,46.9,19.5,7.1,60.1,83.2,31355,65.8,10.0,0.0,81.7,11.7,132.0
Rothenburgsort,10317,1895,18.4,1427,13.8,4005,38.8,6707,65.0,1588,83.5,1.8,35.3,1435,53.3,11.1,5.8,22.7,35.9,26322,62.9,28.5,19.9,68.1,28.3,224.0
Veddel,4290,818,19.1,395,9.2,2027,47.2,3269,76.3,752,92.5,1.9,30.5,981,56.8,10.2,4.9,21.9,37.7,21064,61.3,28.9,26.2,75.3,20.1,192.0
Wilhelmsburg,54662,10982,20.1,7234,13.2,19041,34.8,34817,63.7,8558,77.9,2.0,27.8,1545,55.5,9.2,4.1,18.1,29.5,28037,69.9,29.6,22.5,66.7,27.3,258.0
Kleiner Grasbrook und Steinwerder,1092,54,4.9,66,6.0,362,33.2,509,46.6,50,92.6,1.3,,92,58.5,8.1,,12.2,,17050,50.6,34.1,0.0,,,150.0
Waltershof und Finkenwerder,11702,1983,16.9,2344,20.0,2521,21.5,4235,36.2,1067,53.7,1.8,27.7,398,64.0,6.1,2.2,10.7,19.6,38358,75.5,37.6,8.8,53.4,42.6,368.0
Altona-Altstadt,29715,4468,15.0,3993,13.4,6426,21.6,12317,41.4,2532,56.7,1.6,33.2,10933,59.6,8.2,3.6,11.9,19.8,40105,63.5,35.7,12.3,52.4,43.2,220.0
Sternschanze,7713,1011,13.1,820,10.6,1456,18.9,2787,36.1,462,45.6,1.5,31.8,14063,58.6,6.2,1.5,8.4,15.3,38901,68.3,38.8,10.8,44.7,46.6,197.0
Altona-Nord,26807,4397,16.4,2734,10.2,5580,20.8,10596,39.5,2175,49.4,1.7,26.9,12087,60.8,6.7,2.4,9.4,14.6,40529,62.8,33.5,11.3,49.2,45.5,212.0
Ottensen,35469,5223,14.7,5501,15.5,4821,13.6,10142,28.6,1967,37.7,1.6,27.9,12689,61.4,5.1,1.9,5.7,8.7,51131,70.7,39.9,3.7,42.1,52.1,262.0
Bahrenfeld,31438,5610,17.8,4071,12.9,7891,25.1,12492,39.7,3058,54.5,1.7,25.3,2983,59.3,8.5,4.5,13.9,23.9,43669,69.9,33.6,2.8,54.4,39.6,270.0
Groß Flottbek,11265,2215,19.7,2301,20.4,1621,14.4,3051,27.0,747,33.7,2.1,14.4,4752,53.1,2.4,,1.4,1.8,112126,106.0,50.9,0.6,11.9,84.7,423.0
Othmarschen,16662,3432,20.6,3382,20.3,2566,15.4,4965,29.8,1397,40.7,2.1,15.8,2802,55.6,3.3,0.9,3.9,8.4,142568,110.6,51.8,4.4,18.0,77.3,419.0
Lurup,37451,7697,20.6,6770,18.1,9161,24.5,20204,53.9,5527,71.8,2.0,30.1,5952,59.5,7.6,4.0,15.7,28.0,33734,77.4,35.6,13.2,64.4,30.8,322.0
Osdorf,26370,5216,19.8,5688,21.6,5302,20.1,11664,44.2,3138,60.1,2.0,27.5,3637,57.9,6.5,3.1,11.4,19.3,52797,85.3,41.9,7.0,49.3,45.4,351.0
Nienstedten,7034,1309,18.6,1852,26.3,778,11.1,1571,22.2,406,31.1,2.0,16.0,1606,47.9,2.4,,1.4,2.7,167671,125.5,58.8,0.2,16.4,72.4,506.0
Blankenese,13521,2453,18.1,3703,27.4,1239,9.2,2783,20.6,733,29.9,2.0,16.4,1748,51.0,2.4,,1.4,1.6,130298,118.8,61.7,1.7,16.8,80.0,494.0
Iserbrook,11512,2064,17.9,2872,24.9,1395,12.1,3181,27.6,859,41.7,1.9,21.7,4311,61.5,4.0,1.5,5.7,10.4,51720,84.7,43.4,3.1,47.9,46.7,398.0
Sülldorf,9387,1799,19.2,2018,21.5,1475,15.7,2687,28.6,721,40.1,1.9,23.3,1637,56.0,5.6,1.8,8.5,15.9,54893,91.4,44.7,3.7,43.8,52.9,394.0
Rissen,16494,3190,19.3,4634,28.1,2110,12.8,4107,24.9,1295,40.5,2.0,18.4,987,55.7,4.7,1.4,6.3,12.6,71430,99.7,49.9,1.4,36.1,60.1,426.0
Eimsbüttel,57820,7234,12.5,7641,13.2,7590,13.1,15191,26.3,2611,36.2,1.5,25.7,17926,65.6,4.6,1.8,4.1,6.4,46937,64.1,38.6,2.1,31.5,62.6,247.0
Rotherbaum,17292,2240,13.0,2834,16.4,2998,17.3,5529,31.9,868,38.9,1.6,21.4,6322,55.2,3.2,0.8,2.1,2.4,87216,83.9,49.6,0.1,18.6,78.9,312.0
Harvestehude,17880,2621,14.7,3780,21.1,2633,14.7,5280,29.5,1022,39.1,1.7,21.7,8720,54.6,4.1,1.5,3.5,6.1,112004,96.6,55.1,0.3,16.5,81.0,374.0
Hoheluft-West,13631,1676,12.3,1900,13.9,1802,13.2,3485,25.6,601,35.8,1.5,22.3,18945,66.6,4.3,1.3,3.7,5.8,55042,66.3,39.5,0.1,26.4,69.2,250.0
Lokstedt,31429,5493,17.5,5917,18.8,5364,17.1,10694,34.0,2436,44.4,1.8,19.6,6419,63.4,4.4,2.1,6.4,10.0,52985,74.6,38.3,4.7,33.2,60.4,307.0
Niendorf,42332,6721,15.9,10501,24.8,5839,13.8,11568,27.3,2746,40.7,1.9,21.4,3409,63.3,3.7,1.7,3.8,6.9,52657,86.2,43.6,0.9,38.7,58.8,403.0
Schnelsen,31174,6005,19.3,6170,19.8,5837,18.7,12016,38.5,3322,55.3,2.0,24.0,3483,61.8,5.9,3.3,10.0,18.2,44964,88.5,40.9,11.9,53.3,42.6,397.0
Eidelstedt,36312,6752,18.6,7215,19.9,8236,22.7,16366,45.1,4283,63.5,1.9,26.8,4163,62.8,6.9,3.6,12.5,23.9,37192,75.4,34.7,10.2,58.5,37.7,332.0
Stellingen,28352,4455,15.7,5000,17.6,6467,22.8,11318,39.9,2517,56.6,1.7,22.9,4656,64.1,6.1,3.2,9.1,16.8,40393,69.6,36.8,3.3,48.1,45.8,291.0
Hoheluft-Ost,9829,1263,12.8,1697,17.3,1133,11.5,2431,24.7,436,34.5,1.6,23.0,17381,65.4,4.1,,2.9,4.5,69391,73.3,46.0,3.4,22.3,76.3,305.0
Eppendorf,25253,3376,13.4,4653,18.4,2924,11.6,6068,24.0,1198,35.6,1.6,21.6,9461,64.0,3.6,1.5,2.7,4.1,71211,80.1,45.6,4.2,21.4,74.6,302.0
Groß Borstel,10943,2064,18.9,1894,17.3,2243,20.5,3846,35.1,988,47.9,1.9,24.6,2746,59.7,5.6,1.7,8.0,13.7,53282,75.0,35.6,9.1,41.1,55.8,337.0
Alsterdorf,15108,2401,15.9,2934,19.4,2069,13.7,4562,30.2,1073,44.8,1.8,24.3,4788,60.9,4.5,1.8,5.7,10.9,59971,77.7,41.7,9.7,33.2,62.7,358.0
Winterhude,60435,8349,13.8,8430,13.9,9306,15.4,18052,29.8,3828,45.8,1.6,21.5,7968,65.3,4.6,2.6,5.9,12.4,61256,70.2,41.0,5.1,43.8,53.4,291.0
Uhlenhorst,19254,2569,13.3,3480,18.1,2583,13.4,5618,29.2,1187,46.3,1.6,20.5,8830,64.0,3.6,1.0,3.6,8.3,84712,79.3,46.5,3.3,29.0,69.9,326.0
Hohenfelde,10103,1229,12.2,1471,14.6,2200,21.8,4073,40.3,735,60.0,1.5,23.5,8749,64.7,5.3,1.9,8.0,17.9,51226,67.6,39.8,1.8,49.5,47.3,260.0
Barmbek-Süd,36705,4078,11.1,5004,13.6,6603,18.0,12315,33.6,2171,53.7,1.5,27.6,11872,68.5,5.7,2.6,7.5,15.7,41677,59.7,37.3,4.7,52.1,45.1,269.0
Dulsberg,17237,1905,11.1,2301,13.3,4487,26.0,8226,47.7,1436,75.5,1.4,43.6,14062,64.2,10.1,4.0,15.6,33.8,27214,53.9,33.9,7.3,76.3,21.5,218.0
Barmbek-Nord,43747,4832,11.0,5611,12.8,7394,16.9,14616,33.5,2560,53.4,1.5,28.8,11359,68.9,6.2,3.4,7.9,14.2,36119,57.2,37.4,4.7,55.9,40.4,254.0
