schulname_abitur,stadtteil_abitur,abitur_durchschnitt_2024,abitur_durchschnitt_2023,abitur_durchschnitt_2022,abitur_durchschnitt_2021,abitur_durchschnitt_2019,schulnummer,status,bezirk,homepage,email,sprachen,gruendungsjahr,schueler_23_24
Gymnasium Oberalster,Sasel,1.94,2.06,1.97,,,5850,,Wandsbek,,,,,857
Gymnasium Eppendorf,Eppendorf,2.0,2.09,1.98,,,5844,,Hamburg-Nord,,,,,819
Christianeum,Othmarschen,2.02,1.89,1.83,1.83,,5813,,Altona,,,,,1025
Gymnasium Altona,Ottensen,2.03,2.06,2.09,,,5830,,Altona,,,,,1042
Walddörfer-Gymnasium,Volksdorf,2.03,2.04,1.95,,,5816,,Wandsbek,,,,,1303
Gelehrtenschule des Johanneums,Winterhude,2.06,1.88,1.93,1.89,,5886,,Hamburg-Nord,,,,,919
Wilhelm-Gymnasium,Harvestehude,2.07,1.99,1.97,,2.1,5872,,Eimsbüttel,,,,,710
Albert-Schweitzer-Gymnasium,Ohlsdorf,2.1,2.14,2.1,,,5810,,Hamburg-Nord,,,,,1010
Gymnasium Hochrad,Othmarschen,2.11,2.06,2.07,1.92,,5887,,Altona,,,,,1104
Helene-Lange-Gymnasium,Harvestehude,2.11,2.06,1.95,1.87,2.02,5864,,Eimsbüttel,,,,,997
Gymnasium Grootmoor,Bramfeld,2.12,2.11,1.98,,,5895,,Wandsbek,,,,,1248
Marion Dönhoff Gymnasium,Blankenese,2.13,2.11,2.16,,,5841,,Altona,,,,,996
Gymnasium Rissen,Rissen,2.15,2.19,2.12,,,5809,,Altona,,,,,677
Gymnasium Buckhorn,Volksdorf,2.15,2.08,1.88,1.84,2.09,5812,,Wandsbek,,,,,1019
Luisen-Gymnasium Bergedorf,Bergedorf,2.16,2.25,2.23,,,5848,,Bergedorf,,,,,990
Gymnasium Hummelsbüttel,Hummelsbüttel,2.16,2.14,2.16,,,5899,,Wandsbek,,,,,800
Gymnasium Meiendorf,Rahlstedt,2.16,2.25,2.19,,,5890,,Wandsbek,,,,,971
Gymnasium Blankenese,Blankenese,2.18,2.19,2.08,,,5831,,Altona,,,,,883
Charlotte-Paulsen-Gymnasium,Wandsbek,2.19,2.51,2.33,,,5862,,Wandsbek,,,,,858
