stop_name,stop_type,transit_type,lines,latitude,longitude
Ernst-August-Schleuse (Schiff),Fähre,Fähre,73,53.52416995866022,9.981847233525595
Finkenwerder (Schiff),Fähre,Fähre,"62,64",53.53646658511248,9.878859314251779
Rüschpark (Schiff),Fähre,Fähre,"62,64",53.541570422465114,9.863306769359054
Sperrwerk Neuenfelde (Schiff),Fähre,Fähre,HBEL,53.536103513982724,9.790444757872143
Cranz (Schiff),Fähre,Fähre,HBEL,53.534742240651006,9.77955805067484
AIRBUS (Schiffsanleger),Fähre,Fähre,"62,68",53.54479005389951,9.840896869512372
Köhlbrandhöft (nur Angehörige),Fähre,Fähre,61,53.53965362153173,9.934726030653039
Waltershof,Fähre,Fähre,61,53.525632423381246,9.937198475815448
Argentinienbrücke (Schiff),Fähre,Fähre,73,53.52817196811862,9.976074168223144
Steinwerder (Schiff),Fähre,Fähre,75,53.54012786308037,9.966492768201793
Arningstraße (Schiff),Fähre,Fähre,72,53.53700573176953,9.985160473521315
Neuhof (Schiff),Fähre,Fähre,61,53.52414518000794,9.940765832029854
Theater im Hafen,Fähre,Fähre,73,53.54071747645762,9.97439345223793
Elbphilharmonie (Schiff),Fähre,Fähre,72,53.540329000724995,9.986372998208742
Teufelsbrück (Schiff),Fähre,Fähre,"62,64,68",53.54649554956411,9.862619068790138
Landungsbrücken Brücke 3,Fähre,Fähre,62,53.545098774742684,9.969772887838076
Landungsbrücken Brücke 2,Fähre,Fähre,"61,68,75",53.54498954811299,9.970593784104874
Landungsbrücken Brücke 1,Fähre,Fähre,"62,72,73",53.544896564683285,9.970913723884737
Blankenese (Schiff),Fähre,Fähre,HBEL,53.555989498847175,9.804728966029995
Bubendey-Ufer,Fähre,Fähre,"62,68",53.540187815847446,9.885338177506563
Neumühlen (Schiff),Fähre,Fähre,"62,68",53.54353190057116,9.914710661789158
Altona (Fischmarkt),Fähre,Fähre,"61,62,68",53.54400723059118,9.952197118918617
Dockland (Fischereihafen),Fähre,Fähre,"61,62,68",53.54302314925685,9.935498764543516
"Hamburg-Altona S Gl. 1,2",,S-Bahn,"S1,S11,S2,S3,S31",53.55121373830235,9.93590790275039
Friedrichsberg S,,S-Bahn,"S1,S11",53.57615921214767,10.056918252401099
"Hamburg-Altona S Gl. 3,4",,S-Bahn,"S1,S11,S2,S3,S31",53.551194547532766,9.935745049026746
Reeperbahn S,,S-Bahn,"S1,S2,S3",53.549461669400216,9.956355011000053
Königstraße S,,S-Bahn,"S1,S2,S3",53.54791708635689,9.94482998927612
"Hamburg Hbf S Gl. 1,2",,S-Bahn,"S1,S11,S2,S21,S3,S31",53.550951269345745,9.999492773803906
Harburg Rathaus S,,S-Bahn,"S3,S31",53.45988398391986,9.97985756471901
"Hamburg Hbf S Gl. 3,4",,S-Bahn,"S1,S11,S2,S21,S3,S31",53.5533089789401,10.006168320329124
Hamburg Airport (Flughafen) S,,S-Bahn,S1,53.63305756840919,10.009415071926368
Jungfernstieg S,,S-Bahn,"S1,S2,S3",53.551501800064834,9.994123303114957
Stadthausbrücke S,,S-Bahn,"S1,S2,S3",53.54911451942312,9.986008428916504
Ottensen S,,S-Bahn,"S1,S11",53.55952007966803,9.925822750030784
Tiefstack S,,S-Bahn,"S2,S21",53.53056903436202,10.065483363584116
Fischbek S,,S-Bahn,"RE5,S3",53.47394208573835,9.819558563246039
Barmbek S,,S-Bahn,"S1,S11",53.586695571248804,10.044899398895625
Alte Wöhr S,,S-Bahn,"S1,S11",53.59731046513695,10.036384740756079
Rübenkamp (City Nord) S,,S-Bahn,"S1,S11",53.605568642979705,10.035409056717542
Hasselbrook S,,S-Bahn,"S1,S11",53.56462986809882,10.05583592787302
Kornweg S,,S-Bahn,"S1,S11",53.63168070493948,10.054084057502465
Wellingsbüttel S,,S-Bahn,"S1,S11",53.641786030489705,10.081677654501455
Hammerbrook (City Süd) S,,S-Bahn,"S3,S31",53.546942112542524,10.023616788957568
Hoheneichen S,,S-Bahn,"S1,S11",53.635436005401594,10.069036849494864
Berliner Tor S1 / S11,,S-Bahn,"S2,S21",53.55388571858107,10.024071383399697
Landwehr S,,S-Bahn,"S1,S11",53.56047178663465,10.038166851315035
Rothenburgsort S,,S-Bahn,"S2,S21",53.53862770746558,10.043520576469424
Hochkamp S,,S-Bahn,"S1,S11",53.56124639094685,9.84338863540487
Poppenbüttel S,,S-Bahn,"S1,S11",53.651949526638504,10.094441400455736
