_fid,abschluss,adresse_ort,adresse_strasse_hausnr,ansprechp_klasse_1,ansprechp_klasse_5,ansprechp_buero,schueler_gesamt,anzahl_schueler_gesamt,auszeichnung,bezirk,bilingual,einzugsgebiet,fax,ferienbetreuung_anteil,foerderart,fremdsprache,fremdsprache_mit_klasse,ganztagsform,is_rebbz,kantine_vorh,kapitelbezeichnung,kernunterricht,kernzeitbetreuung,kiosk_vorh,lgv_standortk_erwachsenenbildung,mittagspause,name_schulleiter,name_stellv_schulleiter,name_oberstufenkoordinator,name_verwaltungsleitung,nutzung_kantine_anteil,oberstufenprofil,offenetuer,rebbz_homepage,rechtsform,schueleranzahl_schuljahr,schuelerzeitung,schul_email,schul_homepage,schul_icon,schulnummer,schul_telefonnr,schulaufsicht,schulart,schulinspektion_link,schulische_ausrichtung,schulname,schulpartnerschaft,schulportrait,schultyp,schulwahl_wohnort,schwerpunktschule,sozialindex,sprachzertifikat,stadtteil,standort_id,standortkl1,standortkl5,standortoberstufe,vegetarisch,wahlmoeglichkeit_essen,zuegigkeit_kl_1,zuegigkeit_kl_5,zustaendiges_rebbz,the_geom,coordinate_reference_system,traegerschaft,latitude,longitude,school_type,traeger_typ,data_source,data_retrieved
DE.HH.UP_STAATLICHE_SCHULEN_954891,Allgemeine Hochschulreife|erster allgemeinbildender Schulabschluss|Erweiterter erster allgemeinbildender Schulabschluss|mittlerer Schulabschluss|schulischer Teil der Fachhochschulreife,22307 Hamburg,Benzenbergweg 2,,Nadine Kalsow,Janka Gierck,996.0,1261 an 2 Standorten,,Hamburg-Nord,,,+49 40 428 88 15 22,,,Englisch|Französisch|Latein|Spanisch|Spanisch,Englisch ab Klasse  5|Französisch ab Klasse  7|Latein ab Klasse  7|Spanisch ab Klasse  11|Spanisch ab Klasse  7,GTS teilweise gebunden,True,,Stadtteilschulen,,,,No,,Bianca Thies,Christian Pape,Frau Scheuermann-Andersen *49 40 428 88 15-61,Grit Sobottka,,,,http://rebbz-winterhude.hamburg.de/,staatlich,2024.0,,stadtteilschule-helmuth-huebener@bsfb.hamburg.de,https://helmuthhuebener.de,,5043-0,+49 40 428 88 15 0,Christine Zopff,Stadtteilschule,https://www.hamburg.de/politik-und-verwaltung/behoerden/schulbehoerde/themen/schulaufsicht/inspektionsberichte/weiterfuehrende-schulen-hamburg-nord,,Stadtteilschule Helmuth Hübener,,,Hauptstandort,,,Stufe 2,,Barmbek-Nord,431,,,,,,,7,ReBBZ Winterhude,POINT (10.047106 53.601523),EPSG:4326,Staatlich,53.60152250365794,10.047106063057651,Stadtteilschule,Sonstige,Transparenzportal Hamburg,2026-02-04
DE.HH.UP_STAATLICHE_SCHULEN_954891,Allgemeine Hochschulreife|erster allgemeinbildender Schulabschluss|Erweiterter erster allgemeinbildender Schulabschluss|mittlerer Schulabschluss|schulischer Teil der Fachhochschulreife,22307 Hamburg,Benzenbergweg 2,,Nadine Kalsow,Janka Gierck,996.0,1261 an 2 Standorten,,Hamburg-Nord,,,+49 40 428 88 15 22,,,Englisch|Französisch|Latein|Spanisch|Spanisch,Englisch ab Klasse  5|Französisch ab Klasse  7|Latein ab Klasse  7|Spanisch ab Klasse  11|Spanisch ab Klasse  7,GTS teilweise gebunden,True,,Stadtteilschulen,,,,No,,Bianca Thies,Christian Pape,Frau Scheuermann-Andersen *49 40 428 88 15-61,Grit Sobottka,,,,http://rebbz-winterhude.hamburg.de/,staatlich,2024.0,,stadtteilschule-helmuth-huebener@bsfb.hamburg.de,https://helmuthhuebener.de,,5043-0,+49 40 428 88 15 0,Christine Zopff,Stadtteilschule,https://www.hamburg.de/politik-und-verwaltung/behoerden/schulbehoerde/themen/schulaufsicht/inspektionsberichte/weiterfuehrende-schulen-hamburg-nord,,Stadtteilschule Helmuth Hübener,,,Hauptstandort,,,Stufe 2,,Barmbek-Nord,431,,,,,,,7,ReBBZ Winterhude,POINT (10.047106 53.601523),EPSG:4326,Staatlich,53.599416622429125,10.048414031558599,Stadtteilschule,Sonstige,Transparenzportal Hamburg,2026-02-04
DE.HH.UP_STAATLICHE_SCHULEN_954892,Allgemeine Hochschulreife|erster allgemeinbildender Schulabschluss|Erweiterter erster allgemeinbildender Schulabschluss|mittlerer Schulabschluss|schulischer Teil der Fachhochschulreife,22307 Hamburg,Langenfort 68,,Nadine Kalsow,Janka Gierck,265.0,1261 an 2 Standorten,,Hamburg-Nord,,,+49 40 428 88 15 22,,,Englisch|Französisch|Latein|Spanisch|Spanisch,Englisch ab Klasse  5|Französisch ab Klasse  7|Latein ab Klasse  7|Spanisch ab Klasse  11|Spanisch ab Klasse  7,GTS teilweise gebunden,True,,Stadtteilschulen,,,,No,,Bianca Thies,Christian Pape,Frau Scheuermann-Andersen *49 40 428 88 15-61,Grit Sobottka,,,,http://rebbz-winterhude.hamburg.de/,staatlich,2024.0,,stadtteilschule-helmuth-huebener@bsfb.hamburg.de,https://helmuthhuebener.de,,5043-1,+49 40 428 88 15 0,Christine Zopff,Stadtteilschule,https://www.hamburg.de/politik-und-verwaltung/behoerden/schulbehoerde/themen/schulaufsicht/inspektionsberichte/weiterfuehrende-schulen-hamburg-nord,,Stadtteilschule Helmuth Hübener,,,Zweigstelle,,,Stufe 2,,Barmbek-Nord,665,,,,,,,,ReBBZ Winterhude,POINT (10.048414 53.599417),EPSG:4326,Staatlich,53.60152250365794,10.047106063057651,Stadtteilschule,Sonstige,Transparenzportal Hamburg,2026-02-04
DE.HH.UP_STAATLICHE_SCHULEN_954892,Allgemeine Hochschulreife|erster allgemeinbildender Schulabschluss|Erweiterter erster allgemeinbildender Schulabschluss|mittlerer Schulabschluss|schulischer Teil der Fachhochschulreife,22307 Hamburg,Langenfort 68,,Nadine Kalsow,Janka Gierck,265.0,1261 an 2 Standorten,,Hamburg-Nord,,,+49 40 428 88 15 22,,,Englisch|Französisch|Latein|Spanisch|Spanisch,Englisch ab Klasse  5|Französisch ab Klasse  7|Latein ab Klasse  7|Spanisch ab Klasse  11|Spanisch ab Klasse  7,GTS teilweise gebunden,True,,Stadtteilschulen,,,,No,,Bianca Thies,Christian Pape,Frau Scheuermann-Andersen *49 40 428 88 15-61,Grit Sobottka,,,,http://rebbz-winterhude.hamburg.de/,staatlich,2024.0,,stadtteilschule-helmuth-huebener@bsfb.hamburg.de,https://helmuthhuebener.de,,5043-1,+49 40 428 88 15 0,Christine Zopff,Stadtteilschule,https://www.hamburg.de/politik-und-verwaltung/behoerden/schulbehoerde/themen/schulaufsicht/inspektionsberichte/weiterfuehrende-schulen-hamburg-nord,,Stadtteilschule Helmuth Hübener,,,Zweigstelle,,,Stufe 2,,Barmbek-Nord,665,,,,,,,,ReBBZ Winterhude,POINT (10.048414 53.599417),EPSG:4326,Staatlich,53.599416622429125,10.048414031558599,Stadtteilschule,Sonstige,Transparenzportal Hamburg,2026-02-04
DE.HH.UP_STAATLICHE_SCHULEN_954893,Allgemeine Hochschulreife|erster allgemeinbildender Schulabschluss|Erweiterter erster allgemeinbildender Schulabschluss|mittlerer Schulabschluss|schulischer Teil der Fachhochschulreife,22159 Hamburg,Barenkrug 16,,Axel Pörschke-Küsel,,1597.0,1597 an 1 Standort,,Wandsbek,,,+49 40 428 93 25-22,,,Arabisch|Englisch|Farsi|Französisch|Französisch|Französisch|Latein|Latein|Polnisch|Russisch|Russisch|Russisch|Spanisch|Spanisch|Spanisch|Türkisch,Arabisch ab Klasse  11|Englisch ab Klasse  5|Farsi ab Klasse  11|Französisch ab Klasse  10|Französisch ab Klasse  11|Französisch ab Klasse  7|Latein ab Klasse  11|Latein ab Klasse  7|Polnisch ab Klasse  11|Russisch ab Klasse  10|Russisch ab Klasse  11|Russisch ab Klasse  7|Spanisch ab Klasse  10|Spanisch ab Klasse  11|Spanisch ab Klasse  7|Türkisch ab Klasse  11,GTS teilweise gebunden,True,,Stadtteilschulen,,,,No,,Oliver Lerch,Malte Sinhuber,Axel Janell,,,,,http://rebbz-wandsbek-sued.hamburg.de/,staatlich,2024.0,,gyula-trebitsch-schule-tonndorf@bsfb.hamburg.de,https://gtst.hamburg.de,,5046-0,+49 40 428 93 25-0,Stephan Krösser,Gymnasium|Stadtteilschule,https://www.hamburg.de/politik-und-verwaltung/behoerden/schulbehoerde/themen/schulaufsicht/inspektionsberichte/weiterfuehrende-schulen-wandsbek,,Gyula Trebitsch Schule Tonndorf,,,Hauptstandort,,,Stufe 3,,Tonndorf,432,,,,,,,8,ReBBZ Wandsbek-Süd,POINT (10.124482 53.594699),EPSG:4326,Staatlich,53.59469885745732,10.124482117064822,Stadtteilschule_Gymnasium,Sonstige,Transparenzportal Hamburg,2026-02-04
DE.HH.UP_STAATLICHE_SCHULEN_954894,Allgemeine Hochschulreife|erster allgemeinbildender Schulabschluss|Erweiterter erster allgemeinbildender Schulabschluss|mittlerer Schulabschluss|schulischer Teil der Fachhochschulreife,22395 Hamburg,Volksdorfer Damm 218,,Andrea Meier,,1221.0,1221 an 1 Standort,,Wandsbek,,,+49 40 428 93 82-40,,,Englisch|Französisch|Französisch|Spanisch|Spanisch,Englisch ab Klasse  5|Französisch ab Klasse  11|Französisch ab Klasse  7|Spanisch ab Klasse  11|Spanisch ab Klasse  7,offen,True,,Stadtteilschulen,,,,No,,Alexander Rebers,Holger Huwe,Carolin Sinhuber,Heidi Diezmann,,,,http://rebbz-wandsbek-nord.hamburg.de/,staatlich,2024.0,,Stadtteilschule-Bergstedt@bsfb.hamburg.de,https://bergstedt.hamburg.de/,,5048-0,+49 40 428 93 82-0,Kirsten Fuhrmann,Stadtteilschule,https://www.hamburg.de/politik-und-verwaltung/behoerden/schulbehoerde/themen/schulaufsicht/inspektionsberichte/weiterfuehrende-schulen-wandsbek,,Stadtteilschule Bergstedt,,,Hauptstandort,,True,Stufe 5,,Bergstedt,433,,,,,,,5,ReBBZ Wandsbek-Nord,POINT (10.137204 53.671704),EPSG:4326,Staatlich,53.6717041952458,10.137203818855994,Stadtteilschule,Sonstige,Transparenzportal Hamburg,2026-02-04
DE.HH.UP_STAATLICHE_SCHULEN_954895,Allgemeine Hochschulreife|erster allgemeinbildender Schulabschluss|Erweiterter erster allgemeinbildender Schulabschluss|mittlerer Schulabschluss|schulischer Teil der Fachhochschulreife,22417 Hamburg,Tangstedter Landstraße 300,,Andreas Binkert,Susanne Scharbert,964.0,1142 an 2 Standorten,,Hamburg-Nord,,,+49 40 428 89 21 20,,,Englisch|Französisch|Spanisch|Spanisch,Englisch ab Klasse  5|Französisch ab Klasse  7|Spanisch ab Klasse  11|Spanisch ab Klasse  7,GTS teilweise gebunden,True,,Stadtteilschulen,,,,No,,Philipp Semerak,Carsten Heinrich,Nicole Ruch,Claudia Ehlers-Zander,,,,http://rebbz-nord.hamburg.de/,staatlich,2024.0,,stadtteilschule-am-heidberg@bsfb.hamburg.de,https://amheidberg.de,,5049-0,+49 40 428 89 21 01,Katrin Pinnau,Stadtteilschule,https://www.hamburg.de/politik-und-verwaltung/behoerden/schulbehoerde/themen/schulaufsicht/inspektionsberichte/weiterfuehrende-schulen-hamburg-nord,,Stadtteilschule Am Heidberg,,,Hauptstandort,,True,Stufe 4,,Langenhorn,434,,,,,,7,7,ReBBZ Nord,POINT (10.028199 53.670684),EPSG:4326,Staatlich,53.67068367456597,10.028199135961657,Stadtteilschule,Sonstige,Transparenzportal Hamburg,2026-02-04
DE.HH.UP_STAATLICHE_SCHULEN_954895,Allgemeine Hochschulreife|erster allgemeinbildender Schulabschluss|Erweiterter erster allgemeinbildender Schulabschluss|mittlerer Schulabschluss|schulischer Teil der Fachhochschulreife,22417 Hamburg,Tangstedter Landstraße 300,,Andreas Binkert,Susanne Scharbert,964.0,1142 an 2 Standorten,,Hamburg-Nord,,,+49 40 428 89 21 20,,,Englisch|Französisch|Spanisch|Spanisch,Englisch ab Klasse  5|Französisch ab Klasse  7|Spanisch ab Klasse  11|Spanisch ab Klasse  7,GTS teilweise gebunden,True,,Stadtteilschulen,,,,No,,Philipp Semerak,Carsten Heinrich,Nicole Ruch,Claudia Ehlers-Zander,,,,http://rebbz-nord.hamburg.de/,staatlich,2024.0,,stadtteilschule-am-heidberg@bsfb.hamburg.de,https://amheidberg.de,,5049-0,+49 40 428 89 21 01,Katrin Pinnau,Stadtteilschule,https://www.hamburg.de/politik-und-verwaltung/behoerden/schulbehoerde/themen/schulaufsicht/inspektionsberichte/weiterfuehrende-schulen-hamburg-nord,,Stadtteilschule Am Heidberg,,,Hauptstandort,,True,Stufe 4,,Langenhorn,434,,,,,,7,7,ReBBZ Nord,POINT (10.028199 53.670684),EPSG:4326,Staatlich,53.66002344075469,10.012492831527478,Stadtteilschule,Sonstige,Transparenzportal Hamburg,2026-02-04
DE.HH.UP_STAATLICHE_SCHULEN_954896,Allgemeine Hochschulreife|erster allgemeinbildender Schulabschluss|Erweiterter erster allgemeinbildender Schulabschluss|mittlerer Schulabschluss|schulischer Teil der Fachhochschulreife,22419 Hamburg,Foorthkamp 42,,Andreas Binkert,Susanne Scharbert,178.0,1142 an 2 Standorten,,Hamburg-Nord,,,+49 40 428 89 21 20,,,Englisch|Französisch|Spanisch|Spanisch,Englisch ab Klasse  5|Französisch ab Klasse  7|Spanisch ab Klasse  11|Spanisch ab Klasse  7,GTS teilweise gebunden,True,,Stadtteilschulen,,,,No,,Philipp Semerak,Carsten Heinrich,Nicole Ruch,Claudia Ehlers-Zander,,,,http://rebbz-nord.hamburg.de/,staatlich,2024.0,,stadtteilschule-am-heidberg@bsfb.hamburg.de,https://amheidberg.de,,5049-1,+49 40 428 89 21 01,Katrin Pinnau,Stadtteilschule,https://www.hamburg.de/politik-und-verwaltung/behoerden/schulbehoerde/themen/schulaufsicht/inspektionsberichte/weiterfuehrende-schulen-hamburg-nord,,Stadtteilschule Am Heidberg,,,Zweigstelle,,,Stufe 4,,Langenhorn,1116,,,,,,,,ReBBZ Nord,POINT (10.012493 53.660023),EPSG:4326,Staatlich,53.67068367456597,10.028199135961657,Stadtteilschule,Sonstige,Transparenzportal Hamburg,2026-02-04
DE.HH.UP_STAATLICHE_SCHULEN_954896,Allgemeine Hochschulreife|erster allgemeinbildender Schulabschluss|Erweiterter erster allgemeinbildender Schulabschluss|mittlerer Schulabschluss|schulischer Teil der Fachhochschulreife,22419 Hamburg,Foorthkamp 42,,Andreas Binkert,Susanne Scharbert,178.0,1142 an 2 Standorten,,Hamburg-Nord,,,+49 40 428 89 21 20,,,Englisch|Französisch|Spanisch|Spanisch,Englisch ab Klasse  5|Französisch ab Klasse  7|Spanisch ab Klasse  11|Spanisch ab Klasse  7,GTS teilweise gebunden,True,,Stadtteilschulen,,,,No,,Philipp Semerak,Carsten Heinrich,Nicole Ruch,Claudia Ehlers-Zander,,,,http://rebbz-nord.hamburg.de/,staatlich,2024.0,,stadtteilschule-am-heidberg@bsfb.hamburg.de,https://amheidberg.de,,5049-1,+49 40 428 89 21 01,Katrin Pinnau,Stadtteilschule,https://www.hamburg.de/politik-und-verwaltung/behoerden/schulbehoerde/themen/schulaufsicht/inspektionsberichte/weiterfuehrende-schulen-hamburg-nord,,Stadtteilschule Am Heidberg,,,Zweigstelle,,,Stufe 4,,Langenhorn,1116,,,,,,,,ReBBZ Nord,POINT (10.012493 53.660023),EPSG:4326,Staatlich,53.66002344075469,10.012492831527478,Stadtteilschule,Sonstige,Transparenzportal Hamburg,2026-02-04
