_fid,abschluss,adresse_ort,adresse_strasse_hausnr,ansprechp_klasse_1,ansprechp_klasse_5,ansprechp_buero,schueler_gesamt,anzahl_schueler_gesamt,auszeichnung,bezirk,bilingual,einzugsgebiet,fax,ferienbetreuung_anteil,foerderart,fremdsprache,fremdsprache_mit_klasse,ganztagsform,is_rebbz,kantine_vorh,kapitelbezeichnung,kernunterricht,kernzeitbetreuung,kiosk_vorh,lgv_standortk_erwachsenenbildung,mittagspause,name_schulleiter,name_stellv_schulleiter,name_oberstufenkoordinator,name_verwaltungsleitung,nutzung_kantine_anteil,oberstufenprofil,offenetuer,rebbz_homepage,rechtsform,schueleranzahl_schuljahr,schuelerzeitung,schul_email,schul_homepage,schul_icon,schulnummer,schul_telefonnr,schulaufsicht,schulart,schulinspektion_link,schulische_ausrichtung,schulname,schulpartnerschaft,schulportrait,schultyp,schulwahl_wohnort,schwerpunktschule,sozialindex,sprachzertifikat,stadtteil,standort_id,standortkl1,standortkl5,standortoberstufe,vegetarisch,wahlmoeglichkeit_essen,zuegigkeit_kl_1,zuegigkeit_kl_5,zustaendiges_rebbz,the_geom,coordinate_reference_system,traegerschaft,latitude,longitude,school_type,traeger_typ,data_source,data_retrieved
DE.HH.UP_STAATLICHE_SCHULEN_979262,Allgemeine Hochschulreife|erster allgemeinbildender Schulabschluss|Erweiterter erster allgemeinbildender Schulabschluss|mittlerer Schulabschluss|schulischer Teil der Fachhochschulreife,22337 Hamburg,Schluchtweg 1,Martina Berndt und Susanne Muntendorf-Warnke,Martina Berndt,,771.0,771 an 1 Standort,,Hamburg-Nord,,,+49 40 428 93 05-14,45.60 %,,Englisch|Französisch|Französisch,Englisch ab Klasse  1|Französisch ab Klasse  5|Französisch ab Klasse  7,offen,True,,Langformschulen,,Klassenstufe 1  85%|Klassenstufe 2  80%|Klassenstufe 3  86%|Klassenstufe 4  77%,,No,,Marcel Fell,Till König,,,,,,http://rebbz-nord.hamburg.de/,staatlich,2024.0,,Albert-Schweitzer-Schule@bsfb.hamburg.de,https://albert-schweitzer-schule.hamburg.de,,5053-0,+49 40 428 93 05-0,Katrin Pinnau,Grundschule|Stadtteilschule|vorschulische Sprachförderung|Vorschulklasse,https://www.hamburg.de/politik-und-verwaltung/behoerden/schulbehoerde/themen/schulaufsicht/inspektionsberichte/weiterfuehrende-schulen-hamburg-nord,,Albert-Schweitzer-Schule,,,Hauptstandort,,,Stufe 5,,Ohlsdorf,436,,,,,,4,2,ReBBZ Nord,POINT (10.047346 53.632577),EPSG:4326,Staatlich,53.63257719049515,10.04734555525197,Grundschule,Sonstige,Transparenzportal Hamburg,2026-04-08
DE.HH.UP_STAATLICHE_SCHULEN_979265,Allgemeine Hochschulreife|erster allgemeinbildender Schulabschluss|Erweiterter erster allgemeinbildender Schulabschluss|mittlerer Schulabschluss|schulischer Teil der Fachhochschulreife,22049 Hamburg,Alter Teichweg 200,Sabine Wesemüller,Silke Aschermann,Claudia Lietz,1738.0,1738 an 1 Standort,,Hamburg-Nord,,,+49 40 428 97 72 11,41.42 %,,Englisch|Farsi|Französisch|Französisch|Spanisch|Spanisch,Englisch ab Klasse  1|Farsi ab Klasse  7|Französisch ab Klasse  11|Französisch ab Klasse  7|Spanisch ab Klasse  11|Spanisch ab Klasse  7,GTS teilweise gebunden,True,,Langformschulen,,Klassenstufe 1  100%|Klassenstufe 2  97%|Klassenstufe 3  100%|Klassenstufe 4  98%,,No,,Björn Lengwenus,Jan Pohl,Hanno Frey,,,,,http://rebbz-winterhude.hamburg.de/,staatlich,2024.0,,stadtteilschule-alter-teichweg@bsfb.hamburg.de,https://atw-hamburg.de,,5056-0,+49 40 428 97 70,Christine Zopff,Grundschule|Stadtteilschule|vorschulische Sprachförderung|Vorschulklasse,https://www.hamburg.de/politik-und-verwaltung/behoerden/schulbehoerde/themen/schulaufsicht/inspektionsberichte/weiterfuehrende-schulen-hamburg-nord,,Grund- und Stadtteilschule Alter Teichweg,,,Hauptstandort,,True,Stufe 2,,Dulsberg,458,,,,,,4,7,ReBBZ Winterhude,POINT (10.069980 53.587513),EPSG:4326,Staatlich,53.58751306673781,10.069979854125833,Grundschule,Sonstige,Transparenzportal Hamburg,2026-04-08
DE.HH.UP_STAATLICHE_SCHULEN_979267,,22115 Hamburg,Mümmelmannsberg 54,Thilo Möser und Maike Schemel,,,465.0,465 an 1 Standort,,Hamburg-Mitte,,,+49 40 428 93 62-22,17.56 %,,Englisch,Englisch ab Klasse  1,GTS teilweise gebunden,True,,Grundschulen,,Klassenstufe 1  69%|Klassenstufe 2  80%|Klassenstufe 3  96%|Klassenstufe 4  97%,,No,,Thilo Möser,Maike Schemel,,Cornelia Schwarz,,,,http://rebbz-billstedt.hamburg.de/,staatlich,2024.0,,grundschule-muemmelmannsberg@bsfb.hamburg.de,https://www.grundschule-muemmelmannsberg.de/,,5058-0,+49 40 428 93 62-0,Wolfgang Fien,Grundschule|vorschulische Sprachförderung|Vorschulklasse,https://www.hamburg.de/politik-und-verwaltung/behoerden/schulbehoerde/themen/schulaufsicht/inspektionsberichte/grundschulen-hamburg-mitte,,Grundschule Mümmelmannsberg,,,Hauptstandort,,True,Stufe 1,,Billstedt,480,,,,,,6,,ReBBZ Billstedt,POINT (10.140074 53.529506),EPSG:4326,Staatlich,53.52950617450304,10.140074071478677,Grundschule,Sonstige,Transparenzportal Hamburg,2026-04-08
DE.HH.UP_STAATLICHE_SCHULEN_979268,,22115 Hamburg,Rahewinkel 9,Diana Thamm,,Anna-Katharina Göc,394.0,394 an 1 Standort,,Hamburg-Mitte,,,+49 40 428 93 06-22,37.35 %,,Englisch,Englisch ab Klasse  1,GTS teilweise gebunden,True,,Grundschulen,,Klassenstufe 1  100%|Klassenstufe 2  100%|Klassenstufe 3  100%|Klassenstufe 4  99%,,No,,Bodo Delfs,Diana Thamm,,Jacqueline Gerdes,,,,http://rebbz-billstedt.hamburg.de/,staatlich,2024.0,,grundschule-rahewinkel@bsfb.hamburg.de,https://grundschule-rahewinkel.hamburg.de,,5059-0,+49 40 428 93 06-0,Wolfgang Fien,Grundschule|vorschulische Sprachförderung|Vorschulklasse,https://www.hamburg.de/politik-und-verwaltung/behoerden/schulbehoerde/themen/schulaufsicht/inspektionsberichte/grundschulen-hamburg-mitte,,Grundschule Rahewinkel,,,Hauptstandort,,,Stufe 1,,Billstedt,481,,,,,,5,,ReBBZ Billstedt,POINT (10.154796 53.526623),EPSG:4326,Staatlich,53.5266231971236,10.154795912154464,Grundschule,Sonstige,Transparenzportal Hamburg,2026-04-08
DE.HH.UP_STAATLICHE_SCHULEN_979273,Allgemeine Hochschulreife|erster allgemeinbildender Schulabschluss|Erweiterter erster allgemeinbildender Schulabschluss|mittlerer Schulabschluss|schulischer Teil der Fachhochschulreife,22159 Hamburg,Hermelinweg 10,Robert Käckenhoff,Melanie Bischoff-Wichmann,Christa Rothfuß,525.0,1482 an 2 Standorten,,Wandsbek,,,+49 40 428 928-305,30.20 %,,Englisch|Englisch|Französisch|Spanisch|Spanisch,Englisch ab Klasse  1|Englisch ab Klasse  5|Französisch ab Klasse  7|Spanisch ab Klasse  11|Spanisch ab Klasse  7,GTS teilweise gebunden,True,,Langformschulen,,,,No,,Maike Drewes,Swetlana Zittel,Frau Dr. Tina Wieczorek,,,,,http://rebbz-wandsbek-sued.hamburg.de/,staatlich,2024.0,,erich-kaestner-schule@bsfb.hamburg.de,https://erich-kaestner-schule-hamburg.de/,,5064-0,+49 40 428 928-0,Paul Richter,Grundschule|Stadtteilschule|vorschulische Sprachförderung|Vorschulklasse,https://www.hamburg.de/politik-und-verwaltung/behoerden/schulbehoerde/themen/schulaufsicht/inspektionsberichte/weiterfuehrende-schulen-wandsbek,,Erich Kästner Schule,,,Hauptstandort,,True,Stufe 3,,Farmsen-Berne,487,,,,,,3,6,ReBBZ Wandsbek-Süd,POINT (10.119796 53.614033),EPSG:4326,Staatlich,53.61403324817088,10.119795592390094,Grundschule,Sonstige,Transparenzportal Hamburg,2026-04-08
DE.HH.UP_STAATLICHE_SCHULEN_979273,Allgemeine Hochschulreife|erster allgemeinbildender Schulabschluss|Erweiterter erster allgemeinbildender Schulabschluss|mittlerer Schulabschluss|schulischer Teil der Fachhochschulreife,22159 Hamburg,Hermelinweg 10,Robert Käckenhoff,Melanie Bischoff-Wichmann,Christa Rothfuß,525.0,1482 an 2 Standorten,,Wandsbek,,,+49 40 428 928-305,30.20 %,,Englisch|Englisch|Französisch|Spanisch|Spanisch,Englisch ab Klasse  1|Englisch ab Klasse  5|Französisch ab Klasse  7|Spanisch ab Klasse  11|Spanisch ab Klasse  7,GTS teilweise gebunden,True,,Langformschulen,,,,No,,Maike Drewes,Swetlana Zittel,Frau Dr. Tina Wieczorek,,,,,http://rebbz-wandsbek-sued.hamburg.de/,staatlich,2024.0,,erich-kaestner-schule@bsfb.hamburg.de,https://erich-kaestner-schule-hamburg.de/,,5064-0,+49 40 428 928-0,Paul Richter,Grundschule|Stadtteilschule|vorschulische Sprachförderung|Vorschulklasse,https://www.hamburg.de/politik-und-verwaltung/behoerden/schulbehoerde/themen/schulaufsicht/inspektionsberichte/weiterfuehrende-schulen-wandsbek,,Erich Kästner Schule,,,Hauptstandort,,True,Stufe 3,,Farmsen-Berne,487,,,,,,3,6,ReBBZ Wandsbek-Süd,POINT (10.119796 53.614033),EPSG:4326,Staatlich,53.619603352345585,10.12012444802823,Grundschule,Sonstige,Transparenzportal Hamburg,2026-04-08
DE.HH.UP_STAATLICHE_SCHULEN_979274,Allgemeine Hochschulreife|erster allgemeinbildender Schulabschluss|Erweiterter erster allgemeinbildender Schulabschluss|mittlerer Schulabschluss|schulischer Teil der Fachhochschulreife,22159 Hamburg,An der Berner Au 12,Robert Käckenhoff,Melanie Bischoff-Wichmann,Christa Rothfuß,957.0,1482 an 2 Standorten,,Wandsbek,,,+49 40 428 928-305,30.20 %,,Englisch|Englisch|Französisch|Spanisch|Spanisch,Englisch ab Klasse  1|Englisch ab Klasse  5|Französisch ab Klasse  7|Spanisch ab Klasse  11|Spanisch ab Klasse  7,GTS teilweise gebunden,True,,Langformschulen,,,,No,,Maike Drewes,Swetlana Zittel,Frau Dr. Tina Wieczorek,,,,,http://rebbz-wandsbek-sued.hamburg.de/,staatlich,2024.0,,erich-kaestner-schule@bsfb.hamburg.de,https://erich-kaestner-schule-hamburg.de/,,5064-1,+49 40 428 928-0,Paul Richter,Grundschule|Stadtteilschule|vorschulische Sprachförderung|Vorschulklasse,https://www.hamburg.de/politik-und-verwaltung/behoerden/schulbehoerde/themen/schulaufsicht/inspektionsberichte/weiterfuehrende-schulen-wandsbek,,Erich Kästner Schule,,,Zweigstelle,,,Stufe 3,,Farmsen-Berne,678,,,,,,,,ReBBZ Wandsbek-Süd,POINT (10.120124 53.619603),EPSG:4326,Staatlich,53.61403324817088,10.119795592390094,Grundschule,Sonstige,Transparenzportal Hamburg,2026-04-08
DE.HH.UP_STAATLICHE_SCHULEN_979274,Allgemeine Hochschulreife|erster allgemeinbildender Schulabschluss|Erweiterter erster allgemeinbildender Schulabschluss|mittlerer Schulabschluss|schulischer Teil der Fachhochschulreife,22159 Hamburg,An der Berner Au 12,Robert Käckenhoff,Melanie Bischoff-Wichmann,Christa Rothfuß,957.0,1482 an 2 Standorten,,Wandsbek,,,+49 40 428 928-305,30.20 %,,Englisch|Englisch|Französisch|Spanisch|Spanisch,Englisch ab Klasse  1|Englisch ab Klasse  5|Französisch ab Klasse  7|Spanisch ab Klasse  11|Spanisch ab Klasse  7,GTS teilweise gebunden,True,,Langformschulen,,,,No,,Maike Drewes,Swetlana Zittel,Frau Dr. Tina Wieczorek,,,,,http://rebbz-wandsbek-sued.hamburg.de/,staatlich,2024.0,,erich-kaestner-schule@bsfb.hamburg.de,https://erich-kaestner-schule-hamburg.de/,,5064-1,+49 40 428 928-0,Paul Richter,Grundschule|Stadtteilschule|vorschulische Sprachförderung|Vorschulklasse,https://www.hamburg.de/politik-und-verwaltung/behoerden/schulbehoerde/themen/schulaufsicht/inspektionsberichte/weiterfuehrende-schulen-wandsbek,,Erich Kästner Schule,,,Zweigstelle,,,Stufe 3,,Farmsen-Berne,678,,,,,,,,ReBBZ Wandsbek-Süd,POINT (10.120124 53.619603),EPSG:4326,Staatlich,53.619603352345585,10.12012444802823,Grundschule,Sonstige,Transparenzportal Hamburg,2026-04-08
DE.HH.UP_STAATLICHE_SCHULEN_979285,,22309 Hamburg,Edwin-Scharff-Ring 56,"Severin, Florian",,Gabriele Pfeil,292.0,292 an 1 Standort,,Wandsbek,,,+49 40 42896 3822,20.76 %,,Englisch,Englisch ab Klasse  1,offen,True,,Grundschulen,,Klassenstufe 1  89%|Klassenstufe 2  80%|Klassenstufe 3  76%|Klassenstufe 4  78%,,No,,Florian Severin,Myriam Bouvain,,,,,,http://rebbz-wandsbek-sued.hamburg.de/,staatlich,2024.0,,grundschule-edwin-scharff-ring@bsfb.hamburg.de,https://grundschule-edwin-scharff-ring.hamburg.de,,5074-0,+49 40 42896 380,Paul Richter,Grundschule|vorschulische Sprachförderung|Vorschulklasse,https://www.hamburg.de/politik-und-verwaltung/behoerden/schulbehoerde/themen/schulaufsicht/inspektionsberichte/grundschulen-wandsbek,,Grundschule Edwin-Scharff-Ring,,,Hauptstandort,,,Stufe 1,,Steilshoop,486,,,,,,4,,ReBBZ Wandsbek-Süd,POINT (10.047783 53.615422),EPSG:4326,Staatlich,53.615422489679446,10.047782587504672,Grundschule,Sonstige,Transparenzportal Hamburg,2026-04-08
DE.HH.UP_STAATLICHE_SCHULEN_979286,Allgemeine Hochschulreife|erster allgemeinbildender Schulabschluss|Erweiterter erster allgemeinbildender Schulabschluss|mittlerer Schulabschluss|schulischer Teil der Fachhochschulreife,22309 Hamburg,Gropiusring 43,Milena Janssen,Stephanie Wendt,Peggy Henning,902.0,902 an 1 Standort,,Wandsbek,,,+49 40 428 96 39-62,13.71 %,,Englisch|Farsi|Farsi|Spanisch|Spanisch|Türkisch,Englisch ab Klasse  1|Farsi ab Klasse  3|Farsi ab Klasse  5|Spanisch ab Klasse  6|Spanisch ab Klasse  7|Türkisch ab Klasse  6,offen,True,,Langformschulen,,Klassenstufe 1  90%|Klassenstufe 2  70%|Klassenstufe 3  84%|Klassenstufe 4  79%,,No,,Britta Schmoecker,Susanne Mühlenmeier,Barbara Jaecks,Bianca Laski,,,,http://rebbz-wandsbek-sued.hamburg.de/,staatlich,2024.0,,schule-am-see@bsfb.hamburg.de,https://amsee.hamburg.de,,5075-0,+49 40 428 96 39-50,Stephan Krösser,Grundschule|Stadtteilschule|vorschulische Sprachförderung|Vorschulklasse,https://www.hamburg.de/politik-und-verwaltung/behoerden/schulbehoerde/themen/schulaufsicht/inspektionsberichte/weiterfuehrende-schulen-wandsbek,,Schule am See,,,Hauptstandort,,,Stufe 1,,Steilshoop,477,,,,,,4,4,ReBBZ Wandsbek-Süd,POINT (10.056709 53.614499),EPSG:4326,Staatlich,53.61449904491476,10.056709029721873,Grundschule,Sonstige,Transparenzportal Hamburg,2026-04-08
