schulnummer,schulname,strasse,plz,ort,website,email,school_type,traegerschaft,traeger,fax,phone,director,latitude,longitude,adresse,data_source,data_retrieved,bundesland,stadt,traffic_accidents_total,traffic_accidents_fatal,traffic_accidents_serious_injury,traffic_accidents_minor_injury,traffic_accidents_bicycle,traffic_accidents_pedestrian,traffic_safety_score,transit_rail_01_name,transit_rail_01_distance_m,transit_rail_01_latitude,transit_rail_01_longitude,transit_rail_01_lines,transit_rail_02_name,transit_rail_02_distance_m,transit_rail_02_latitude,transit_rail_02_longitude,transit_rail_02_lines,transit_rail_03_name,transit_rail_03_distance_m,transit_rail_03_latitude,transit_rail_03_longitude,transit_rail_03_lines,transit_tram_01_name,transit_tram_01_distance_m,transit_tram_01_latitude,transit_tram_01_longitude,transit_tram_01_lines,transit_tram_02_name,transit_tram_02_distance_m,transit_tram_02_latitude,transit_tram_02_longitude,transit_tram_02_lines,transit_tram_03_name,transit_tram_03_distance_m,transit_tram_03_latitude,transit_tram_03_longitude,transit_tram_03_lines,transit_bus_01_name,transit_bus_01_distance_m,transit_bus_01_latitude,transit_bus_01_longitude,transit_bus_01_lines,transit_bus_02_name,transit_bus_02_distance_m,transit_bus_02_latitude,transit_bus_02_longitude,transit_bus_02_lines,transit_bus_03_name,transit_bus_03_distance_m,transit_bus_03_latitude,transit_bus_03_longitude,transit_bus_03_lines,transit_stop_count_1000m,transit_all_lines_1000m,transit_accessibility_score,crime_stadt,crime_bezirk,crime_bezirk_population,crime_bezirk_index,crime_haeufigkeitszahl_2023,crime_aufklaerungsquote_2023,crime_straftaten_2023,crime_strassenraub_2023,crime_koerperverletzung_2023,crime_diebstahl_fahrrad_2023,crime_wohnungseinbruch_2023,crime_straftaten_2023_rate_per_100k,crime_strassenraub_2023_rate_per_100k,crime_koerperverletzung_2023_rate_per_100k,crime_diebstahl_fahrrad_2023_rate_per_100k,crime_wohnungseinbruch_2023_rate_per_100k,crime_safety_category,crime_data_source,crime_data_note
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_d58494a1-efd6-419c-87f9-58c9f84976e0,"Mittelschule München, Schrobenhausener Straße 15",Schrobenhausener Str. 15,80686,München,,,Mittelschulen,,,,,,48.137036,11.512497,"Schrobenhausener Str. 15, 80686 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München,53,0,1,52,28,8,0,Unknown,199.0,48.135251,11.512405,A,Unknown,240.0,48.134877,11.512436,B,Unknown,243.0,48.134866,11.512135,,Agnes-Bernauer-Straße,260.0,48.13929,11.51156,,Siglstraße,264.0,48.134938,11.514168,,Agnes-Bernauer-Straße,294.0,48.13939,11.510702,,Siglstraße,208.0,48.135348,11.513692,,Agnes-Bernauer-Straße,243.0,48.139173,11.511793,,Siglstraße,262.0,48.134996,11.514267,,71,A; B,100,München,,1512491,1.0,7684,62.9,116195,574,10127,7456,952,7682.4,38.0,669.6,493.0,62.9,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_3721b800-751d-49a1-a6d2-19d237e7bcc8,"Bayerische Landesschule f.Körperbehinderte München Förderzentr., Förderschwerp.körperl.u.mot.Entw.",Kurzstr. 2,81547,München,,,Förderzentren,,,,,,48.104791,11.568608,"Kurzstr. 2, 81547 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München,19,0,1,18,8,4,62,Unknown,634.0,48.108531,11.575053,,Unknown,642.0,48.109106,11.574362,A,Wettersteinplatz,652.0,48.108206,11.57574,U1,Kurzstraße,95.0,48.104623,11.569862,,Südtiroler Straße,475.0,48.100725,11.566624,,Wettersteinplatz,680.0,48.10929,11.574805,,Kurzstraße,100.0,48.104983,11.56993,,Kurzstraße,106.0,48.104297,11.569835,,Lebschéestraße,429.0,48.107868,11.565124,,42,A; U1,100,München,,1512491,1.0,7684,62.9,116195,574,10127,7456,952,7682.4,38.0,669.6,493.0,62.9,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_502932a2-2f0f-47e9-84cf-1e82554133be,"Mittelschule München, Albert-Schweitzer-Straße 59",Albert-Schweitzer-Str. 59,81735,München,,,Mittelschulen,,,,,,48.107996,11.64772,"Albert-Schweitzer-Str. 59, 81735 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München,67,0,8,59,22,5,0,Unknown,71.0,48.107392,11.647418,C,Quiddestraße,79.0,48.108112,11.646674,,Unknown,89.0,48.107505,11.646779,B,,,,,,,,,,,,,,,,Quiddestraße,110.0,48.108558,11.6465,,Quiddestraße,127.0,48.108799,11.646509,,Quiddestraße,127.0,48.108661,11.646323,,59,B; C,100,München,,1512491,1.0,7684,62.9,116195,574,10127,7456,952,7682.4,38.0,669.6,493.0,62.9,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_9db2dcea-a68b-427f-98eb-50efaaa8c642,"Mittelschule München, Fromundstraße 5",Fromundstr. 5,81547,München,,,Mittelschulen,,,,,,48.108216,11.576543,"Fromundstr. 5, 81547 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München,94,0,5,89,37,20,0,Wettersteinplatz,60.0,48.108206,11.57574,U1,Unknown,60.0,48.107755,11.576968,C,Unknown,69.0,48.107622,11.576829,D,Wettersteinplatz,176.0,48.10929,11.574805,,Tegernseer Landstraße,445.0,48.112219,11.576345,,Kurzstraße,637.0,48.104623,11.569862,,Wettersteinplatz,160.0,48.109184,11.574943,,Tegernseer Landstraße,338.0,48.111256,11.576587,X204,Spixstraße,349.0,48.110794,11.579216,,74,C; D; U1; X204,100,München,,1512491,1.0,7684,62.9,116195,574,10127,7456,952,7682.4,38.0,669.6,493.0,62.9,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_87018f9c-ec98-440b-b2eb-55c042ee1ce4,"Mittelschule München, Ridlerstraße 26",Ridlerstr. 26,80339,München,,,Mittelschulen,,,,,,48.132017,11.536947,"Ridlerstr. 26, 80339 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München,84,0,12,72,29,14,0,Unknown,260.0,48.133598,11.539523,F,Unknown,267.0,48.133556,11.534188,A,Unknown,280.0,48.133563,11.539925,E,Trappentreustraße,891.0,48.139958,11.535307,,Trappentreustraße,897.0,48.139991,11.535161,,Schrenkstraße,902.0,48.139598,11.541276,,Ridlerstraße,202.0,48.131119,11.539315,,Ridlerstraße,240.0,48.130454,11.539167,,Schwanthalerhöhe,257.0,48.133381,11.539736,,73,A; E; F,100,München,,1512491,1.0,7684,62.9,116195,574,10127,7456,952,7682.4,38.0,669.6,493.0,62.9,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_3bb535a1-5887-480f-93db-8a8646287969,"Carl-August-Heckscher-Schule, Förderschule und Schule für Kranke in München",Deisenhofener Str. 28,81539,München,,,Förderzentren,,,,,,48.114077,11.583044,"Deisenhofener Str. 28, 81539 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München,119,0,13,106,66,17,0,Unknown,61.0,48.114281,11.58228,F,Unknown,65.0,48.114478,11.582399,E,Silberhornstraße,215.0,48.114904,11.580433,,Silberhornstraße,285.0,48.115579,11.579931,3.0,Silberhornstraße,290.0,48.115472,11.579742,4.0,Sankt-Martins-Platz,528.0,48.117219,11.58837,,Silberhornstraße/Ichostraße,294.0,48.116238,11.580765,2,Silberhornstraße/Ichostraße,299.0,48.116272,11.580707,2,Silberhornstraße/Ichostraße,322.0,48.115901,11.579676,1,98,1; 2; 3; 4; E; F,100,München,,1512491,1.0,7684,62.9,116195,574,10127,7456,952,7682.4,38.0,669.6,493.0,62.9,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_9e890a21-ef6a-4b3a-9621-ef6815ec778f,"Mittelschule München, Alfonsstraße 8",Alfonsstr. 8,80636,München,,,Mittelschulen,,,,,,48.151597,11.543281,"Alfonsstr. 8, 80636 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München,130,0,13,117,87,22,0,Maillingerstraße,148.0,48.150448,11.5443,B,Maillingerstraße,158.0,48.150509,11.544656,C,Maillingerstraße,171.0,48.150182,11.544181,A,Albrechtstraße,498.0,48.155647,11.540406,,Fasaneriestraße,640.0,48.157348,11.543532,,Rotkreuzplatz,707.0,48.153155,11.534039,,Maillingerstraße,146.0,48.150879,11.544933,,Maillingerstraße,160.0,48.150315,11.544273,,Landshuter Allee,377.0,48.151524,11.538195,,61,A; B; C,100,München,,1512491,1.0,7684,62.9,116195,574,10127,7456,952,7682.4,38.0,669.6,493.0,62.9,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_712220cc-5e63-46df-b43e-7fce35d75518,"Mittelschule München, Cincinnatistraße 63",Cincinnatistr. 63,81549,München,,,Mittelschulen,,,,,,48.093065,11.601345,"Cincinnatistr. 63, 81549 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München,2,0,1,1,2,0,96,Fasangarten,333.0,48.093167,11.60582,,,,,,,,,,,,,,,,,,,,,,,,,,,Cincinnatistraße,47.0,48.092672,11.601572,,Cincinnatistraße,53.0,48.09274,11.601863,,Fasangarten,178.0,48.093165,11.603739,,25,,100,München,,1512491,1.0,7684,62.9,116195,574,10127,7456,952,7682.4,38.0,669.6,493.0,62.9,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_9fcdd568-a1c4-45e0-8b0d-7f22f3630841,"Anni-Braun-Schule, Förderzentrum,Förderschwerpunkt Sprache an der Musenbergstraße München",Musenbergstr. 32,81929,München,,,Förderzentren,,,,,,48.171038,11.646385,"Musenbergstr. 32, 81929 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München,15,0,1,14,5,6,70,Johanneskirchen,382.0,48.167608,11.646009,,,,,,,,,,,,Fritz-Meyer-Weg,741.0,48.17255,11.636653,,Regina-Ullmann-Straße,844.0,48.169904,11.635135,,,,,,,Johanneskirchen Bahnhof,206.0,48.169348,11.647516,,Johanneskirchen Bahnhof,211.0,48.169351,11.647682,,Johanneskirchen Bahnhof West,224.0,48.169375,11.64469,,21,,100,München,,1512491,1.0,7684,62.9,116195,574,10127,7456,952,7682.4,38.0,669.6,493.0,62.9,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
BY-SCHUL_SCHULSTANDORTEWEITERERSCHULEN_2d3302da-85e3-404c-aaf9-6b3be1c0a796,Staatliche Dieter-Hildebrandt-Wirtschaftsschule München,Meindlstr. 8 a,81369,München,,,Wirtschaftsschulen,,,,,,48.119017,11.538047,"Meindlstr. 8 a, 81369 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München,131,2,11,118,83,25,0,Harras,132.0,48.118399,11.536535,,Unknown,238.0,48.116881,11.537971,,Harras,238.0,48.116874,11.538062,,,,,,,,,,,,,,,,,Am Harras,231.0,48.117501,11.540165,,Margaretenplatz,232.0,48.12007,11.540743,,Margaretenplatz,236.0,48.120115,11.540763,,71,,100,München,,1512491,1.0,7684,62.9,116195,574,10127,7456,952,7682.4,38.0,669.6,493.0,62.9,Sehr sicher,city_aggregate,München: sicherste Großstadt Deutschlands (>200k Einwohner) seit 50 Jahren
