schulnummer,schulname,strasse,plz,ort,website,email,school_type,traegerschaft,traeger,fax,phone,director,latitude,longitude,adresse,data_source,data_retrieved,bundesland,stadt,traffic_accidents_total,traffic_accidents_fatal,traffic_accidents_serious_injury,traffic_accidents_minor_injury,traffic_accidents_bicycle,traffic_accidents_pedestrian,traffic_safety_score,transit_rail_01_name,transit_rail_01_distance_m,transit_rail_01_latitude,transit_rail_01_longitude,transit_rail_01_lines,transit_rail_02_name,transit_rail_02_distance_m,transit_rail_02_latitude,transit_rail_02_longitude,transit_rail_02_lines,transit_rail_03_name,transit_rail_03_distance_m,transit_rail_03_latitude,transit_rail_03_longitude,transit_rail_03_lines,transit_tram_01_name,transit_tram_01_distance_m,transit_tram_01_latitude,transit_tram_01_longitude,transit_tram_01_lines,transit_tram_02_name,transit_tram_02_distance_m,transit_tram_02_latitude,transit_tram_02_longitude,transit_tram_02_lines,transit_tram_03_name,transit_tram_03_distance_m,transit_tram_03_latitude,transit_tram_03_longitude,transit_tram_03_lines,transit_bus_01_name,transit_bus_01_distance_m,transit_bus_01_latitude,transit_bus_01_longitude,transit_bus_01_lines,transit_bus_02_name,transit_bus_02_distance_m,transit_bus_02_latitude,transit_bus_02_longitude,transit_bus_02_lines,transit_bus_03_name,transit_bus_03_distance_m,transit_bus_03_latitude,transit_bus_03_longitude,transit_bus_03_lines,transit_stop_count_1000m,transit_all_lines_1000m,transit_accessibility_score
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_6ba22856-aed4-4616-9b6a-51e3c0ada234,"Grundschule München, Großhaderner Straße 50",Großhaderner Str. 50,81375,München,,,Grundschulen,,,,,,48.121537,11.482279,"Großhaderner Str. 50, 81375 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,60,1,0,59,21,4,0,Unknown,497.0,48.11866,11.487407,,Unknown,513.0,48.118448,11.487419,,Haderner Stern,605.0,48.118383,11.488922,,Gondrellplatz,670.0,48.124467,11.490171,1,,,,,,,,,,,Schulbus,134.0,48.122475,11.481151,,Haderunstraße,222.0,48.122299,11.479517,,Großhaderner Straße,239.0,48.119457,11.481466,,71,1,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_c571b58d-00ed-42ce-9564-322c551bbce6,"Grundschule München, Camerloherstraße 110",Camerloherstr. 110,80689,München,,,Grundschulen,,,,,,48.135015,11.493003,"Camerloherstr. 110, 80689 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,30,0,1,29,17,5,40,Unknown,564.0,48.135369,11.500581,E,Unknown,570.0,48.135605,11.500633,F,Laimer Platz,668.0,48.135461,11.501976,,Agnes-Bernauer-Platz,576.0,48.139933,11.495425,,Agnes-Bernauer-Platz,595.0,48.139775,11.496663,,Willibaldplatz,715.0,48.140847,11.488942,,Stroblstraße,127.0,48.136148,11.493172,,Laimer Platz,476.0,48.135076,11.499422,,Laimer Platz,496.0,48.135205,11.499678,,47,E; F,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_97455984-841f-4000-a9df-51ee382cfb27,"Grundschule München, Canisiusplatz 2",Canisiusplatz 2,81377,München,,,Grundschulen,,,,,,48.113727,11.480761,"Canisiusplatz 2, 81377 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,71,0,7,64,30,9,0,Unknown,276.0,48.113714,11.477043,,Unknown,292.0,48.115377,11.477699,,Großhadern,300.0,48.114805,11.477062,,,,,,,,,,,,,,,,,Platanenstraße,189.0,48.114656,11.482892,,Platanenstraße,198.0,48.114722,11.482966,,Platanenstraße,221.0,48.11445,11.483531,,64,,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_51e3c8bb-21e0-44d5-b960-c75783ae41e7,"Grundschule München, Gänselieselstraße 33",Gänselieselstr. 33,81739,München,,,Grundschulen,,,,,,48.081534,11.677654,"Gänselieselstr. 33, 81739 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,11,0,0,11,6,3,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salzmannstraße,70.0,48.081264,11.67681,221,Am Hain,270.0,48.083208,11.680291,,Am Hain,275.0,48.083274,11.68028,,30,221,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_b03ced47-b3e5-4a53-bcf2-48a7703b57d9,"Grundschule München, Fürstenrieder Straße 30",Fürstenrieder Str. 30,80686,München,,,Grundschulen,,,,,,48.139112,11.502666,"Fürstenrieder Str. 30, 80686 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,164,0,12,152,75,26,0,Unknown,376.0,48.135731,11.502765,D,Unknown,404.0,48.135513,11.503376,A,Laimer Platz,409.0,48.135461,11.501976,,Fürstenrieder Straße,46.0,48.139394,11.503119,,Fürstenrieder Straße,93.0,48.13971,11.503546,2,Fürstenrieder Straße,106.0,48.139687,11.503798,1,Fürstenrieder Straße,45.0,48.139335,11.503179,4,Fürstenrieder Straße,106.0,48.140035,11.503037,3,Laimer Platz,362.0,48.135859,11.502887,,56,1; 2; 3; 4; A; D,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_afcc59de-48de-4b95-ae2c-536d8907852a,"Grundschule München, Grandlstraße 5",Grandlstr. 5,81247,München,,,Grundschulen,,,,,,48.163598,11.463178,"Grandlstr. 5, 81247 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,38,0,5,33,14,5,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wöhlerstraße,138.0,48.164773,11.46257,,Wöhlerstraße,155.0,48.164769,11.464312,,Dorfstraße,237.0,48.164772,11.465851,,27,,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_4288ad20-e287-4f57-ad2c-50d542871dcc,"Grundschule München, Rennertstraße 10",Rennertstr. 10,81739,München,,,Grundschulen,,,,,,48.094628,11.639253,"Rennertstr. 10, 81739 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,24,0,2,22,10,6,52,Unknown,241.0,48.09369,11.642172,B,Therese-Giehse-Allee,257.0,48.09473,11.642716,,Unknown,304.0,48.095513,11.643133,A,,,,,,,,,,,,,,,,Wolframstraße,253.0,48.095033,11.635901,,Wolframstraße,279.0,48.094821,11.635506,,Schulbus,377.0,48.097678,11.641456,,72,A; B,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_0a614bfe-c1e0-4f58-8cec-7f600eb6a4df,"Grundschule München, Berner Str. 6",Berner Str. 6,81476,München,,,Grundschulen,,,,,,48.096914,11.49396,"Berner Str. 6, 81476 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,21,0,1,20,9,1,58,"Züricher Straße, Winterthurer Straße",342.0,48.095178,11.497754,E,"Forstenrieder Allee, Knöpflerstraße",365.0,48.09484,11.49777,D,"Forstenrieder Allee, Ammerlandstraße",367.0,48.095346,11.498301,F,,,,,,,,,,,,,,,,Forstenrieder Allee,398.0,48.094695,11.498162,,Forstenrieder Allee,427.0,48.094489,11.498423,,Forstenrieder Allee,435.0,48.094603,11.498682,,24,D; E; F,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_6cb2483e-0723-4073-b2b0-d749f8074053,"Grundschule München, Königswieser Straße 7",Königswieser Str. 7,81475,München,,,Grundschulen,,,,,,48.083126,11.483549,"Königswieser Str. 7, 81475 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,42,0,5,37,14,3,16,Unknown,520.0,48.087707,11.482117,,Unknown,552.0,48.088004,11.482201,,Unknown,604.0,48.088305,11.48108,,,,,,,,,,,,,,,,,Vinzenz-Schüpfer-Straße,43.0,48.083491,11.483741,,Vinzenz-Schüpfer-Straße,43.0,48.083466,11.483827,,Allgäuer Straße,174.0,48.082018,11.485199,,32,,100
BY-SCHUL_SCHULSTANDORTEGRUNDSCHULEN_6edb2d81-8c02-45ad-9bf7-9be80842008b,"Grundschule München,  Führichstraße 53",Führichstr. 53,81671,München,,,Grundschulen,,,,,,48.115952,11.615494,"Führichstr. 53, 81671 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-07,Bayern,München,90,0,5,85,26,5,0,Unknown,477.0,48.11835,11.610173,C,Unknown,492.0,48.118103,11.609699,D,Unknown,506.0,48.12035,11.617252,F,,,,,,,,,,,,,,,,Unknown,60.0,48.116183,11.614767,,Ramersdorf,103.0,48.115564,11.614238,,Ramersdorf,138.0,48.115648,11.613695,,48,C; D; F,100
