schulnummer,schulname,strasse,plz,ort,website,email,school_type,traegerschaft,traeger,fax,phone,director,latitude,longitude,adresse,data_source,data_retrieved,bundesland,stadt
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_d58494a1-efd6-419c-87f9-58c9f84976e0,"Mittelschule München, Schrobenhausener Straße 15",Schrobenhausener Str. 15,80686,München,,,Mittelschulen,,,,,,48.137036,11.512497,"Schrobenhausener Str. 15, 80686 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_3721b800-751d-49a1-a6d2-19d237e7bcc8,"Bayerische Landesschule f.Körperbehinderte München Förderzentr., Förderschwerp.körperl.u.mot.Entw.",Kurzstr. 2,81547,München,,,Förderzentren,,,,,,48.104791,11.568608,"Kurzstr. 2, 81547 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_502932a2-2f0f-47e9-84cf-1e82554133be,"Mittelschule München, Albert-Schweitzer-Straße 59",Albert-Schweitzer-Str. 59,81735,München,,,Mittelschulen,,,,,,48.107996,11.64772,"Albert-Schweitzer-Str. 59, 81735 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_9db2dcea-a68b-427f-98eb-50efaaa8c642,"Mittelschule München, Fromundstraße 5",Fromundstr. 5,81547,München,,,Mittelschulen,,,,,,48.108216,11.576543,"Fromundstr. 5, 81547 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_87018f9c-ec98-440b-b2eb-55c042ee1ce4,"Mittelschule München, Ridlerstraße 26",Ridlerstr. 26,80339,München,,,Mittelschulen,,,,,,48.132017,11.536947,"Ridlerstr. 26, 80339 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_3bb535a1-5887-480f-93db-8a8646287969,"Carl-August-Heckscher-Schule, Förderschule und Schule für Kranke in München",Deisenhofener Str. 28,81539,München,,,Förderzentren,,,,,,48.114077,11.583044,"Deisenhofener Str. 28, 81539 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_9e890a21-ef6a-4b3a-9621-ef6815ec778f,"Mittelschule München, Alfonsstraße 8",Alfonsstr. 8,80636,München,,,Mittelschulen,,,,,,48.151597,11.543281,"Alfonsstr. 8, 80636 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_712220cc-5e63-46df-b43e-7fce35d75518,"Mittelschule München, Cincinnatistraße 63",Cincinnatistr. 63,81549,München,,,Mittelschulen,,,,,,48.093065,11.601345,"Cincinnatistr. 63, 81549 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_9fcdd568-a1c4-45e0-8b0d-7f22f3630841,"Anni-Braun-Schule, Förderzentrum,Förderschwerpunkt Sprache an der Musenbergstraße München",Musenbergstr. 32,81929,München,,,Förderzentren,,,,,,48.171038,11.646385,"Musenbergstr. 32, 81929 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEWEITERERSCHULEN_2d3302da-85e3-404c-aaf9-6b3be1c0a796,Staatliche Dieter-Hildebrandt-Wirtschaftsschule München,Meindlstr. 8 a,81369,München,,,Wirtschaftsschulen,,,,,,48.119017,11.538047,"Meindlstr. 8 a, 81369 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEWEITERERSCHULEN_ece522cf-89fa-4d51-8ef3-d089a764bf22,Staatl. Wirtschaftsschule München an der Bayer. Landesschule für Körperbehinderte,Kurzstr. 2,81547,München,,,Wirtschaftsschulen,,,,,,48.104791,11.568608,"Kurzstr. 2, 81547 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_4810ee56-668a-4569-873d-3fe4370e674e,"Sonderpädagogisches Förderzentrum München Mitte 3, Am Westpark",Gilmstr. 46,81377,München,,,Förderzentren,,,,,,48.120317,11.506646,"Gilmstr. 46, 81377 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_127a5f60-ae93-49c9-a97d-37ab5be346ce,Sonderpädagogisches Förderzentrum Dachauer Straße 98 / Nadistraße / München Mitte 1,Dachauer Str. 98,80335,München,,,Förderzentren,,,,,,48.152414,11.556769,"Dachauer Str. 98, 80335 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_43fbc6df-81e6-400c-8b1b-36a11704a520,Sonderpädagogisches Förderzentrum Innsbrucker Ring/Berg-am-Laim-Str./ München Mitte 4,Innsbrucker Ring 75,81671,München,,,Förderzentren,,,,,,48.121844,11.621165,"Innsbrucker Ring 75, 81671 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_cc5eb992-2032-460a-8db0-c63d9c8d2656,Sonderpädagogisches Förderzentrum München-Ost an der Astrid-Lindgren-Str. 5,Astrid-Lindgren-Str. 5,81829,München,,,Förderzentren,,,,,,48.131243,11.70631,"Astrid-Lindgren-Str. 5, 81829 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_7375aaed-3037-42f5-be96-bbfe1cba24d3,"Mathilde-Eller-Schule, Förderzentrum mit Förderschwerpunkt geist. Entw. München",Klenzestr. 27,80469,München,,,Förderzentren,,,,,,48.132196,11.577172,"Klenzestr. 27, 80469 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_9f389ef5-e340-4dc6-a32b-588736928eab,Sonderpädagogisches Förderzentrum München Nord-Ost,Rothpletzstr. 40,80937,München,,,Förderzentren,,,,,,48.198188,11.581562,"Rothpletzstr. 40, 80937 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_f531af60-8835-4a84-9920-85b6cbe48b39,Sonderpädagogisches Förderzentrum München-West,Helmut-Schmidt-Allee 45,81249,München,,,Förderzentren,,,,,,48.141849,11.404531,"Helmut-Schmidt-Allee 45, 81249 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-04-04,Bayern,München
