schulnummer,schulname,strasse,plz,ort,website,email,school_type,traegerschaft,traeger,fax,phone,director,longitude,latitude,state,adresse,data_source,data_retrieved,bundesland,stadt
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_423271fd-1786-4e0f-90e9-6a5276a50fd1,Sonderpädagogisches Förderzentrum Rothwiesenstraße /München Nord-West,Rothwiesenstr. 18,80995,München,,,Förderzentren,,,,,,11.4869204,48.2118155,BY,"Rothwiesenstr. 18, 80995 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_9069a59d-17de-4af5-ae33-590be9c91c22,"Mittelschule München, Perlacher Straße 114",Perlacher Str. 114,81539,München,,,Mittelschulen,,,,,,11.5891766,48.1088752,BY,"Perlacher Str. 114, 81539 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_17cb67f8-0bdd-449a-9d2e-1ad754494991,"Mittelschule München, Simmernstraße 2",Simmernstr. 2,80804,München,,,Mittelschulen,,,,,,11.5835429,48.1676045,BY,"Simmernstr. 2, 80804 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_7a32cfc9-204f-46ce-85f6-9117e815d636,"Mittelschule München, Hochstraße 31",Hochstr. 31,81669,München,,,Mittelschulen,,,,,,11.5868816,48.1260916,BY,"Hochstr. 31, 81669 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_5d9b5eb3-4053-4781-a735-7cfbe6523692,Gymnasium München-Nord,Knorrstr. 171,80937,München,,,Gymnasien,,,,,,11.5721362,48.1997303,BY,"Knorrstr. 171, 80937 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_26efe204-3c4f-4c7b-89c5-d104e8280e67,Erasmus-Grasser-Gymnasium München,Fürstenrieder Str. 159,81377,München,,,Gymnasien,,,,,,11.5034479,48.1227453,BY,"Fürstenrieder Str. 159, 81377 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEBERUFLICHESCHULEN_0f2762e9-d42d-4af9-b028-465ec93628aa,"Therese-von-Bayern-Schule, staatl. Berufsoberschule für Wirtschaft München",Lindwurmstr. 90,80337,München,,,Berufsoberschulen,,,,,,11.547261,48.1238811,BY,"Lindwurmstr. 90, 80337 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_98c3861e-69fc-4c91-920d-ee0a2e3a5ace,Michaeli-Gymnasium München,Hachinger-Bach-Str. 25,81671,München,,,Gymnasien,,,,,,11.638872,48.1208058,BY,"Hachinger-Bach-Str. 25, 81671 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_c0aa0aa2-c7da-421e-80bf-ee596a002f62,Dante-Gymnasium München,Wackersberger Str. 61,81371,München,,,Gymnasien,,,,,,11.5438502,48.1149703,BY,"Wackersberger Str. 61, 81371 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEREALSCHULEN_d24ba9f5-6d6b-45cb-9a41-58c0085eb717,Joseph-von-Fraunhofer-Schule Staatl. Realschule München II,Engadiner Str. 1,81475,München,,,Realschulen,,,,,,11.4814434,48.0900477,BY,"Engadiner Str. 1, 81475 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_3ab60e69-3d30-4d07-82d3-544a2fcd4bb2,Gymnasium München-Freiham,Hildegard-Hamm-Brücher-Str. 5,81249,München,,,Gymnasien,,,,,,11.4041356,48.1405891,BY,"Hildegard-Hamm-Brücher-Str. 5, 81249 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_3f022dad-c351-45bd-8807-a4a94dc39461,Wilhelm-Hausenstein-Gymnasium München,Elektrastr. 61,81925,München,,,Gymnasien,,,,,,11.6266563,48.1522078,BY,"Elektrastr. 61, 81925 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_ac819b62-69e4-41cb-a478-614ba687e4f2,Gymnasium München - Fürstenried,Engadiner Str. 1,81475,München,,,Gymnasien,,,,,,11.4814434,48.0900477,BY,"Engadiner Str. 1, 81475 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_502932a2-2f0f-47e9-84cf-1e82554133be,"Mittelschule München, Albert-Schweitzer-Straße 59",Albert-Schweitzer-Str. 59,81735,München,,,Mittelschulen,,,,,,11.6477091,48.1081921,BY,"Albert-Schweitzer-Str. 59, 81735 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_cb66bae7-fa14-4e9e-b30e-ccbcf2f5ca72,"Mittelschule München, Bernaysstraße 35",Bernaysstr. 35,80937,München,,,Mittelschulen,,,,,,11.5793752,48.2033588,BY,"Bernaysstr. 35, 80937 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_ec28fc2d-2760-4217-a0f8-6e3ef8e3357a,"Mittelschule München, Fernpaßstraße 41",Fernpaßstr. 41,81373,München,,,Mittelschulen,,,,,,11.5223493,48.1208059,BY,"Fernpaßstr. 41, 81373 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_bc614253-fa2e-460d-824d-c996be230e91,"Mittelschule München, Peslmüllerstraße 8",Peslmüllerstr. 8,81243,München,,,Mittelschulen,,,,,,11.4458511,48.1419177,BY,"Peslmüllerstr. 8, 81243 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_b294e9b4-f0c9-4202-aa3b-79355b6dbc08,"Mittelschule München, Elisabeth-Kohn-Straße 4",Elisabeth-Kohn-Str. 4,80797,München,,,Mittelschulen,,,,,,11.5537195,48.1641175,BY,"Elisabeth-Kohn-Str. 4, 80797 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_f4bf16af-64d0-4da2-b1be-af09200332dc,Karlsgymnasium München-Pasing,Am Stadtpark 21,81243,München,,,Gymnasien,,,,,,11.4522504,48.1406797,BY,"Am Stadtpark 21, 81243 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_310319b1-7423-426d-a0a3-51b0681edf3e,Asam-Gymnasium München,Schlierseestr. 20,81539,München,,,Gymnasien,,,,,,11.5918046,48.1143718,BY,"Schlierseestr. 20, 81539 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_74a711e7-38f9-4188-80f2-d5fcb5cba118,"Mittelschule München, Gotzinger Platz 1",Gotzinger Platz 1,81371,München,,,Mittelschulen,,,,,,11.5501001,48.1175149,BY,"Gotzinger Platz 1, 81371 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_87018f9c-ec98-440b-b2eb-55c042ee1ce4,"Mittelschule München, Ridlerstraße 26",Ridlerstr. 26,80339,München,,,Mittelschulen,,,,,,11.5369355,48.1321195,BY,"Ridlerstr. 26, 80339 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_4efad132-7475-46fe-b549-c62aa9d07179,"Mittelschule München, Zielstattstraße 74",Zielstattstr. 74,81379,München,,,Mittelschulen,,,,,,11.5202553,48.1022987,BY,"Zielstattstr. 74, 81379 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_9f389ef5-e340-4dc6-a32b-588736928eab,Sonderpädagogisches Förderzentrum München Nord-Ost,Rothpletzstr. 40,80937,München,,,Förderzentren,,,,,,11.5820622,48.1981849,BY,"Rothpletzstr. 40, 80937 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_b5d4871c-efd4-4733-b637-f81d1bb8309f,"Mittelschule München, Schleißheimer Straße 275",Schleißheimer Str. 275,80809,München,,,Mittelschulen,,,,,,11.5660149,48.1807037,BY,"Schleißheimer Str. 275, 80809 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_c4b8ef16-4e11-4d6a-bda2-5e45aef8fa33,"Mittelschule München, Wittelsbacherstraße 10",Wittelsbacherstr. 10,80469,München,,,Mittelschulen,,,,,,11.5702546,48.1250468,BY,"Wittelsbacherstr. 10, 80469 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_9e890a21-ef6a-4b3a-9621-ef6815ec778f,"Mittelschule München, Alfonsstraße 8",Alfonsstr. 8,80636,München,,,Mittelschulen,,,,,,11.5423482,48.1519241,BY,"Alfonsstr. 8, 80636 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_712220cc-5e63-46df-b43e-7fce35d75518,"Mittelschule München, Cincinnatistraße 63",Cincinnatistr. 63,81549,München,,,Mittelschulen,,,,,,11.6016619,48.0931477,BY,"Cincinnatistr. 63, 81549 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_a8a2d980-67d3-4727-8791-d1cbf7f92c6e,"Mittelschule München, am Echardinger Grünstreifen, Innsbrucker Ring 75",Innsbrucker Ring 75,81671,München,,,Mittelschulen,,,,,,11.6211725,48.1218508,BY,"Innsbrucker Ring 75, 81671 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_6ee130bf-7a96-4cd2-9891-a854bb43c7cf,"Mittelschule München, Reichenaustraße 3",Reichenaustr. 3,81243,München,,,Mittelschulen,,,,,,11.4357347,48.147111,BY,"Reichenaustr. 3, 81243 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEMITTELSCHULEN_61dd325b-0534-4bb6-a269-54a41a1bd1ca,"Mittelschule München, Wiesentfelser Straße 53",Wiesentfelser Str. 53,81249,München,,,Mittelschulen,,,,,,11.4132288,48.1453937,BY,"Wiesentfelser Str. 53, 81249 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_ce41bb75-f3f8-4124-a39a-9be8fda6bed0,Maximiliansgymnasium München,Oettingenstr. 78,80538,München,,,Gymnasien,,,,,,11.5956119,48.1498654,BY,"Oettingenstr. 78, 80538 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_7fe22a7c-24c6-469f-a593-d3f153e6ae3c,Ludwigsgymnasium München,Fürstenrieder Str. 159 a,81377,München,,,Gymnasien,,,,,,11.5052986,48.1221312,BY,"Fürstenrieder Str. 159 a, 81377 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEGYMNASIEN_0073b9c0-48c4-4c00-a995-d2d5ad0d45b8,Gisela-Gymnasium München,Arcisstr. 65,80801,München,,,Gymnasien,,,,,,11.5732647,48.1566933,BY,"Arcisstr. 65, 80801 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEWEITERERSCHULEN_2d3302da-85e3-404c-aaf9-6b3be1c0a796,Staatliche Dieter-Hildebrandt-Wirtschaftsschule München,Meindlstr. 8 a,81369,München,,,Wirtschaftsschulen,,,,,,11.5377611,48.1189998,BY,"Meindlstr. 8 a, 81369 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEWEITERERSCHULEN_ece522cf-89fa-4d51-8ef3-d089a764bf22,Staatl. Wirtschaftsschule München an der Bayer. Landesschule für Körperbehinderte,Kurzstr. 2,81547,München,,,Wirtschaftsschulen,,,,,,11.5688886,48.1046703,BY,"Kurzstr. 2, 81547 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
BY-SCHUL_SCHULSTANDORTEFOERDERZENTREN_127a5f60-ae93-49c9-a97d-37ab5be346ce,Sonderpädagogisches Förderzentrum Dachauer Straße 98 / Nadistraße / München Mitte 1,Dachauer Str. 98,80335,München,,,Förderzentren,,,,,,11.5570287,48.1528352,BY,"Dachauer Str. 98, 80335 München","jedeschule.codefor.de (CC0, scraped from km.bayern.de)",2026-08-22,Bayern,München
