schulnummer,Schulform,Schulbezeichnung_1,Schulbezeichnung_2,Schulbezeichnung_3,kurzbezeichnung,Bezirksregierung,plz,ort,strasse,Telefonvorwahl,Telefon,Faxvorwahl,Fax,email,website,Rechtsform,Traegernummer,gemeindeschluessel,Schulbetriebsschluessel,Schulbetriebsdatum,EPSG,UTMRechtswert,UTMHochwert,Unnamed: 24,latitude,longitude,schulform_name,traegerschaft,bezirksregierung_name,schulname,telefon,stadt,data_source,data_retrieved,bundesland,sozialindexstufe,school_type,is_cross_grade,cross_grade_note,traffic_accidents_total,traffic_accidents_per_year,traffic_accidents_fatal,traffic_accidents_serious,traffic_accidents_minor,traffic_accidents_bicycle,traffic_accidents_pedestrian,traffic_accidents_school_hours,traffic_nearest_accident_m,traffic_data_years,traffic_data_source
100020,2.0,Städt. Kath. Grundschule,Kartause-Hain-Schule,- Primarstufe -,"Düsseldorf, KG Kartause-Hain-Schule",1.0,40468,Düsseldorf,Unterrather Str. 76,211.0,4791163.0,211.0,4299019.0,100020@schule.nrw.de,http://www.kartause-hain-schule.de,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,345372.0,5682741.0,,51.275,6.783118,Grundschule,Öffentlich,Düsseldorf,Städt. Kath. Grundschule Kartause-Hain-Schule - Primarstufe -,2114791163.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,5.0,Grundschule,,,29,9.7,0,6,23,3,8,17,44,"2024,2023,2022",Unfallatlas
100061,2.0,Städtische Gemeinschaftsgrundschule,Steinkaul 27,-Primarstufe-,"Düsseldorf, GG Steinkaul",1.0,40589,Düsseldorf,Steinkaul 27,211.0,8925660.0,211.0,8925665.0,100061@schule.nrw.de,https://www.ggs-steinkaul.de/,1.0,10042.0,5111000.0,1.0,01.08.2019,EPSG:25832,346650.0,5671005.0,,51.169891,6.806447,Grundschule,Öffentlich,Düsseldorf,Städtische Gemeinschaftsgrundschule Steinkaul 27 -Primarstufe-,2118925660.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,1.0,Grundschule,,,7,2.3,0,2,5,5,2,4,110,"2024,2023,2022",Unfallatlas
100067,2.0,Städtische Katholische Grundschule,Niederkassel,- Primarstufe -,"Düsseldorf, KG Niederkassel",1.0,40547,Düsseldorf,Niederkasseler Str. 36,211.0,8924500.0,211.0,8924624.0,100067@schule.nrw.de,http://www.grundschuleniederkassel.de,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,343203.0,5678621.0,,51.237389,6.753852,Grundschule,Öffentlich,Düsseldorf,Städtische Katholische Grundschule Niederkassel - Primarstufe -,2118924500.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0,Grundschule,,,12,4.0,0,2,10,8,2,8,34,"2024,2023,2022",Unfallatlas
100078,2.0,LOGOS-Grundschule,Russisch-Orthodoxe Bekenntnisgrundschule,,"Köln, GG LOGOS",3.0,51065,Köln,Arnsberger Str. 11,221.0,16908487.0,,,100078@schule.nrw.de,http://www.logos-grundschule.de,2.0,10004.0,5315000.0,1.0,01.08.2019,EPSG:25832,360561.0,5646621.0,,50.954314,7.014696,Grundschule,Privat,Köln,LOGOS-Grundschule Russisch-Orthodoxe Bekenntnisgrundschule,22116908487.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,,Grundschule,,,84,28.0,0,10,74,41,13,57,18,"2024,2023,2022",Unfallatlas
100079,2.0,Paulus Schule,Städt. Kath. Grundschule,- Primarstufe -,"Düsseldorf, KG Paulus Schule",1.0,40237,Düsseldorf,Paulusplatz 1,211.0,667608.0,211.0,6799796.0,100079@schule.nrw.de,https://paulusschule-duesseldorf.de/,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,346730.0,5678352.0,,51.23593,6.804452,Grundschule,Öffentlich,Düsseldorf,Paulus Schule Städt. Kath. Grundschule - Primarstufe -,211667608.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0,Grundschule,,,49,16.3,0,10,39,19,10,35,81,"2024,2023,2022",Unfallatlas
100092,2.0,Städt. Kath. Grundschule,- Primarstufe -,,"Düsseldorf, KG Rather Kreuzweg",1.0,40472,Düsseldorf,Rather Kreuzweg 21,211.0,8992882.0,211.0,8929436.0,100092@schule.nrw.de,https://www.kgs-rather-kreuzweg.de/,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,347071.0,5681331.0,,51.262789,6.80806,Grundschule,Öffentlich,Düsseldorf,Städt. Kath. Grundschule - Primarstufe -,2118992882.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,9.0,Grundschule,,,60,20.0,0,4,56,23,17,40,26,"2024,2023,2022",Unfallatlas
100105,2.0,Erzbischöfliche Grundschule am,"Bildungscampus Köln-Kalk, staatl.gen.",priv.Ersatzsch.d.Erzbist.Köln,"Köln, KG am Bildungscampus",3.0,51103,Köln,Christian-Sünner-Str. 5,221.0,22210910.0,,,100105@schule.nrw.de,https://bildungscampus-kalk.de/,2.0,71110.0,5315000.0,1.0,01.08.2020,EPSG:25832,360142.0,5644488.0,,50.935043,7.009553,Grundschule,Privat,Köln,"Erzbischöfliche Grundschule am Bildungscampus Köln-Kalk, staatl.gen. priv.Ersatzsch.d.Erzbist.Köln",22122210910.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,,Grundschule,,,47,15.7,0,5,42,25,6,28,173,"2024,2023,2022",Unfallatlas
100109,2.0,Marienschule,Städt. Kath. Grundschule,- Primarstufe -,"Düsseldorf, KG Marienschule",1.0,40591,Düsseldorf,Rheindorfer Weg 20,211.0,8924360.0,211.0,8924362.0,100109@schule.nrw.de,http://www.kgs-marienschule-duesseldorf.de,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,347268.0,5673248.0,,51.190212,6.814326,Grundschule,Öffentlich,Düsseldorf,Marienschule Städt. Kath. Grundschule - Primarstufe -,2118924360.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,2.0,Grundschule,,,63,21.0,0,14,49,14,12,35,23,"2024,2023,2022",Unfallatlas
100113,2.0,Gemeinschaftsgrundschule Gaedestrasse,in Köln-Marienburg,,"Köln, GG Gaedestrasse",3.0,50968,Köln,Gaedestr. 31,221.0,5708050.0,221.0,57080520.0,100113@schule.nrw.de,http://www.ggs-gaedestrasse.de,1.0,10182.0,5315000.0,1.0,01.08.2023,EPSG:25832,356628.0,5640545.0,,50.898745,6.961126,Grundschule,Öffentlich,Köln,Gemeinschaftsgrundschule Gaedestrasse in Köln-Marienburg,2215708050.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,4.0,Grundschule,,,13,4.3,0,1,12,5,1,10,17,"2024,2023,2022",Unfallatlas
100122,2.0,Hermann Gmeiner Schule,Städt. Kath. Grundschule,- Primarstufe -,"Düsseldorf, KG Hermann Gmeiner Schule",1.0,40599,Düsseldorf,Schillstr. 7,211.0,8926160.0,211.0,8926155.0,100122@schule.nrw.de,http://www.kgs-hermann-gmeiner.de,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,351479.0,5671797.0,,51.178283,6.875143,Grundschule,Öffentlich,Düsseldorf,Hermann Gmeiner Schule Städt. Kath. Grundschule - Primarstufe -,2118926160.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,7.0,Grundschule,,,10,3.3,0,1,9,2,0,9,91,"2024,2023,2022",Unfallatlas
