schulnummer,Schulform,Schulbezeichnung_1,Schulbezeichnung_2,Schulbezeichnung_3,kurzbezeichnung,Bezirksregierung,plz,ort,strasse,Telefonvorwahl,Telefon,Faxvorwahl,Fax,email,website,Rechtsform,Traegernummer,gemeindeschluessel,Schulbetriebsschluessel,Schulbetriebsdatum,EPSG,UTMRechtswert,UTMHochwert,Unnamed: 24,latitude,longitude,schulform_name,traegerschaft,bezirksregierung_name,schulname,telefon,stadt,data_source,data_retrieved,bundesland,sozialindexstufe,school_type,is_cross_grade,cross_grade_note,traffic_accidents_total,traffic_accidents_per_year,traffic_accidents_fatal,traffic_accidents_serious,traffic_accidents_minor,traffic_accidents_bicycle,traffic_accidents_pedestrian,traffic_accidents_school_hours,traffic_nearest_accident_m,traffic_data_years,traffic_data_source,transit_rail_01_name,transit_rail_01_distance_m,transit_rail_01_latitude,transit_rail_01_longitude,transit_rail_01_lines,transit_rail_02_name,transit_rail_02_distance_m,transit_rail_02_latitude,transit_rail_02_longitude,transit_rail_02_lines,transit_rail_03_name,transit_rail_03_distance_m,transit_rail_03_latitude,transit_rail_03_longitude,transit_rail_03_lines,transit_tram_01_name,transit_tram_01_distance_m,transit_tram_01_latitude,transit_tram_01_longitude,transit_tram_01_lines,transit_tram_02_name,transit_tram_02_distance_m,transit_tram_02_latitude,transit_tram_02_longitude,transit_tram_02_lines,transit_tram_03_name,transit_tram_03_distance_m,transit_tram_03_latitude,transit_tram_03_longitude,transit_tram_03_lines,transit_bus_01_name,transit_bus_01_distance_m,transit_bus_01_latitude,transit_bus_01_longitude,transit_bus_01_lines,transit_bus_02_name,transit_bus_02_distance_m,transit_bus_02_latitude,transit_bus_02_longitude,transit_bus_02_lines,transit_bus_03_name,transit_bus_03_distance_m,transit_bus_03_latitude,transit_bus_03_longitude,transit_bus_03_lines,transit_stops_500m,transit_stop_count_1000m,transit_all_lines_1000m,transit_accessibility_score
100020,2.0,Städt. Kath. Grundschule,Kartause-Hain-Schule,- Primarstufe -,"Düsseldorf, KG Kartause-Hain-Schule",1.0,40468,Düsseldorf,Unterrather Str. 76,211.0,4791163.0,211.0,4299019.0,100020@schule.nrw.de,http://www.kartause-hain-schule.de,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,345372.0,5682741.0,,51.275,6.783118,Grundschule,Öffentlich,Düsseldorf,Städt. Kath. Grundschule Kartause-Hain-Schule - Primarstufe -,2114791163.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,5.0,Grundschule,,,29,9.7,0,6,23,3,8,17,44,"2024,2023,2022",Unfallatlas,Düsseldorf-Unterrath,430,51.2764682,6.7888379,,Flughafen Parkhaus 4,844,51.2802586,6.774361,,Düsseldorf Flughafen Terminal,1186,51.2781696,6.7668377,,Am Röttchen,173,51.2737408,6.7816482,,Unterrath S,255,51.2757199,6.7865964,,Eckenerstraße,694,51.2720892,6.7742922,1,"Unterrath, Friedhof",87,51.2753206,6.7842555,1,Am Röttchen,172,51.2738019,6.7815608,,Unterrath S,263,51.2756745,6.7867365,,30,59,"1, 2, 3, 4, 5",75.0
100061,2.0,Städtische Gemeinschaftsgrundschule,Steinkaul 27,-Primarstufe-,"Düsseldorf, GG Steinkaul",1.0,40589,Düsseldorf,Steinkaul 27,211.0,8925660.0,211.0,8925665.0,100061@schule.nrw.de,https://www.ggs-steinkaul.de/,1.0,10042.0,5111000.0,1.0,01.08.2019,EPSG:25832,346650.0,5671005.0,,51.169891,6.806447,Grundschule,Öffentlich,Düsseldorf,Städtische Gemeinschaftsgrundschule Steinkaul 27 -Primarstufe-,2118925660.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,1.0,Grundschule,,,7,2.3,0,2,5,5,2,4,110,"2024,2023,2022",Unfallatlas,Elbruchstraße,1811,51.1794329,6.8274946,,Ickerswarder Straße,1909,51.1845337,6.8207449,,Holthausen,1951,51.1750391,6.8331984,,Am Trippelsberg,2871,51.165973,6.8471501,,Universität Nord / Christophstraße,3035,51.1964727,6.796566,,Schöne Aussicht,3503,51.1624197,6.8552485,,Himmelgeist Schule,89,51.1704314,6.8055035,2,Alt-Himmelgeist,141,51.1686618,6.8069549,2,"Himmelgeist, Friedhof",416,51.1725935,6.8023175,,14,39,"1, 2, 850, 851",50.0
100067,2.0,Städtische Katholische Grundschule,Niederkassel,- Primarstufe -,"Düsseldorf, KG Niederkassel",1.0,40547,Düsseldorf,Niederkasseler Str. 36,211.0,8924500.0,211.0,8924624.0,100067@schule.nrw.de,http://www.grundschuleniederkassel.de,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,343203.0,5678621.0,,51.237389,6.753852,Grundschule,Öffentlich,Düsseldorf,Städtische Katholische Grundschule Niederkassel - Primarstufe -,2118924500.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0,Grundschule,,,12,4.0,0,2,10,8,2,8,34,"2024,2023,2022",Unfallatlas,Barbarossaplatz,654,51.231548,6.754902,,Belsenplatz,784,51.2315346,6.7475889,,Comenius-Gymnasium,850,51.2354876,6.7420247,,Theodor-Heuss-Brücke,1596,51.2499957,6.7648087,,Nordstraße,1720,51.2354553,6.7783658,,Venloer Straße,1782,51.2376649,6.7794393,1,Johannsenstraße,77,51.2367368,6.7542345,2,Kanalstraße,131,51.2384061,6.7529093,2,Heinsbergstraße,276,51.2395535,6.751911,,19,63,"1, 2",65.0
100078,2.0,LOGOS-Grundschule,Russisch-Orthodoxe Bekenntnisgrundschule,,"Köln, GG LOGOS",3.0,51065,Köln,Arnsberger Str. 11,221.0,16908487.0,,,100078@schule.nrw.de,http://www.logos-grundschule.de,2.0,10004.0,5315000.0,1.0,01.08.2019,EPSG:25832,360561.0,5646621.0,,50.954314,7.014696,Grundschule,Privat,Köln,LOGOS-Grundschule Russisch-Orthodoxe Bekenntnisgrundschule,22116908487.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,,Grundschule,,,84,28.0,0,10,74,41,13,57,18,"2024,2023,2022",Unfallatlas,Bahnhof Mülheim,398,50.9573403,7.0116611,,Köln-Mülheim,434,50.9581466,7.0135261,,Köln-Buchforst,733,50.9535312,7.0043042,,Buchheim Frankfurter Straße,112,50.9533143,7.0145227,,Bahnhof Mülheim,338,50.9570271,7.0125111,,Waldecker Straße,699,50.9512741,7.0059555,,Buchheim Frankfurter Straße,150,50.9529869,7.0142808,151;152;153,Bf Mülheim,360,50.9569872,7.0118057,,Bahnhof Mülheim,360,50.9570236,7.0118799,B,16,62,"1, 151, 152, 153, 159, 171, 2, 3, A, B, C",75.0
100079,2.0,Paulus Schule,Städt. Kath. Grundschule,- Primarstufe -,"Düsseldorf, KG Paulus Schule",1.0,40237,Düsseldorf,Paulusplatz 1,211.0,667608.0,211.0,6799796.0,100079@schule.nrw.de,https://paulusschule-duesseldorf.de/,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,346730.0,5678352.0,,51.23593,6.804452,Grundschule,Öffentlich,Düsseldorf,Paulus Schule Städt. Kath. Grundschule - Primarstufe -,211667608.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0,Grundschule,,,49,16.3,0,10,39,19,10,35,81,"2024,2023,2022",Unfallatlas,Brehmplatz,311,51.23844,6.8024799,,Schillerplatz,323,51.2355519,6.7998508,,Düsseldorf Zoo,541,51.2371253,6.796926,,Düsseldorf Schumannstraße,144,51.2355233,6.8064208,,Brehmplatz,265,51.23784,6.8021709,2,Schillerplatz,284,51.2359958,6.8003765,2,Brehmplatz,265,51.2378477,6.8022037,,Schillerplatz,285,51.2360065,6.800357,2,Zoo S,492,51.2356816,6.7974034,3,16,101,"1, 2, 3, 4, 5, 6, 8, 9, de.05111000.uhlandstrasse",75.0
100092,2.0,Städt. Kath. Grundschule,- Primarstufe -,,"Düsseldorf, KG Rather Kreuzweg",1.0,40472,Düsseldorf,Rather Kreuzweg 21,211.0,8992882.0,211.0,8929436.0,100092@schule.nrw.de,https://www.kgs-rather-kreuzweg.de/,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,347071.0,5681331.0,,51.262789,6.80806,Grundschule,Öffentlich,Düsseldorf,Städt. Kath. Grundschule - Primarstufe -,2118992882.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,9.0,Grundschule,,,60,20.0,0,4,56,23,17,40,26,"2024,2023,2022",Unfallatlas,Düsseldorf-Rath Mitte,191,51.2611001,6.808582,,Rath Mitte S,232,51.2623,6.8112951,,Am Schein,475,51.2585751,6.8069348,,Rath Mitte S,230,51.262314,6.8112829,1,Am Schein,472,51.2585982,6.8069864,2,Rotdornstraße,487,51.2628187,6.8150596,2,Rath Mitte S,95,51.2625531,6.8093706,4,D-Rath Mitte S,95,51.262591,6.8093917,,Am Schein,463,51.2586662,6.8071367,2,19,68,"1, 2, 3, 4, 5, 6",75.0
100105,2.0,Erzbischöfliche Grundschule am,"Bildungscampus Köln-Kalk, staatl.gen.",priv.Ersatzsch.d.Erzbist.Köln,"Köln, KG am Bildungscampus",3.0,51103,Köln,Christian-Sünner-Str. 5,221.0,22210910.0,,,100105@schule.nrw.de,https://bildungscampus-kalk.de/,2.0,71110.0,5315000.0,1.0,01.08.2020,EPSG:25832,360142.0,5644488.0,,50.935043,7.009553,Grundschule,Privat,Köln,"Erzbischöfliche Grundschule am Bildungscampus Köln-Kalk, staatl.gen. priv.Ersatzsch.d.Erzbist.Köln",22122210910.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,,Grundschule,,,47,15.7,0,5,42,25,6,28,173,"2024,2023,2022",Unfallatlas,"Kalk Kapelle, Eingang zur Stadtbahn",410,50.9386476,7.0082929,,Kalk Kapelle,430,50.9388017,7.0081094,,Kalk Post,796,50.9376675,6.9989844,,Kalk Kapelle,428,50.9387803,7.0081217,2,Kalk Post,801,50.9375435,6.99884,,Vingst,884,50.9327954,7.0216602,,Christian-Sünner-Str.,60,50.934548,7.0092248,,Christian-Sünner-Straße,61,50.9345543,7.0091544,,Heinrich-Bützler-Str.,77,50.9354473,7.010451,,22,100,"1, 153, 159, 2, A, B",75.0
100109,2.0,Marienschule,Städt. Kath. Grundschule,- Primarstufe -,"Düsseldorf, KG Marienschule",1.0,40591,Düsseldorf,Rheindorfer Weg 20,211.0,8924360.0,211.0,8924362.0,100109@schule.nrw.de,http://www.kgs-marienschule-duesseldorf.de,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,347268.0,5673248.0,,51.190212,6.814326,Grundschule,Öffentlich,Düsseldorf,Marienschule Städt. Kath. Grundschule - Primarstufe -,2118924360.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,2.0,Grundschule,,,63,21.0,0,14,49,14,12,35,23,"2024,2023,2022",Unfallatlas,Werstener Dorfstraße,291,51.1928034,6.8148695,,Opladener Straße,404,51.1877401,6.8185736,,Ickerswarder Straße,774,51.1845337,6.8207449,,Universität Nord / Christophstraße,1420,51.1964727,6.796566,,Am Stufstock,1976,51.2065245,6.8255868,,Oberbilk S,2103,51.2087623,6.8084718,4,Werstener Dorfstraße,203,51.1919724,6.8150974,,Opladener Straße,350,51.1881991,6.818187,,Ohmweg,532,51.1862473,6.8100517,,16,69,"1, 2, 3, 4, 5, 6, 7, 8",75.0
100113,2.0,Gemeinschaftsgrundschule Gaedestrasse,in Köln-Marienburg,,"Köln, GG Gaedestrasse",3.0,50968,Köln,Gaedestr. 31,221.0,5708050.0,221.0,57080520.0,100113@schule.nrw.de,http://www.ggs-gaedestrasse.de,1.0,10182.0,5315000.0,1.0,01.08.2023,EPSG:25832,356628.0,5640545.0,,50.898745,6.961126,Grundschule,Öffentlich,Köln,Gemeinschaftsgrundschule Gaedestrasse in Köln-Marienburg,2215708050.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,4.0,Grundschule,,,13,4.3,0,1,12,5,1,10,17,"2024,2023,2022",Unfallatlas,Bonner Wall,1873,50.9155932,6.9613432,,Chlodwigplatz,2446,50.92073,6.9597656,,Kartäuserhof,2873,50.9245332,6.9586306,,Zollstock Südfriedhof,1193,50.900875,6.9444542,,Marktstraße,1465,50.9118987,6.9622209,,Bayenthalgürtel,1477,50.9066773,6.9780151,,Leyboldstraße,341,50.8986332,6.9659788,,Gaedestraße,353,50.9005675,6.965251,,Arnoldshöhe,540,50.8954055,6.9667121,,8,53,,50.0
100122,2.0,Hermann Gmeiner Schule,Städt. Kath. Grundschule,- Primarstufe -,"Düsseldorf, KG Hermann Gmeiner Schule",1.0,40599,Düsseldorf,Schillstr. 7,211.0,8926160.0,211.0,8926155.0,100122@schule.nrw.de,http://www.kgs-hermann-gmeiner.de,1.0,10042.0,5111000.0,1.0,01.08.1973,EPSG:25832,351479.0,5671797.0,,51.178283,6.875143,Grundschule,Öffentlich,Düsseldorf,Hermann Gmeiner Schule Städt. Kath. Grundschule - Primarstufe -,2118926160.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,7.0,Grundschule,,,10,3.3,0,1,9,2,0,9,91,"2024,2023,2022",Unfallatlas,Düsseldorf-Reisholz,1082,51.1813384,6.8604122,,Düsseldorf-Benrath,1795,51.1623121,6.8788554,,Urdenbacher Allee,1801,51.1620826,6.8750211,,Schloss Benrath,1798,51.1625952,6.8688718,2,Urdenbacher Allee,1800,51.1620964,6.8750215,1,Benrath Betriebshof,2001,51.1610492,6.8834101,,Hassels Kirche,108,51.1792496,6.8749576,1,Hassels Denkmal,339,51.1763671,6.8713659,,Dirschauer Weg,457,51.1777031,6.8816385,,12,41,"1, 2, 3, 4, 5",50.0
