schulnummer,Schulform,Schulbezeichnung_1,Schulbezeichnung_2,Schulbezeichnung_3,kurzbezeichnung,Bezirksregierung,plz,ort,strasse,Telefonvorwahl,Telefon,Faxvorwahl,Fax,email,website,Rechtsform,Traegernummer,gemeindeschluessel,Schulbetriebsschluessel,Schulbetriebsdatum,EPSG,UTMRechtswert,UTMHochwert,Unnamed: 24,latitude,longitude,schulform_name,traegerschaft,bezirksregierung_name,schulname,telefon,stadt,data_source,data_retrieved,bundesland,sozialindexstufe,school_type,is_cross_grade,cross_grade_note,traffic_accidents_total,traffic_accidents_per_year,traffic_accidents_fatal,traffic_accidents_serious,traffic_accidents_minor,traffic_accidents_bicycle,traffic_accidents_pedestrian,traffic_accidents_school_hours,traffic_nearest_accident_m,traffic_data_years,traffic_data_source,transit_rail_01_name,transit_rail_01_distance_m,transit_rail_01_latitude,transit_rail_01_longitude,transit_rail_01_lines,transit_rail_02_name,transit_rail_02_distance_m,transit_rail_02_latitude,transit_rail_02_longitude,transit_rail_02_lines,transit_rail_03_name,transit_rail_03_distance_m,transit_rail_03_latitude,transit_rail_03_longitude,transit_rail_03_lines,transit_tram_01_name,transit_tram_01_distance_m,transit_tram_01_latitude,transit_tram_01_longitude,transit_tram_01_lines,transit_tram_02_name,transit_tram_02_distance_m,transit_tram_02_latitude,transit_tram_02_longitude,transit_tram_02_lines,transit_tram_03_name,transit_tram_03_distance_m,transit_tram_03_latitude,transit_tram_03_longitude,transit_tram_03_lines,transit_bus_01_name,transit_bus_01_distance_m,transit_bus_01_latitude,transit_bus_01_longitude,transit_bus_01_lines,transit_bus_02_name,transit_bus_02_distance_m,transit_bus_02_latitude,transit_bus_02_longitude,transit_bus_02_lines,transit_bus_03_name,transit_bus_03_distance_m,transit_bus_03_latitude,transit_bus_03_longitude,transit_bus_03_lines,transit_stops_500m,transit_stop_count_1000m,transit_all_lines_1000m,transit_accessibility_score,crime_bezirk,crime_stadt,crime_bezirk_population,crime_bezirk_index,crime_haeufigkeitszahl_2023,crime_aufklaerungsquote_2023,crime_data_source,crime_straftaten_2023,crime_straftaten_2023_rate_per_100k,crime_strassenraub_2023,crime_strassenraub_2023_rate_per_100k,crime_koerperverletzung_2023,crime_koerperverletzung_2023_rate_per_100k,crime_diebstahl_fahrrad_2023,crime_diebstahl_fahrrad_2023_rate_per_100k,crime_wohnungseinbruch_2023,crime_wohnungseinbruch_2023_rate_per_100k
100010,20.0,Gymnasium Claudia Agrippina Privat,schule als priv.Ersatzsch. d. Sek.I u.II,d. CAPS Privatschu gGmbH,"Köln, Gym Gymnasium Claudia Agrippina",3.0,50933,Köln,Stolberger Str. 112,221.0,37996433.0,221.0,37990671.0,100010@schule.nrw.de,http://www.claudia-agrippina-privatschule.de,2.0,83150.0,5315000.0,1.0,01.08.2016,EPSG:25832,352258.0,5645500.0,,50.942172,6.897017,Gymnasium,Privat,Köln,Gymnasium Claudia Agrippina Privat schule als priv.Ersatzsch. d. Sek.I u.II d. CAPS Privatschu gGmbH,22137996433.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,,Gymnasium,,,29,9.7,0,1,28,16,3,20,120,"2024,2023,2022",Unfallatlas,Köln-Müngersdorf/Technologiepark,919,50.9484237,6.888433,,Venloer Straße/Gürtel,1615,50.9500175,6.9164165,,"U-Bahn (50.9500, 6.9164)",1615,50.9500289,6.9164132,,Clarenbachstift,569,50.9373225,6.8944328,1,Maarweg,577,50.9372281,6.8995306,1,Eupener Straße,739,50.9374722,6.8895533,,Geilenkircher Straße,5,50.9421411,6.8969584,,Karnevalsmuseum,425,50.9459939,6.8972288,A,Stolberger Straße,550,50.9419849,6.9048617,,8,51,"1, 13, 3, A, B, C",65.0,Lindenthal,Köln,152644,0.7,8703.8,50.8,bezirk_estimated,13275,8696.5,152,99.4,1051,688.3,876,573.7,283,185.5
100015,20.0,Städt. Wim-Wenders-Gymnasium,Sekundarstufe I und II,,"Düsseldorf, Gym Wim-Wenders",1.0,40227,Düsseldorf,Schmiedestr. 25,211.0,8924260.0,211.0,8929604.0,100015@schule.nrw.de,https://ww-gym.de,1.0,10042.0,5111000.0,1.0,01.08.2017,EPSG:25832,346741.0,5675559.0,,51.210836,6.805804,Gymnasium,Öffentlich,Düsseldorf,Städt. Wim-Wenders-Gymnasium Sekundarstufe I und II,2118924260.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,4.0,Gymnasium,,,139,46.3,0,23,116,45,37,80,89,"2024,2023,2022",Unfallatlas,Ellerstraße,249,51.2130311,6.8065243,,D-Oberbilk,251,51.2091305,6.8081714,,"U-Bahn (51.2133, 6.8060)",273,51.2132902,6.8060059,,Oberbilk S,246,51.2089142,6.8075506,3,Gangelplatz,291,51.2105416,6.8016459,,Flügelstraße,551,51.2145788,6.8006295,,"Bus (51.2108, 6.8073)",103,51.2107616,6.8072748,,Oberbilk S,245,51.2091566,6.8080876,,Ellerstraße,269,51.2132525,6.805572,4,39,113,"1, 2, 3, 4, 5, 6, 7, 9, SEV",75.0,,Düsseldorf,658245,1.0,12585,52.1,city_aggregate,78826,11975.2,612,93.0,5831,885.8,4210,639.6,1520,230.9
100036,15.0,Gesamtschule Helios,,,"Köln, GE Gesamtschule Helios",3.0,50823,Köln,Overbeckstr. 71-73,221.0,35589980.0,221.0,500558519.0,100036@schule.nrw.de,https://heliosschule.de/,1.0,10182.0,5315000.0,1.0,01.08.2018,EPSG:25832,354462.0,5646933.0,,50.95561,6.927795,Gesamtschule,Öffentlich,Köln,Gesamtschule Helios,22135589980.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0,Gesamtschule,,,125,41.7,0,13,112,69,17,75,74,"2024,2023,2022",Unfallatlas,Köln-Ehrenfeld,912,50.9515024,6.9165293,,Körnerstraße,961,50.9485033,6.9199953,,Venloer Straße/Gürtel,974,50.9500125,6.917097,,Nußbaumerstraße,330,50.9570744,6.9237039,,Liebigstraße,453,50.9519063,6.9250911,,Subbelrather Straße/Gürtel,454,50.9548205,6.9214386,,Schirmerstraße,182,50.9544106,6.9295691,,Schadowstraße,207,50.9537477,6.9279347,,Liebigstraße,381,50.952624,6.92512,,15,45,"141, 142, 143",65.0,Ehrenfeld,Köln,111154,1.3,16164.2,50.8,bezirk_estimated,17952,16150.7,205,184.5,1421,1278.3,1184,1065.4,383,344.5
100040,20.0,Gymnasium Neue Sandkaul,,,"Köln, Gym Neue Sandkaul",3.0,50859,Köln,Neue Sandkaul 29,221.0,22135320.0,,,100040@schule.nrw.de,https://gymnasium-neue-sandkaul.de/,1.0,10182.0,5315000.0,1.0,01.08.2018,EPSG:25832,348232.0,5647911.0,,50.962792,6.838749,Gymnasium,Öffentlich,Köln,Gymnasium Neue Sandkaul,22122135320.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,2.0,Gymnasium,,,12,4.0,0,1,11,10,0,7,44,"2024,2023,2022",Unfallatlas,Lövenich,2234,50.9428837,6.8344286,,Köln-Weiden West,2949,50.9408525,6.8150982,,Köln-Müngersdorf/Technologiepark,3829,50.9484237,6.888433,,Schaffrathsgasse,2410,50.9716411,6.8701662,,Bocklemünd,2502,50.9693293,6.8729366,,Ollenhauerring,2693,50.9758625,6.8711293,,Rosmarinweg,129,50.9630598,6.8405396,,Zum Neuen Kreuz,246,50.9613234,6.8361138,,Palmenhof,360,50.9650431,6.8424514,,16,45,,50.0,,Köln,1090473,1.0,12434,50.8,city_aggregate,135476,12423.6,1548,142.0,10723,983.3,8937,819.6,2890,265.0
100041,15.0,Gesamtschule Wasseramselweg,der Stadt Köln,- Sekundarstufen I und II -,"Köln, GE Wasseramselweg",3.0,50829,Köln,Wasseramselweg 2,221.0,22135380.0,221.0,22135378.0,100041@schule.nrw.de,http://www.gesamtschule-wasseramselweg.de,1.0,10182.0,5315000.0,1.0,01.08.2018,EPSG:25832,351003.0,5646460.0,,50.950476,6.878774,Gesamtschule,Öffentlich,Köln,Gesamtschule Wasseramselweg der Stadt Köln - Sekundarstufen I und II -,22122135380.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,4.0,Gesamtschule,,,12,4.0,0,0,12,8,1,11,184,"2024,2023,2022",Unfallatlas,Köln-Müngersdorf/Technologiepark,714,50.9484237,6.888433,,Akazienweg,1545,50.9606948,6.8937278,,Rochusplatz,1760,50.9571338,6.9015751,,Alter Militärring,1430,50.937732,6.8814775,1,Rheinenergie-Stadion,1458,50.937628,6.874639,,Rhein Energie Stadion,1504,50.936966,6.8777062,,Wasseramselweg,92,50.9498562,6.8779001,144,Vogelsanger Markt,585,50.9555409,6.8810258,,Widdersdorfer Straße,633,50.946559,6.8853287,,5,53,144,60.0,Ehrenfeld,Köln,111154,1.3,16164.2,50.8,bezirk_estimated,17952,16150.7,205,184.5,1421,1278.3,1184,1065.4,383,344.5
100068,15.0,Gesamtschule Berrenrather Straße,der Stadt Köln,- Sekundarstufen I und II -,"Köln, GE Berrenrather Straße",3.0,50937,Köln,Berrenrather Str. 488,221.0,28550626.0,221.0,4302383.0,100068@schule.nrw.de,https://www.ge-lindenthal.de,1.0,10182.0,5315000.0,1.0,01.08.2019,EPSG:25832,353288.0,5641605.0,,50.907432,6.913235,Gesamtschule,Öffentlich,Köln,Gesamtschule Berrenrather Straße der Stadt Köln - Sekundarstufen I und II -,22128550626.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,4.0,Gesamtschule,,,54,18.0,0,14,40,17,3,23,42,"2024,2023,2022",Unfallatlas,Köln Süd,2805,50.9276006,6.9372707,1,Hürth-Kalscheuren,3447,50.8764974,6.9101655,,Bonner Wall,3475,50.9156331,6.9610641,,Klettenbergpark,446,50.9081367,6.9194945,,Sülzgürtel,846,50.9117003,6.9232282,,Berrenrather Straße/Gürtel,939,50.9145329,6.9204847,,Scherfginstraße,16,50.9074483,6.9134637,,RheinEnergie-Sportpark,366,50.9050919,6.9095658,,Geisbergstraße,855,50.9039116,6.9240696,,7,26,,70.0,Lindenthal,Köln,152644,0.7,8703.8,50.8,bezirk_estimated,13275,8696.5,152,99.4,1051,688.3,876,573.7,283,185.5
100071,15.0,Gesamtschule Dellbrücker Mauspfad,- Sekundarstufe I und II -,,"Köln, GE Dellbrücker Mauspfad",3.0,51069,Köln,Dellbrücker Mauspfad 198-200,221.0,938500448.0,221.0,938500495.0,100071@schule.nrw.de,https://ge-dellbrueck.de/,1.0,10182.0,5315000.0,1.0,01.08.2019,EPSG:25832,364375.0,5648276.0,,50.970098,7.068349,Gesamtschule,Öffentlich,Köln,Gesamtschule Dellbrücker Mauspfad - Sekundarstufe I und II -,221938500448.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,4.0,Gesamtschule,,,25,8.3,0,6,19,15,4,14,97,"2024,2023,2022",Unfallatlas,Köln-Dellbrück,1272,50.9814765,7.0702372,,Köln-Holweide,2025,50.9762247,7.0411142,,Duckterath,2955,50.9847611,7.1035467,,Dellbrück Mauspfad,299,50.9720221,7.0653674,,Dellbrück Hauptstraße,661,50.9745877,7.0745376,,Neufelder Straße/Krankenhaus Holweide,849,50.9697539,7.0562302,,Roteichenweg,230,50.9680343,7.0680768,,Siedlung Mielenforst,377,50.9667301,7.0676862,,Thurner Kamp,438,50.9688952,7.0743021,,10,36,,70.0,Mülheim,Köln,149870,1.2,14920.8,50.8,bezirk_estimated,22343,14908.3,255,170.3,1768,1180.0,1474,983.5,477,318.0
100145,20.0,Städt. Gymnasium Zusestraße,,,"Köln, Gym Zusestraße",3.0,50859,Köln,Zusestr. 47,221.0,22134810.0,,,100145@schule.nrw.de,https://gymnasium-zusestrasse.de/,1.0,10182.0,5315000.0,1.0,01.08.2022,EPSG:25832,348169.0,5646617.0,,50.951147,6.838392,Gymnasium,Öffentlich,Köln,Städt. Gymnasium Zusestraße,22122134810.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,2.0,Gymnasium,,,11,3.7,0,1,10,6,0,7,104,"2024,2023,2022",Unfallatlas,Lövenich,960,50.9428837,6.8344286,,Köln-Weiden West,1993,50.9408525,6.8150982,,Köln-Müngersdorf/Technologiepark,3519,50.9484237,6.888433,,Weiden Zentrum,1442,50.9383279,6.8352454,,Bahnstraße,1517,50.9381582,6.8449965,,Weiden Römergrab,1573,50.9384025,6.828639,1,Zusestraße,167,50.9500295,6.8399902,A,Dieselstraße,470,50.9470552,6.8400911,,Daimlerstraße,637,50.9500135,6.8473062,,6,38,"136, A, B",65.0,,Köln,1090473,1.0,12434,50.8,city_aggregate,135476,12423.6,1548,142.0,10723,983.3,8937,819.6,2890,265.0
100147,20.0,Stadt Köln,Gymnasium Müngersdorf,Sekundarstufen I und II,"Köln, Gym Müngersdorf",3.0,50933,Köln,Aachener Str. 744 - 750,221.0,22136620.0,221.0,22136643.0,100147@schule.nrw.de,https://www.gymnasium-aachener-str.de,1.0,10182.0,5315000.0,1.0,01.08.2022,,350995.0,5645088.0,,50.938144,6.879221,Gymnasium,Öffentlich,Köln,Stadt Köln Gymnasium Müngersdorf Sekundarstufen I und II,22122136620.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,2.0,Gymnasium,,,52,17.3,0,8,44,29,4,30,60,"2024,2023,2022",Unfallatlas,Köln-Müngersdorf/Technologiepark,1313,50.9484237,6.888433,,Rochusplatz,2629,50.9571338,6.9015751,,Akazienweg,2706,50.9606948,6.8937278,,Alter Militärring,165,50.937732,6.8814775,1,Rhein Energie Stadion,169,50.936966,6.8777062,,Rheinenergie-Stadion,324,50.9375837,6.874683,,Alter Militärring,148,50.9378788,6.881293,,Wendelinstraße,208,50.9398657,6.8803964,,Am Serviesberg,429,50.9419994,6.8793986,,22,49,"1, A, B",70.0,Lindenthal,Köln,152644,0.7,8703.8,50.8,bezirk_estimated,13275,8696.5,152,99.4,1051,688.3,876,573.7,283,185.5
100169,15.0,Freie Naturschulen Köln - Gesamtschule,Staatl. gen. priv. Ersatzschule als,Gesamtschule d. Vivimos gUG i. Aufbau,"Köln, GE Freie Naturschulen",3.0,50996,Köln,An der Wachsfabrik 25,2236.0,8846800.0,,,100169@schule.nrw.de,http://www.freie-naturschulen-koeln.com/Unsere-Schulen/Gesamtschule/,2.0,10041.0,5315000.0,1.0,10.08.2022,,359211.0,5637187.0,,50.869201,6.999128,Gesamtschule,Privat,Köln,Freie Naturschulen Köln - Gesamtschule Staatl. gen. priv. Ersatzschule als Gesamtschule d. Vivimos gUG i. Aufbau,22368846800.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,,Gesamtschule,,,34,11.3,0,4,30,13,0,23,123,"2024,2023,2022",Unfallatlas,Porz (Rhein),4845,50.8832667,7.0644885,,Köln Steinstraße,5024,50.8952751,7.0576212,,Köln Airport-Businesspark,5573,50.9102443,7.0447205,,Sürth Bahnhof,612,50.8645156,7.0037019,KSU,Michaelshoven,753,50.8759692,6.9990761,KMH,Siegstraße,1603,50.8833367,6.9946362,KKSS,Sürth Rodderweg,140,50.8681185,7.0001393,,Unter Buschweg,336,50.8672183,7.002735,,Bürgeramt Rodenkichen,368,50.8724943,6.9986651,,9,38,"A, C, D, KMH, KSU",60.0,Rodenkirchen,Köln,112051,0.6,7460.4,50.8,bezirk_estimated,8352,7454.2,95,85.2,661,590.0,551,491.7,178,159.0
