schulnummer,Schulform,Schulbezeichnung_1,Schulbezeichnung_2,Schulbezeichnung_3,kurzbezeichnung,Bezirksregierung,plz,ort,strasse,Telefonvorwahl,Telefon,Faxvorwahl,Fax,email,website,Rechtsform,Traegernummer,gemeindeschluessel,Schulbetriebsschluessel,Schulbetriebsdatum,EPSG,UTMRechtswert,UTMHochwert,Unnamed: 24,latitude,longitude,schulform_name,traegerschaft,bezirksregierung_name,schulname,telefon,stadt,data_source,data_retrieved,bundesland,sozialindexstufe,school_type,is_cross_grade,cross_grade_note,traffic_accidents_total,traffic_accidents_per_year,traffic_accidents_fatal,traffic_accidents_serious,traffic_accidents_minor,traffic_accidents_bicycle,traffic_accidents_pedestrian,traffic_accidents_school_hours,traffic_nearest_accident_m,traffic_data_years,traffic_data_source
100010,20.0,Gymnasium Claudia Agrippina Privat,schule als priv.Ersatzsch. d. Sek.I u.II,d. CAPS Privatschu gGmbH,"Köln, Gym Gymnasium Claudia Agrippina",3.0,50933,Köln,Stolberger Str. 112,221.0,37996433.0,221.0,37990671.0,100010@schule.nrw.de,http://www.claudia-agrippina-privatschule.de,2.0,83150.0,5315000.0,1.0,01.08.2016,EPSG:25832,352258.0,5645500.0,,50.942172,6.897017,Gymnasium,Privat,Köln,Gymnasium Claudia Agrippina Privat schule als priv.Ersatzsch. d. Sek.I u.II d. CAPS Privatschu gGmbH,22137996433.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,,Gymnasium,,,29,9.7,0,1,28,16,3,20,120,"2024,2023,2022",Unfallatlas
100015,20.0,Städt. Wim-Wenders-Gymnasium,Sekundarstufe I und II,,"Düsseldorf, Gym Wim-Wenders",1.0,40227,Düsseldorf,Schmiedestr. 25,211.0,8924260.0,211.0,8929604.0,100015@schule.nrw.de,https://ww-gym.de,1.0,10042.0,5111000.0,1.0,01.08.2017,EPSG:25832,346741.0,5675559.0,,51.210836,6.805804,Gymnasium,Öffentlich,Düsseldorf,Städt. Wim-Wenders-Gymnasium Sekundarstufe I und II,2118924260.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,4.0,Gymnasium,,,139,46.3,0,23,116,45,37,80,89,"2024,2023,2022",Unfallatlas
100036,15.0,Gesamtschule Helios,,,"Köln, GE Gesamtschule Helios",3.0,50823,Köln,Overbeckstr. 71-73,221.0,35589980.0,221.0,500558519.0,100036@schule.nrw.de,https://heliosschule.de/,1.0,10182.0,5315000.0,1.0,01.08.2018,EPSG:25832,354462.0,5646933.0,,50.95561,6.927795,Gesamtschule,Öffentlich,Köln,Gesamtschule Helios,22135589980.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0,Gesamtschule,,,125,41.7,0,13,112,69,17,75,74,"2024,2023,2022",Unfallatlas
100040,20.0,Gymnasium Neue Sandkaul,,,"Köln, Gym Neue Sandkaul",3.0,50859,Köln,Neue Sandkaul 29,221.0,22135320.0,,,100040@schule.nrw.de,https://gymnasium-neue-sandkaul.de/,1.0,10182.0,5315000.0,1.0,01.08.2018,EPSG:25832,348232.0,5647911.0,,50.962792,6.838749,Gymnasium,Öffentlich,Köln,Gymnasium Neue Sandkaul,22122135320.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,2.0,Gymnasium,,,12,4.0,0,1,11,10,0,7,44,"2024,2023,2022",Unfallatlas
100041,15.0,Gesamtschule Wasseramselweg,der Stadt Köln,- Sekundarstufen I und II -,"Köln, GE Wasseramselweg",3.0,50829,Köln,Wasseramselweg 2,221.0,22135380.0,221.0,22135378.0,100041@schule.nrw.de,http://www.gesamtschule-wasseramselweg.de,1.0,10182.0,5315000.0,1.0,01.08.2018,EPSG:25832,351003.0,5646460.0,,50.950476,6.878774,Gesamtschule,Öffentlich,Köln,Gesamtschule Wasseramselweg der Stadt Köln - Sekundarstufen I und II -,22122135380.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,4.0,Gesamtschule,,,12,4.0,0,0,12,8,1,11,184,"2024,2023,2022",Unfallatlas
100068,15.0,Gesamtschule Berrenrather Straße,der Stadt Köln,- Sekundarstufen I und II -,"Köln, GE Berrenrather Straße",3.0,50937,Köln,Berrenrather Str. 488,221.0,28550626.0,221.0,4302383.0,100068@schule.nrw.de,https://www.ge-lindenthal.de,1.0,10182.0,5315000.0,1.0,01.08.2019,EPSG:25832,353288.0,5641605.0,,50.907432,6.913235,Gesamtschule,Öffentlich,Köln,Gesamtschule Berrenrather Straße der Stadt Köln - Sekundarstufen I und II -,22128550626.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,4.0,Gesamtschule,,,54,18.0,0,14,40,17,3,23,42,"2024,2023,2022",Unfallatlas
100071,15.0,Gesamtschule Dellbrücker Mauspfad,- Sekundarstufe I und II -,,"Köln, GE Dellbrücker Mauspfad",3.0,51069,Köln,Dellbrücker Mauspfad 198-200,221.0,938500448.0,221.0,938500495.0,100071@schule.nrw.de,https://ge-dellbrueck.de/,1.0,10182.0,5315000.0,1.0,01.08.2019,EPSG:25832,364375.0,5648276.0,,50.970098,7.068349,Gesamtschule,Öffentlich,Köln,Gesamtschule Dellbrücker Mauspfad - Sekundarstufe I und II -,221938500448.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,4.0,Gesamtschule,,,25,8.3,0,6,19,15,4,14,97,"2024,2023,2022",Unfallatlas
100145,20.0,Städt. Gymnasium Zusestraße,,,"Köln, Gym Zusestraße",3.0,50859,Köln,Zusestr. 47,221.0,22134810.0,,,100145@schule.nrw.de,https://gymnasium-zusestrasse.de/,1.0,10182.0,5315000.0,1.0,01.08.2022,EPSG:25832,348169.0,5646617.0,,50.951147,6.838392,Gymnasium,Öffentlich,Köln,Städt. Gymnasium Zusestraße,22122134810.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,2.0,Gymnasium,,,11,3.7,0,1,10,6,0,7,104,"2024,2023,2022",Unfallatlas
100147,20.0,Stadt Köln,Gymnasium Müngersdorf,Sekundarstufen I und II,"Köln, Gym Müngersdorf",3.0,50933,Köln,Aachener Str. 744 - 750,221.0,22136620.0,221.0,22136643.0,100147@schule.nrw.de,https://www.gymnasium-aachener-str.de,1.0,10182.0,5315000.0,1.0,01.08.2022,,350995.0,5645088.0,,50.938144,6.879221,Gymnasium,Öffentlich,Köln,Stadt Köln Gymnasium Müngersdorf Sekundarstufen I und II,22122136620.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,2.0,Gymnasium,,,52,17.3,0,8,44,29,4,30,60,"2024,2023,2022",Unfallatlas
100169,15.0,Freie Naturschulen Köln - Gesamtschule,Staatl. gen. priv. Ersatzschule als,Gesamtschule d. Vivimos gUG i. Aufbau,"Köln, GE Freie Naturschulen",3.0,50996,Köln,An der Wachsfabrik 25,2236.0,8846800.0,,,100169@schule.nrw.de,http://www.freie-naturschulen-koeln.com/Unsere-Schulen/Gesamtschule/,2.0,10041.0,5315000.0,1.0,10.08.2022,,359211.0,5637187.0,,50.869201,6.999128,Gesamtschule,Privat,Köln,Freie Naturschulen Köln - Gesamtschule Staatl. gen. priv. Ersatzschule als Gesamtschule d. Vivimos gUG i. Aufbau,22368846800.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,,Gesamtschule,,,34,11.3,0,4,30,13,0,23,123,"2024,2023,2022",Unfallatlas
100185,15.0,Élise Freinet Gesamtschule,Schule der Sekundarstufe I + II,,"Düsseldorf, GE Élise Freinet",1.0,40549,Düsseldorf,Aldekerkstr. 23,211.0,89924994.0,,,100185@schule.nrw.de,https://www.elise-freinet-gesamtschule.de,1.0,10042.0,5111000.0,1.0,01.08.2024,,339896.0,5678226.0,,51.232921,6.706696,Gesamtschule,Öffentlich,Düsseldorf,Élise Freinet Gesamtschule Schule der Sekundarstufe I + II,21189924994.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,5.0,Gesamtschule,,,44,14.7,0,3,41,10,2,31,125,"2024,2023,2022",Unfallatlas
100186,10.0,Städtische Realschule Borbecker Straße,,,"Düsseldorf, RS Borbecker Straße",1.0,40472,Düsseldorf,Borbecker Str. 25,211.0,8993022.0,,,100186@schule.nrw.de,https://www.borbecker-x.de/,1.0,10042.0,5111000.0,1.0,01.08.2024,,346030.0,5682418.0,,51.272276,6.792683,Realschule,Öffentlich,Düsseldorf,Städtische Realschule Borbecker Straße,2118993022.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,6.0,Realschule,,,35,11.7,0,2,33,4,0,19,91,"2024,2023,2022",Unfallatlas
100187,20.0,Städt. Gymnasium Bernburger Straße,,,"Düsseldorf, Gym Bernburger Straße",1.0,40229,Düsseldorf,Bernburger Str. 44,211.0,8928258.0,,,100187@schule.nrw.de,https://gy-bernburger-str.eschool.de/,1.0,10042.0,5111000.0,1.0,01.08.2024,,348822.0,5674329.0,,51.200338,6.836093,Gymnasium,Öffentlich,Düsseldorf,Städt. Gymnasium Bernburger Straße,2118928258.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0,Gymnasium,,,94,31.3,1,15,78,29,23,59,64,"2024,2023,2022",Unfallatlas
100205,20.0,Gymnasium Nippes,im Toni-Steingass-Park,,"Köln, Gym Nippes",3.0,50733,Köln,Henner-Berzau-Weg 3,221.0,22136490.0,,,100205@schule.nrw.de,https://www.gymnasium-steingasspark.de/,1.0,10182.0,5315000.0,1.0,01.08.2024,,356546.0,5648550.0,,50.970664,6.956809,Gymnasium,Öffentlich,Köln,Gymnasium Nippes im Toni-Steingass-Park,22122136490.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,5.0,Gymnasium,,,70,23.3,0,6,64,28,16,42,135,"2024,2023,2022",Unfallatlas
100206,20.0,Gymnasium Rondorf,,,"Köln, Gym Rondorf",3.0,50999,Köln,Eygelshovener Str.,221.0,22136480.0,,,100206@schule.nrw.de,https://www.gymnasium-rondorf.de/,1.0,10182.0,5315000.0,1.0,01.08.2024,,359855.0,5638066.0,,50.877257,7.007937,Gymnasium,Öffentlich,Köln,Gymnasium Rondorf,22122136480.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0,Gymnasium,,,13,4.3,0,3,10,9,3,10,178,"2024,2023,2022",Unfallatlas
100208,15.0,Sieben Brücken Schule (Gesamtschule),Staatl. genehmigte Ersatzschule i.Aufbau,d. Bildungscampus Siebenbrücken gGmbH,"Köln, GE Sieben Brücken Schule",3.0,50859,Köln,Ottostr. 1,2234.0,93748710.0,,,100208@schule.nrw.de,https://www.7bruecken.com/,2.0,10048.0,5315000.0,1.0,23.10.2023,,348261.0,5646230.0,,50.947693,6.839862,Gesamtschule,Privat,Köln,Sieben Brücken Schule (Gesamtschule) Staatl. genehmigte Ersatzschule i.Aufbau d. Bildungscampus Siebenbrücken gGmbH,223493748710.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,,Gesamtschule,,,13,4.3,0,0,13,9,0,9,91,"2024,2023,2022",Unfallatlas
100210,15.0,Gesamtschule Am Wassermann,,,"Köln, GE Am Wassermann",3.0,50829,Köln,Am Wassermann 40,221.0,22136470.0,,,100210@schule.nrw.de,https://www.amwassermann.de/,1.0,10182.0,5315000.0,1.0,01.08.2024,,350877.0,5646322.0,,50.949203,6.877038,Gesamtschule,Öffentlich,Köln,Gesamtschule Am Wassermann,22122136470.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,5.0,Gesamtschule,,,17,5.7,0,1,16,9,1,13,12,"2024,2023,2022",Unfallatlas
100211,15.0,Gesamtschule Weidenpesch,,,"Köln, GE Weidenpesch",3.0,50739,Köln,Escher Str. 279,221.0,22136460.0,221.0,22136469.0,100211@schule.nrw.de,https://www.gesamtschule-weidenpesch.de,1.0,10182.0,5315000.0,1.0,01.08.2024,,354214.0,5648688.0,,50.971319,6.923563,Gesamtschule,Öffentlich,Köln,Gesamtschule Weidenpesch,22122136460.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,5.0,Gesamtschule,,,45,15.0,0,7,38,20,6,27,115,"2024,2023,2022",Unfallatlas
100212,15.0,Gesamtschule Ossendorf,,,"Köln, GE Ossendorf",3.0,50829,Köln,Am Wassermann 40,221.0,22136450.0,,,100212@schule.nrw.de,https://gesamtschule-ossendorf.de,1.0,10182.0,5315000.0,1.0,01.08.2024,,350877.0,5646322.0,,50.949203,6.877038,Gesamtschule,Öffentlich,Köln,Gesamtschule Ossendorf,22122136450.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,6.0,Gesamtschule,,,17,5.7,0,1,16,9,1,13,12,"2024,2023,2022",Unfallatlas
