schulnummer,Schulform,Schulbezeichnung_1,Schulbezeichnung_2,Schulbezeichnung_3,kurzbezeichnung,Bezirksregierung,plz,ort,strasse,Telefonvorwahl,Telefon,Faxvorwahl,Fax,email,website,Rechtsform,Traegernummer,gemeindeschluessel,Schulbetriebsschluessel,Schulbetriebsdatum,EPSG,UTMRechtswert,UTMHochwert,Unnamed: 24,latitude,longitude,schulform_name,traegerschaft,bezirksregierung_name,schulname,telefon,stadt,data_source,data_retrieved,bundesland,sozialindexstufe,school_type,is_cross_grade,cross_grade_note
100020,2,Städt. Kath. Grundschule,Kartause-Hain-Schule,- Primarstufe -,"Düsseldorf, KG Kartause-Hain-Schule",1,40468,Düsseldorf,Unterrather Str. 76,211.0,4791163.0,211.0,4299019.0,100020@schule.nrw.de,http://www.kartause-hain-schule.de,1,10042,5111000,1,01.08.1973,EPSG:25832,345372,5682741,,51.275,6.783118,Grundschule,Öffentlich,Düsseldorf,Städt. Kath. Grundschule Kartause-Hain-Schule - Primarstufe -,2114791163.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,5.0,Grundschule,,
100061,2,Städtische Gemeinschaftsgrundschule,Steinkaul 27,-Primarstufe-,"Düsseldorf, GG Steinkaul",1,40589,Düsseldorf,Steinkaul 27,211.0,8925660.0,211.0,8925665.0,100061@schule.nrw.de,https://www.ggs-steinkaul.de/,1,10042,5111000,1,01.08.2019,EPSG:25832,346650,5671005,,51.169891,6.806447,Grundschule,Öffentlich,Düsseldorf,Städtische Gemeinschaftsgrundschule Steinkaul 27 -Primarstufe-,2118925660.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,1.0,Grundschule,,
100067,2,Städtische Katholische Grundschule,Niederkassel,- Primarstufe -,"Düsseldorf, KG Niederkassel",1,40547,Düsseldorf,Niederkasseler Str. 36,211.0,8924500.0,211.0,8924624.0,100067@schule.nrw.de,http://www.grundschuleniederkassel.de,1,10042,5111000,1,01.08.1973,EPSG:25832,343203,5678621,,51.237389,6.753852,Grundschule,Öffentlich,Düsseldorf,Städtische Katholische Grundschule Niederkassel - Primarstufe -,2118924500.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0,Grundschule,,
100078,2,LOGOS-Grundschule,Russisch-Orthodoxe Bekenntnisgrundschule,,"Köln, GG LOGOS",3,51065,Köln,Arnsberger Str. 11,221.0,16908487.0,,,100078@schule.nrw.de,http://www.logos-grundschule.de,2,10004,5315000,1,01.08.2019,EPSG:25832,360561,5646621,,50.954314,7.014696,Grundschule,Privat,Köln,LOGOS-Grundschule Russisch-Orthodoxe Bekenntnisgrundschule,22116908487.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,,Grundschule,,
100079,2,Paulus Schule,Städt. Kath. Grundschule,- Primarstufe -,"Düsseldorf, KG Paulus Schule",1,40237,Düsseldorf,Paulusplatz 1,211.0,667608.0,211.0,6799796.0,100079@schule.nrw.de,https://paulusschule-duesseldorf.de/,1,10042,5111000,1,01.08.1973,EPSG:25832,346730,5678352,,51.23593,6.804452,Grundschule,Öffentlich,Düsseldorf,Paulus Schule Städt. Kath. Grundschule - Primarstufe -,211667608.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0,Grundschule,,
100092,2,Städt. Kath. Grundschule,- Primarstufe -,,"Düsseldorf, KG Rather Kreuzweg",1,40472,Düsseldorf,Rather Kreuzweg 21,211.0,8992882.0,211.0,8929436.0,100092@schule.nrw.de,https://www.kgs-rather-kreuzweg.de/,1,10042,5111000,1,01.08.1973,EPSG:25832,347071,5681331,,51.262789,6.80806,Grundschule,Öffentlich,Düsseldorf,Städt. Kath. Grundschule - Primarstufe -,2118992882.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,9.0,Grundschule,,
100105,2,Erzbischöfliche Grundschule am,"Bildungscampus Köln-Kalk, staatl.gen.",priv.Ersatzsch.d.Erzbist.Köln,"Köln, KG am Bildungscampus",3,51103,Köln,Christian-Sünner-Str. 5,221.0,22210910.0,,,100105@schule.nrw.de,https://bildungscampus-kalk.de/,2,71110,5315000,1,01.08.2020,EPSG:25832,360142,5644488,,50.935043,7.009553,Grundschule,Privat,Köln,"Erzbischöfliche Grundschule am Bildungscampus Köln-Kalk, staatl.gen. priv.Ersatzsch.d.Erzbist.Köln",22122210910.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,,Grundschule,,
100109,2,Marienschule,Städt. Kath. Grundschule,- Primarstufe -,"Düsseldorf, KG Marienschule",1,40591,Düsseldorf,Rheindorfer Weg 20,211.0,8924360.0,211.0,8924362.0,100109@schule.nrw.de,http://www.kgs-marienschule-duesseldorf.de,1,10042,5111000,1,01.08.1973,EPSG:25832,347268,5673248,,51.190212,6.814326,Grundschule,Öffentlich,Düsseldorf,Marienschule Städt. Kath. Grundschule - Primarstufe -,2118924360.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,2.0,Grundschule,,
100113,2,Gemeinschaftsgrundschule Gaedestrasse,in Köln-Marienburg,,"Köln, GG Gaedestrasse",3,50968,Köln,Gaedestr. 31,221.0,5708050.0,221.0,57080520.0,100113@schule.nrw.de,http://www.ggs-gaedestrasse.de,1,10182,5315000,1,01.08.2023,EPSG:25832,356628,5640545,,50.898745,6.961126,Grundschule,Öffentlich,Köln,Gemeinschaftsgrundschule Gaedestrasse in Köln-Marienburg,2215708050.0,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,4.0,Grundschule,,
100122,2,Hermann Gmeiner Schule,Städt. Kath. Grundschule,- Primarstufe -,"Düsseldorf, KG Hermann Gmeiner Schule",1,40599,Düsseldorf,Schillstr. 7,211.0,8926160.0,211.0,8926155.0,100122@schule.nrw.de,http://www.kgs-hermann-gmeiner.de,1,10042,5111000,1,01.08.1973,EPSG:25832,351479,5671797,,51.178283,6.875143,Grundschule,Öffentlich,Düsseldorf,Hermann Gmeiner Schule Städt. Kath. Grundschule - Primarstufe -,2118926160.0,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,7.0,Grundschule,,
