schulnummer,Schulform,Schulbezeichnung_1,Schulbezeichnung_2,Schulbezeichnung_3,kurzbezeichnung,Bezirksregierung,plz,ort,strasse,Telefonvorwahl,Telefon,Faxvorwahl,Fax,email,website,Rechtsform,Traegernummer,gemeindeschluessel,Schulbetriebsschluessel,Schulbetriebsdatum,EPSG,UTMRechtswert,UTMHochwert,Unnamed: 24,latitude,longitude,schulform_name,traegerschaft,bezirksregierung_name,schulname,telefon,stadt,data_source,data_retrieved,bundesland,sozialindexstufe
100010,20,Gymnasium Claudia Agrippina Privat,schule als priv.Ersatzsch. d. Sek.I u.II,d. CAPS Privatschu gGmbH,"Köln, Gym Gymnasium Claudia Agrippina",3,50933,Köln,Stolberger Str. 112,0221,37996433,0221,37990671,100010@schule.nrw.de,http://www.claudia-agrippina-privatschule.de,2,83150,05315000,1,01.08.2016,EPSG:25832,352258,5645500,,50.942172,6.897017,Gymnasium,Privat,Köln,Gymnasium Claudia Agrippina Privat schule als priv.Ersatzsch. d. Sek.I u.II d. CAPS Privatschu gGmbH,022137996433,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,
100015,20,Städt. Wim-Wenders-Gymnasium,Sekundarstufe I und II,,"Düsseldorf, Gym Wim-Wenders",1,40227,Düsseldorf,Schmiedestr. 25,0211,8924260,0211,8929604,100015@schule.nrw.de,https://ww-gym.de,1,10042,05111000,1,01.08.2017,EPSG:25832,346741,5675559,,51.210836,6.805804,Gymnasium,Öffentlich,Düsseldorf,Städt. Wim-Wenders-Gymnasium Sekundarstufe I und II,02118924260,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,4.0
100020,02,Städt. Kath. Grundschule,Kartause-Hain-Schule,- Primarstufe -,"Düsseldorf, KG Kartause-Hain-Schule",1,40468,Düsseldorf,Unterrather Str. 76,0211,4791163,0211,4299019,100020@schule.nrw.de,http://www.kartause-hain-schule.de,1,10042,05111000,1,01.08.1973,EPSG:25832,345372,5682741,,51.275,6.783118,Grundschule,Öffentlich,Düsseldorf,Städt. Kath. Grundschule Kartause-Hain-Schule - Primarstufe -,02114791163,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,5.0
100036,15,Gesamtschule Helios,,,"Köln, GE Gesamtschule Helios",3,50823,Köln,Overbeckstr. 71-73,0221,35589980,0221,500558519,100036@schule.nrw.de,https://heliosschule.de/,1,10182,05315000,1,01.08.2018,EPSG:25832,354462,5646933,,50.95561,6.927795,Gesamtschule,Öffentlich,Köln,Gesamtschule Helios,022135589980,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0
100040,20,Gymnasium Neue Sandkaul,,,"Köln, Gym Neue Sandkaul",3,50859,Köln,Neue Sandkaul 29,0221,22135320,,,100040@schule.nrw.de,https://gymnasium-neue-sandkaul.de/,1,10182,05315000,1,01.08.2018,EPSG:25832,348232,5647911,,50.962792,6.838749,Gymnasium,Öffentlich,Köln,Gymnasium Neue Sandkaul,022122135320,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,2.0
100041,15,Gesamtschule Wasseramselweg,der Stadt Köln,- Sekundarstufen I und II -,"Köln, GE Wasseramselweg",3,50829,Köln,Wasseramselweg 2,0221,22135380,0221,22135378,100041@schule.nrw.de,http://www.gesamtschule-wasseramselweg.de,1,10182,05315000,1,01.08.2018,EPSG:25832,351003,5646460,,50.950476,6.878774,Gesamtschule,Öffentlich,Köln,Gesamtschule Wasseramselweg der Stadt Köln - Sekundarstufen I und II -,022122135380,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,4.0
100061,02,Städtische Gemeinschaftsgrundschule,Steinkaul 27,-Primarstufe-,"Düsseldorf, GG Steinkaul",1,40589,Düsseldorf,Steinkaul 27,0211,8925660,0211,8925665,100061@schule.nrw.de,https://www.ggs-steinkaul.de/,1,10042,05111000,1,01.08.2019,EPSG:25832,346650,5671005,,51.169891,6.806447,Grundschule,Öffentlich,Düsseldorf,Städtische Gemeinschaftsgrundschule Steinkaul 27 -Primarstufe-,02118925660,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,1.0
100067,02,Städtische Katholische Grundschule,Niederkassel,- Primarstufe -,"Düsseldorf, KG Niederkassel",1,40547,Düsseldorf,Niederkasseler Str. 36,0211,8924500,0211,8924624,100067@schule.nrw.de,http://www.grundschuleniederkassel.de,1,10042,05111000,1,01.08.1973,EPSG:25832,343203,5678621,,51.237389,6.753852,Grundschule,Öffentlich,Düsseldorf,Städtische Katholische Grundschule Niederkassel - Primarstufe -,02118924500,Düsseldorf,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,3.0
100068,15,Gesamtschule Berrenrather Straße,der Stadt Köln,- Sekundarstufen I und II -,"Köln, GE Berrenrather Straße",3,50937,Köln,Berrenrather Str. 488,0221,28550626,0221,4302383,100068@schule.nrw.de,https://www.ge-lindenthal.de,1,10182,05315000,1,01.08.2019,EPSG:25832,353288,5641605,,50.907432,6.913235,Gesamtschule,Öffentlich,Köln,Gesamtschule Berrenrather Straße der Stadt Köln - Sekundarstufen I und II -,022128550626,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,4.0
100071,15,Gesamtschule Dellbrücker Mauspfad,- Sekundarstufe I und II -,,"Köln, GE Dellbrücker Mauspfad",3,51069,Köln,Dellbrücker Mauspfad 198-200,0221,938500448,0221,938500495,100071@schule.nrw.de,https://ge-dellbrueck.de/,1,10182,05315000,1,01.08.2019,EPSG:25832,364375,5648276,,50.970098,7.068349,Gesamtschule,Öffentlich,Köln,Gesamtschule Dellbrücker Mauspfad - Sekundarstufe I und II -,0221938500448,Köln,Schulministerium NRW Open Data,2026-02-17,Nordrhein-Westfalen,4.0
