id,name,address,address2,zip,city,website,email,school_type,legal_status,provider,fax,phone,director,raw,location,update_timestamp,longitude,latitude
BW-UUID-51de7430-8d32-43e1-9195-3eeeb424aeaa,Regierungspräsidium Stuttgart Abteilung 7 Schule und Bildung,Ruppmannstr. 21,,70565,Stuttgart,http://www.rp.baden-wuerttemberg.de/servlet/PB/menu/1007480/index.html,abteilung7@rps.bwl.de,administrationForEducation,,,+4971190440444,+49711904,,"{""uuid"": ""51de7430-8d32-43e1-9195-3eeeb424aeaa"", ""disch"": null, ""name"": ""Regierungspr\u00e4sidium Stuttgart Abteilung 7 Schule und Bildung"", ""address"": ""Ruppmannstr. 21"", ""zip"": ""70565"", ""city"": ""Stuttgart"", ""email"": ""abteilung7@rps.bwl.de"", ""phone"": ""+49711904"", ""fax"": ""+4971190440444"", ""website"": ""http://www.rp.baden-wuerttemberg.de/servlet/PB/menu/1007480/index.html"", ""school_type"": ""administrationForEducation"", ""lat"": 48.72743, ""lon"": 9.11798}",0101000020E6100000062AE3DF673C22408C101E6D1C5D4840,,9.11798,48.72743
BW-04318826,Kolping Berufsbildung gGmbH,Karl-Kurz-Str. 36,,74523,Schwäbisch Hall,,,"",,Regierungspräsidium Stuttgart Abteilung 7 Schule und Bildung,,0791/202 109-56,,"{""name"": ""Kolping Berufsbildung gGmbH"", ""id"": ""04318826"", ""Strasse"": ""Karl-Kurz-Str. 36"", ""PLZ"": ""74523"", ""Ort"": ""Schw\u00e4bisch Hall"", ""Telefon"": ""0791/202 109-56"", ""Fax"": null, ""E-Mail"": null, ""Internet"": null, ""Schulamt"": ""Regierungspr\u00e4sidium Stuttgart Abteilung 7 Schule und Bildung"", ""Schulamt_Website"": ""www.rp.baden-wuerttemberg.de/servlet/PB/menu/1007480/index.html"", ""Kreis"": ""Schw\u00e4bisch Hall (LKR)"", ""Schulleitung"": null, ""Schultr\u00e4ger"": null, ""Postfach"": null, ""PLZ_Postfach"": null, ""Schueler"": 28, ""Klassen"": 2, ""Lehrer"": null}",,2025-10-18 16:30:49.092715,,
BW-UUID-567075eb-1b31-4f95-b413-6545bb8c2f25,Albert-Schweitzer-Schule Privates sonderpädagogisches Bildungs- und Beratungszentrum emotion.u.soziale Entwicklung,Tübinger Str. 86,,70178,Stuttgart,,"",education,,,"","",,"{""uuid"": ""567075eb-1b31-4f95-b413-6545bb8c2f25"", ""disch"": null, ""name"": ""Albert-Schweitzer-Schule Privates sonderp\u00e4dagogisches Bildungs- und Beratungszentrum emotion.u.soziale Entwicklung"", ""address"": ""T\u00fcbinger Str. 86"", ""zip"": ""70178"", ""city"": ""Stuttgart"", ""email"": """", ""phone"": """", ""fax"": """", ""website"": null, ""school_type"": ""education"", ""lat"": 48.76567, ""lon"": 9.1688}",0101000020E61000002D211FF46C562240A0C37C7901624840,,9.1688,48.76567
BW-UUID-5864e217-e6e5-4519-89b6-5b100cb3d28a,Berufsfachschule für Mode und industrielle Fertigungstechnik Brigitte Kehrer,Paulinenstr. 10,,70178,Stuttgart,,"",education,,,+497112360534,+497112369648,,"{""uuid"": ""5864e217-e6e5-4519-89b6-5b100cb3d28a"", ""disch"": null, ""name"": ""Berufsfachschule f\u00fcr Mode und industrielle Fertigungstechnik Brigitte Kehrer"", ""address"": ""Paulinenstr. 10"", ""zip"": ""70178"", ""city"": ""Stuttgart"", ""email"": """", ""phone"": ""+497112369648"", ""fax"": ""+497112360534"", ""website"": null, ""school_type"": ""education"", ""lat"": 48.77033, ""lon"": 9.17375}",0101000020E6100000295C8FC2F55822405890662C9A624840,,9.17375,48.77033
BW-04101370,Grafenbergschule Gewerbliche Schule,Grabenstr. 20,,73614,Schorndorf,http://www.gsso.de,poststelle@04101370.schule.bwl.de,education,,Regierungspräsidium Stuttgart Abteilung 7 Schule und Bildung,+497181604309,+497181604300,"Bay, Rainer","{""uuid"": ""dafb7f9e-56fa-478c-816f-09e0f41ca385"", ""disch"": ""04101370"", ""name"": ""Grafenbergschule Gewerbliche Schule"", ""address"": ""Grabenstr. 20"", ""zip"": ""73614"", ""city"": ""Schorndorf"", ""email"": ""poststelle@04101370.schule.bwl.de"", ""phone"": ""+497181604300"", ""fax"": ""+497181604309"", ""website"": ""http://www.gsso.de"", ""school_type"": ""education"", ""lat"": 48.80738, ""lon"": 9.52505}",0101000020E61000009487855AD30C2340E5B8533A58674840,2026-04-04 16:31:07.572449,9.52505,48.80738
BW-UUID-5287d9bf-e08f-47c6-a009-371fbc846f15,IDI Sprachen- und Dolmetscher-Institut,Lange Str. 54,,70174,Stuttgart,http://www.sprachschule-idi.de,"",education,,,+497112991471,+49711295107,,"{""uuid"": ""5287d9bf-e08f-47c6-a009-371fbc846f15"", ""disch"": null, ""name"": ""IDI Sprachen- und Dolmetscher-Institut"", ""address"": ""Lange Str. 54"", ""zip"": ""70174"", ""city"": ""Stuttgart"", ""email"": """", ""phone"": ""+49711295107"", ""fax"": ""+497112991471"", ""website"": ""http://www.sprachschule-idi.de"", ""school_type"": ""education"", ""lat"": 48.777919, ""lon"": 9.169688}",0101000020E61000001C0C7558E1562240F0F78BD992634840,,9.169688,48.777919
BW-UUID-5e3b6bd7-107d-4dc2-8880-bf0cec95ff20,Internationaler Bund IB Medizinische Akademie Schule für Physio- und Ergotherapie Stuttgart,Hauptstätter Str. 119,,70178,Stuttgart,,"",education,,,+497116454506,+4971179471161,,"{""uuid"": ""5e3b6bd7-107d-4dc2-8880-bf0cec95ff20"", ""disch"": null, ""name"": ""Internationaler Bund IB Medizinische Akademie Schule f\u00fcr Physio- und Ergotherapie Stuttgart"", ""address"": ""Hauptst\u00e4tter Str. 119"", ""zip"": ""70178"", ""city"": ""Stuttgart"", ""email"": """", ""phone"": ""+4971179471161"", ""fax"": ""+497116454506"", ""website"": null, ""school_type"": ""education"", ""lat"": 48.76638, ""lon"": 9.172235}",0101000020E61000000074982F2F5822407C2766BD18624840,,9.172235,48.76638
BW-UUID-8ae50ccc-d485-4cee-8bee-1285d65fff1e,Berufsfachschule für Eurythmie,Zur Uhlandshöhe 8,,70188,Stuttgart,,"",education,,,"","",,"{""uuid"": ""8ae50ccc-d485-4cee-8bee-1285d65fff1e"", ""disch"": null, ""name"": ""Berufsfachschule f\u00fcr Eurythmie"", ""address"": ""Zur Uhlandsh\u00f6he 8"", ""zip"": ""70188"", ""city"": ""Stuttgart"", ""email"": """", ""phone"": """", ""fax"": """", ""website"": null, ""school_type"": ""education"", ""lat"": 48.7834, ""lon"": 9.19438}",0101000020E610000033FE7DC685632240DCD7817346644840,,9.19438,48.7834
BW-UUID-5e697b47-a3d5-427a-a221-a2c826b19260,Internationaler Bund IB Medizinische Akademie Schule für Logopädie Stuttgart,Hauptstätter Str. 121,,70178,Stuttgart,,"",education,,,"",+4971179471178,,"{""uuid"": ""5e697b47-a3d5-427a-a221-a2c826b19260"", ""disch"": null, ""name"": ""Internationaler Bund IB Medizinische Akademie Schule f\u00fcr Logop\u00e4die Stuttgart"", ""address"": ""Hauptst\u00e4tter Str. 121"", ""zip"": ""70178"", ""city"": ""Stuttgart"", ""email"": """", ""phone"": ""+4971179471178"", ""fax"": """", ""website"": null, ""school_type"": ""education"", ""lat"": 48.76615, ""lon"": 9.17108}",0101000020E6100000D6FF39CC975722404BEA043411624840,,9.17108,48.76615
BW-UUID-8bc42a65-d631-455a-9949-737930513c94,IDI Sprachen- und Dolmetscher-Institut,Lange Str. 54,,70174,Stuttgart,http://www.sprachschule-idi.de,"",education,,,+497112991471,+49711295107,,"{""uuid"": ""8bc42a65-d631-455a-9949-737930513c94"", ""disch"": null, ""name"": ""IDI Sprachen- und Dolmetscher-Institut"", ""address"": ""Lange Str. 54"", ""zip"": ""70174"", ""city"": ""Stuttgart"", ""email"": """", ""phone"": ""+49711295107"", ""fax"": ""+497112991471"", ""website"": ""http://www.sprachschule-idi.de"", ""school_type"": ""education"", ""lat"": 48.777919, ""lon"": 9.169688}",0101000020E61000001C0C7558E1562240F0F78BD992634840,,9.169688,48.777919
