schulnummer,schulname,school_type,schulart,strasse,plz,ort,ortsteil,bundesland,stadt,latitude,longitude,telefon,fax,email,website,schulleitung,traegerschaft,data_source,data_retrieved
STG-18520,Albertus-Magnus-Gymnasium,secondary,Gymnasium,In den Ringelgärten 90,18520,Stuttgart,Bad Cannstatt,Baden-Württemberg,Stuttgart,48.81604436146871,9.246814264974043,0711 5307636,,mail@vw.amgs.de,http://www.amgs.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-19807,Altenburgschule Gemeinschaftsschule,secondary,Gemeinschaftsschule,Auf der Altenburg 10,19807,Stuttgart,Bad Cannstatt,Baden-Württemberg,Stuttgart,48.811056697728354,9.207739794032952,0711 21667120,,Poststelle.Altenburgschule@stuttgart.de,http://www.altenburgschule.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-46763,Altenburgschule Gemeinschaftschule (Außenstelle) Reiterkaserne,secondary,Gemeinschaftsschule,Hallschlag 4,46763,Stuttgart,Bad Cannstatt,Baden-Württemberg,Stuttgart,48.81231152358713,9.210278454990833,0711 21667120,,,https://www.stuttgart-inklusiv.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-17953,Anne-Frank-Gemeinschaftsschule,secondary,Gemeinschaftsschule,Hechinger Straße 73,17953,Stuttgart,Möhringen,Baden-Württemberg,Stuttgart,48.71972673572175,9.1447818618938,0711 21659790,,poststelle.anne-frank-realschule@stuttgart.de,https://www.annefrank-gemeinschaftsschule.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-17957,Bertha-von-Suttner-Gemeinschaftsschule,secondary,Gemeinschaftsschule,Adalbert-Stifter-Straße 40,17957,Stuttgart,Mühlhausen,Baden-Württemberg,Stuttgart,48.839657397637716,9.21118333745448,0711 21689870,,Poststelle.bvs@stuttgart.de,https://www.bvs-gms.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-310163,Betty-Hirsch-Schulzentrum (Realschule),secondary,Realschule,Am Kräherwald 271,31016,Stuttgart,West,Baden-Württemberg,Stuttgart,48.778361495649094,9.138484878064812,0711 6564360,,info@betty-hirsch-schulzentrum.de,https://www.betty-hirsch-schulzentrum.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-302690,Betty-Hirsch-Schulzentrum (Werkrealschule),secondary,Werkrealschule,Am Kräherwald 271,30269,Stuttgart,West,Baden-Württemberg,Stuttgart,48.778361495649094,9.138484878064812,0711 6564360,,info@betty-hirsch-schulzentrum.de,http://www.betty-hirsch-schulzentrum.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-345696,Birken-Realschule (Außenstelle),secondary,Realschule,Bockelstraße 8,34569,Stuttgart,Sillenbuch,Baden-Württemberg,Stuttgart,48.74731453074913,9.234180142391608,0711 21699830,,poststelle.birken-realschule@stuttgart.de,https://www.stuttgart-inklusiv.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-17649,Bismarckschule,secondary,Werkrealschule,Wiener Straße 76,17649,Stuttgart,Feuerbach,Baden-Württemberg,Stuttgart,48.811235436471414,9.157358122007212,0711 21660821,,poststelle.bismarckschule@stuttgart.de,https://www.stuttgart-inklusiv.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-17949,Birken-Realschule,secondary,Realschule,Bruno-Frank-Straße 14,17949,Stuttgart,Sillenbuch,Baden-Württemberg,Stuttgart,48.748253249139694,9.232633702529611,0711 21699830,,poststelle.birken-realschule@stuttgart.de,https://www.stuttgart-inklusiv.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-17961,Brunnen-Realschule,secondary,Realschule,Wilhelmstraße (Ca) 32,17961,Stuttgart,Bad Cannstatt,Baden-Württemberg,Stuttgart,48.806650222695296,9.2166830982974,0711 21662880,,poststelle.brunnen-realschule@stuttgart.de,http://www.brunnen-realschule.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-18062,Dillmann-Gymnasium,secondary,Gymnasium,Forststraße 43,18062,Stuttgart,West,Baden-Württemberg,Stuttgart,48.77965154622593,9.163207815982663,0711 21659755,,Poststelle.Dillmann-Gymnasium@stuttgart.de,http://www.dillmann-gymnasium.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-18074,Eberhard-Ludwigs-Gymnasium,secondary,Gymnasium,Ludwigstraße 111,18074,Stuttgart,West,Baden-Württemberg,Stuttgart,48.77077765476561,9.152903805570876,0711 21634170,,ebelu@stuttgart.de,http://www.ebelu.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-17645,Eichendorffschule Gemeinschaftsschule,secondary,Gemeinschaftsschule,Ebitzweg 57,17645,Stuttgart,Bad Cannstatt,Baden-Württemberg,Stuttgart,48.804396080711044,9.237564475468593,0711 21657110,,eichendorffschule@stuttgart.de,http://www.eido-schule.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-17937,Elise von König-Gemeinschaftsschule,secondary,Gemeinschaftsschule,Nagoldstraße 7,17937,Stuttgart,Münster,Baden-Württemberg,Stuttgart,48.81992692180281,9.222080500310279,0711 21655490,,poststelle.elise.von.koenig-schule@stuttgart.de,https://www.stuttgart-inklusiv.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-18070,Elly-Heuss-Knapp-Gymnasium,secondary,Gymnasium,Remstalstraße 35,18070,Stuttgart,Bad Cannstatt,Baden-Württemberg,Stuttgart,48.80298611728068,9.240744503375627,0711 21634800,,poststelle.elly-heuss-knapp-gymnasium@stuttgart.de,http://www.s-elly.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-18380,Eschbach-Gymnasium,secondary,Gymnasium,Adalbert-Stifter-Straße 40,18380,Stuttgart,Mühlhausen,Baden-Württemberg,Stuttgart,48.839657397637716,9.21118333745448,0711 21689499,,poststelle.eschbach-gymnasium@stuttgart.de,http://www.eschbach-gymnasium.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-47339,Evangelische Mörike-Realschule,secondary,Realschule,Arminstraße 30,47339,Stuttgart,Süd,Baden-Württemberg,Stuttgart,48.764697137024726,9.165377450559316,0711 960230,,sekretariat@emg-stuttgart.de,https://www.stuttgart-inklusiv.de/,,Privat,stuttgart.de Adressverzeichnis,2026-04-06
STG-18524,Evangelisches Heidehof-Gymnasium,secondary,Gymnasium,Heidehofstraße 49,18524,Stuttgart,Ost,Baden-Württemberg,Stuttgart,48.775715887824525,9.200244028784796,0711 480765,,info@heidehofgymnasium.de,https://www.heidehofgymnasium.de/,,Privat,stuttgart.de Adressverzeichnis,2026-04-06
STG-19962,Evangelisches Mörike-Gymnasium,secondary,Gymnasium,Arminstraße 30,19962,Stuttgart,Süd,Baden-Württemberg,Stuttgart,48.764697137024726,9.165377450559316,0711 960230,,sekretariat@emg-stuttgart.de,https://www.stuttgart-inklusiv.de/,,Privat,stuttgart.de Adressverzeichnis,2026-04-06
STG-18080,Fanny-Leicht-Gymnasium,secondary,Gymnasium,Fanny-Leicht-Straße 13,18080,Stuttgart,Vaihingen,Baden-Württemberg,Stuttgart,48.731165432013846,9.116855353636396,0711 733624,,Poststelle.Fanny-Leicht-Gymnasium@stuttgart.de,http://www.fanny-leicht.de/,,Öffentlich,stuttgart.de Adressverzeichnis,2026-04-06
STG-9984,Freie Aktive Schule Stuttgart,secondary,Grund- und Werkrealschule,"Bopseräcker, Gew. 30A",13112,Stuttgart,Sillenbuch,Baden-Württemberg,Stuttgart,48.73454495125221,9.169875270243878,0711 6738238,,sekretariat@fas-stuttgart.de,https://www.stuttgart-inklusiv.de/,,Privat,stuttgart.de Adressverzeichnis,2026-04-06
STG-270401,Freie element-i Gemeinschaftschule in Stuttgart,secondary,Gemeinschaftsschule,Breitwiesenstraße 8,27040,Stuttgart,Möhringen,Baden-Württemberg,Stuttgart,48.72229741281448,9.123483503538356,0711 6569601010,,schule@element-i.de,https://www.element-i.de/,,Privat,stuttgart.de Adressverzeichnis,2026-04-06
