/Users/josevonroth/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2026-01-22 21:16:37,316 - INFO - Loading data from school_master_table_for_vision_scrape.csv
2026-01-22 21:16:37,364 - INFO - Vision extraction enabled with gpt-5-mini-2025-08-07
2026-01-22 21:16:37,366 - INFO - Processing 153 schools
2026-01-22 21:16:37,366 - INFO - Processing 1/153: 10K15
2026-01-22 21:16:37,366 - INFO - Scraping school 10K15 (15. Schule (Integrierte Sekundarschule))
2026-01-22 21:16:37,552 - INFO - Found 1 entries for 10K15
2026-01-22 21:16:37,553 - INFO - Scraping IDSchulzweig 29854: 15. Schule (Integrierte Sekundarschule)
2026-01-22 21:16:37,627 - INFO -   Using vision extraction for student data (ID: 29854)
2026-01-22 21:16:38,140 - INFO - Selenium WebDriver initialized
2026-01-22 21:16:59,025 - INFO -   Vision extracted: Table titled 'Jahrgangsstufen 2025/26' for 15. Schule (Integrierte Sekundarschule) shows Jahrgangsst
2026-01-22 21:16:59,026 - INFO -   Student count from vision: 126
2026-01-22 21:16:59,026 - INFO -   Got student count: 126
2026-01-22 21:16:59,026 - INFO -   Using vision extraction for personnel data (ID: 29854)
2026-01-22 21:17:15,045 - INFO -   Using vision extraction for migration data (ID: 29854)
2026-01-22 21:17:26,993 - INFO -   Migration % from vision: 49.2
2026-01-22 21:17:26,994 - INFO -   Got migration %: 49.2
2026-01-22 21:17:28,090 - INFO - Updated 10K15: schueler_2024_25, sprachen, migration_2024_25
2026-01-22 21:17:29,592 - INFO - Processing 2/153: 11K17
2026-01-22 21:17:29,592 - INFO - Scraping school 11K17 (17. Schule (Integrierte Sekundarschule) Neugründung zum 01.08.2026)
2026-01-22 21:17:29,752 - INFO - Found 9 entries for 11K17
2026-01-22 21:17:29,752 - INFO - Scraping IDSchulzweig 29839: 16. Schule (Integrierte Sekundarschule)
2026-01-22 21:17:29,868 - INFO -   Using vision extraction for student data (ID: 29839)
2026-01-22 21:17:48,430 - INFO -   Vision extracted: Table titled 'Jahrgangsstufen 2025/26' for 16. Schule (Integrierte Sekundarschule) - 11K16 shows Jah
2026-01-22 21:17:48,431 - INFO -   Student count from vision: 288
2026-01-22 21:17:48,431 - INFO -   Got student count: 288
2026-01-22 21:17:48,431 - INFO -   Using vision extraction for personnel data (ID: 29839)
2026-01-22 21:18:01,058 - INFO -   Teacher count from vision: 5
2026-01-22 21:18:01,058 - INFO -   Got teacher count: 5
2026-01-22 21:18:01,058 - INFO -   Using vision extraction for migration data (ID: 29839)
2026-01-22 21:18:13,165 - INFO -   Migration % from vision: 63.9
2026-01-22 21:18:13,166 - INFO -   Got migration %: 63.9
2026-01-22 21:18:13,250 - INFO -   All data found, skipping remaining branches
2026-01-22 21:18:13,256 - INFO - Updated 11K17: schueler_2024_25, lehrer_2024_25, sprachen, migration_2024_25
2026-01-22 21:18:14,760 - INFO - Processing 3/153: 01S06
2026-01-22 21:18:14,760 - INFO - Scraping school 01S06 (Albert-Gutzmann-Schule)
2026-01-22 21:18:14,908 - INFO - Found 3 entries for 01S06
2026-01-22 21:18:14,909 - INFO - Scraping IDSchulzweig 28905: Albert-Gutzmann-Schule
2026-01-22 21:18:14,979 - INFO -   Using vision extraction for student data (ID: 28905)
2026-01-22 21:18:39,497 - INFO -   Vision extracted: Table titled 'Jahrgangsstufen 2025/26' with rightmost column 'Insgesamt' showing per-row totals summ
2026-01-22 21:18:39,497 - INFO -   Student count from vision: 99
2026-01-22 21:18:39,497 - INFO -   Got student count: 99
2026-01-22 21:18:39,497 - INFO -   Using vision extraction for personnel data (ID: 28905)
